 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Mato Grosso do Sul
Período:2020
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"500060 Amambaí";1;0;0;3;2;6
"500070 Anastácio";4;0;0;2;0;6
"500100 Aparecida do Taboado";1;0;0;0;0;1
"500124 Aral Moreira";1;0;0;0;0;1
"500190 Bataguassu";0;0;0;1;0;1
"500210 Bela Vista";0;0;0;1;0;1
"500220 Bonito";0;0;0;3;0;3
"500230 Brasilândia";0;0;0;1;0;1
"500240 Caarapó";1;0;0;0;0;1
"500260 Camapuã";1;0;0;1;0;2
"500270 Campo Grande";83;9;6;90;1;189
"500290 Cassilândia";2;0;1;1;0;4
"500295 Chapadão do Sul";1;0;0;0;0;1
"500315 Coronel Sapucaia";0;0;0;1;2;3
"500320 Corumbá";2;0;0;14;0;16
"500325 Costa Rica";0;0;0;3;0;3
"500330 Coxim";0;1;0;6;0;7
"500370 Dourados";42;3;1;22;2;70
"500375 Eldorado";1;0;0;0;1;2
"500380 Fátima do Sul";1;0;0;0;0;1
"500430 Iguatemi";1;0;0;1;0;2
"500450 Itaporã";0;0;0;1;0;1
"500470 Ivinhema";0;0;0;1;0;1
"500480 Japorã";0;0;1;1;2;4
"500500 Jardim";2;0;0;9;0;11
"500540 Maracaju";1;0;0;0;0;1
"500560 Miranda";1;0;0;0;0;1
"500568 Mundo Novo";0;0;0;1;0;1
"500570 Naviraí";8;1;0;9;2;20
"500580 Nioaque";0;0;0;0;1;1
"500620 Nova Andradina";9;1;0;4;0;14
"500625 Novo Horizonte do Sul";0;0;0;1;0;1
"500630 Paranaíba";4;0;0;5;0;9
"500640 Pedro Gomes";0;0;0;1;0;1
"500660 Ponta Porã";9;1;0;6;7;23
"500690 Porto Murtinho";1;0;0;1;0;2
"500710 Ribas do Rio Pardo";2;0;0;1;0;3
"500740 Rio Verde de Mato Grosso";0;0;0;2;0;2
"500769 São Gabriel do Oeste";2;0;0;1;0;3
"500770 Sete Quedas";1;0;0;0;0;1
"500790 Sidrolândia";0;0;0;1;0;1
"500800 Terenos";0;0;0;1;0;1
"500830 Três Lagoas";12;2;0;12;1;27
"Total";194;18;9;208;21;450
