 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso do Sul
Período:2020
"Município (Res)";"< 1 ano";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"500060 Amambaí";0;0;0;0;4;1;0;1;0;0;6
"500070 Anastácio";0;0;0;1;3;2;0;0;0;0;6
"500100 Aparecida do Taboado";0;0;0;0;0;0;1;0;0;0;1
"500124 Aral Moreira";0;0;0;0;0;0;1;0;0;0;1
"500190 Bataguassu";0;0;0;0;0;0;1;0;0;0;1
"500210 Bela Vista";0;0;0;0;0;1;0;0;0;0;1
"500220 Bonito";0;0;0;0;1;0;0;1;1;0;3
"500230 Brasilândia";0;0;0;0;0;0;0;1;0;0;1
"500240 Caarapó";0;0;0;0;1;0;0;0;0;0;1
"500260 Camapuã";0;0;0;1;1;0;0;0;0;0;2
"500270 Campo Grande";2;1;2;53;65;39;17;6;3;1;189
"500290 Cassilândia";0;0;0;2;0;0;2;0;0;0;4
"500295 Chapadão do Sul";0;0;0;0;0;0;1;0;0;0;1
"500315 Coronel Sapucaia";0;0;0;0;1;1;0;0;0;1;3
"500320 Corumbá";0;0;0;1;4;4;4;3;0;0;16
"500325 Costa Rica";0;0;0;0;0;3;0;0;0;0;3
"500330 Coxim";0;0;0;1;1;1;2;2;0;0;7
"500370 Dourados";0;0;0;23;20;20;4;3;0;0;70
"500375 Eldorado";0;0;0;0;1;1;0;0;0;0;2
"500380 Fátima do Sul";0;0;0;1;0;0;0;0;0;0;1
"500430 Iguatemi";0;0;0;0;1;1;0;0;0;0;2
"500450 Itaporã";0;0;0;0;0;1;0;0;0;0;1
"500470 Ivinhema";0;0;0;0;0;0;0;0;1;0;1
"500480 Japorã";0;0;0;2;1;0;0;0;1;0;4
"500500 Jardim";0;0;0;2;5;2;2;0;0;0;11
"500540 Maracaju";0;0;0;1;0;0;0;0;0;0;1
"500560 Miranda";0;0;0;0;0;1;0;0;0;0;1
"500568 Mundo Novo";0;0;0;0;1;0;0;0;0;0;1
"500570 Naviraí";0;0;0;4;8;5;2;1;0;0;20
"500580 Nioaque";0;0;0;0;0;1;0;0;0;0;1
"500620 Nova Andradina";0;0;0;2;3;4;5;0;0;0;14
"500625 Novo Horizonte do Sul";0;0;0;0;0;0;0;1;0;0;1
"500630 Paranaíba";0;0;1;1;0;1;4;1;0;1;9
"500640 Pedro Gomes";0;0;0;0;0;0;1;0;0;0;1
"500660 Ponta Porã";0;0;1;7;3;7;3;1;0;1;23
"500690 Porto Murtinho";0;0;0;1;0;0;1;0;0;0;2
"500710 Ribas do Rio Pardo";0;0;0;1;0;0;1;1;0;0;3
"500740 Rio Verde de Mato Grosso";0;0;0;0;1;1;0;0;0;0;2
"500769 São Gabriel do Oeste";0;0;0;0;1;0;2;0;0;0;3
"500770 Sete Quedas";0;0;0;1;0;0;0;0;0;0;1
"500790 Sidrolândia";0;0;0;0;0;0;1;0;0;0;1
"500800 Terenos";0;0;0;0;0;0;1;0;0;0;1
"500830 Três Lagoas";0;0;1;6;8;6;6;0;0;0;27
"Total";2;1;5;111;134;103;62;22;6;4;450
