 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Goiás
Período:2021
"Município (Res)";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"520005 Abadia de Goiás";0;0;1;0;0;0;0;0;0;1
"520010 Abadiânia";0;0;0;1;0;0;0;0;0;1
"520013 Acreúna";0;0;0;0;0;1;0;0;0;1
"520020 Água Limpa";0;0;1;0;0;0;0;0;0;1
"520025 Águas Lindas de Goiás";0;0;3;5;0;1;0;0;0;9
"520030 Alexânia";0;0;0;1;0;1;0;0;0;2
"520110 Anápolis";0;4;25;19;9;10;9;0;0;76
"520140 Aparecida de Goiânia";0;3;38;31;19;7;1;1;0;100
"520170 Aragarças";0;0;2;2;1;0;1;0;0;6
"520180 Aragoiânia";0;0;0;0;0;0;0;1;0;1
"520280 Avelinópolis";0;0;0;1;0;0;0;0;0;1
"520330 Bela Vista de Goiás";0;0;3;0;1;1;0;0;0;5
"520340 Bom Jardim de Goiás";0;0;0;0;0;0;1;0;0;1
"520350 Bom Jesus de Goiás";0;0;0;1;0;2;0;0;0;3
"520430 Caçu";0;0;0;1;0;0;0;0;0;1
"520440 Caiapônia";0;0;1;0;1;1;0;0;0;3
"520450 Caldas Novas";0;0;4;7;4;3;1;1;0;20
"520470 Campinorte";0;0;1;0;0;0;0;0;0;1
"520500 Carmo do Rio Verde";0;0;0;0;0;0;1;0;0;1
"520510 Catalão";0;0;9;8;2;6;0;2;0;27
"520540 Ceres";0;0;2;0;0;1;0;0;0;3
"520545 Cezarina";0;0;1;0;0;0;1;0;0;2
"520549 Cidade Ocidental";0;0;7;3;6;0;0;0;0;16
"520552 Colinas do Sul";0;0;0;0;1;0;0;0;0;1
"520620 Cristalina";0;0;0;1;0;1;1;1;0;4
"520640 Crixás";0;0;0;1;0;0;0;0;0;1
"520735 Edealina";0;0;1;0;0;0;0;0;0;1
"520753 Faina";0;0;1;0;0;0;0;0;0;1
"520780 Firminópolis";0;0;0;0;0;0;1;0;0;1
"520800 Formosa";0;0;0;0;0;1;0;0;0;1
"520840 Goianápolis";0;0;0;0;0;1;0;0;0;1
"520860 Goianésia";0;0;0;0;1;1;0;0;0;2
"520870 Goiânia";1;19;171;124;78;48;16;4;1;462
"520880 Goianira";0;1;2;1;1;2;0;0;0;7
"520890 Goiás";0;0;1;2;0;1;0;0;0;4
"520920 Guapó";0;0;0;0;1;0;0;0;0;1
"520929 Guaraíta";0;0;0;0;0;0;1;0;0;1
"520945 Guarinos";0;0;0;0;1;0;0;0;0;1
"520970 Hidrolândia";0;0;1;0;0;0;1;0;1;3
"520995 Indiara";0;0;1;0;1;1;0;0;0;3
"521000 Inhumas";0;0;1;1;3;0;0;0;0;5
"521010 Ipameri";0;0;1;2;1;1;1;0;0;6
"521020 Iporá";0;0;2;3;2;0;0;0;0;7
"521040 Itaberaí";0;1;1;1;0;1;0;0;0;4
"521100 Itapirapuã";0;0;0;1;0;0;0;0;0;1
"521120 Itapuranga";0;0;1;0;0;1;0;0;0;2
"521150 Itumbiara";0;2;13;6;2;7;3;1;0;34
"521190 Jataí";0;0;7;7;3;3;3;1;0;24
"521210 Joviânia";0;0;0;0;1;1;0;0;0;2
"521230 Leopoldo de Bulhões";0;0;1;0;1;0;0;0;0;2
"521250 Luziânia";0;1;1;4;3;1;1;1;0;12
"521300 Maurilândia";0;0;1;0;0;0;0;0;0;1
"521308 Minaçu";0;0;1;0;0;0;0;0;0;1
"521310 Mineiros";0;1;1;1;1;1;0;0;0;5
"521380 Morrinhos";0;0;2;0;6;2;0;0;0;10
"521400 Mozarlândia";0;0;0;0;0;1;0;0;0;1
"521450 Nerópolis";0;0;1;2;0;0;0;0;0;3
"521460 Niquelândia";0;0;0;0;1;0;0;0;0;1
"521486 Nova Glória";0;0;1;0;0;0;0;0;0;1
"521523 Novo Gama";0;0;4;2;4;1;0;0;0;11
"521560 Padre Bernardo";0;0;1;0;1;0;0;0;0;2
"521570 Palmeiras de Goiás";0;0;1;2;0;0;0;0;0;3
"521590 Palminópolis";0;0;0;0;1;0;0;0;0;1
"521640 Paraúna";0;0;0;0;0;0;1;0;0;1
"521680 Petrolina de Goiás";0;0;1;0;0;0;0;0;0;1
"521710 Piracanjuba";0;0;2;0;1;0;0;0;0;3
"521730 Pirenópolis";0;0;0;1;1;0;0;0;0;2
"521740 Pires do Rio";0;1;1;1;1;0;0;0;0;4
"521760 Planaltina";0;0;2;1;2;1;0;0;0;6
"521770 Pontalina";0;0;1;1;0;0;0;0;0;2
"521800 Porangatu";0;0;0;0;1;1;0;0;0;2
"521830 Posse";0;0;0;1;0;0;0;0;0;1
"521839 Professor Jamil";0;0;1;0;0;0;0;0;0;1
