 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso
Período:2024
"Município (Res)";"< 1 ano";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"510010 Acorizal";0;0;0;0;0;1;0;0;0;0;0;1
"510020 Água Boa";0;0;0;0;3;4;2;2;0;0;0;11
"510025 Alta Floresta";0;0;0;0;3;4;2;4;0;0;0;13
"510030 Alto Araguaia";0;0;0;0;0;0;1;1;0;0;0;2
"510040 Alto Garças";0;0;0;0;0;0;0;1;0;0;0;1
"510080 Apiacás";0;0;0;0;0;0;0;0;1;0;0;1
"510100 Araguaiana";1;0;0;0;0;0;0;0;0;0;0;1
"510125 Araputanga";0;0;0;0;0;1;0;1;0;0;0;2
"510130 Arenápolis";0;0;0;0;0;0;0;1;1;0;0;2
"510140 Aripuanã";0;0;0;0;0;0;2;0;0;0;0;2
"510160 Barão de Melgaço";0;0;0;0;0;0;1;0;0;0;0;1
"510170 Barra do Bugres";0;0;0;0;0;1;0;0;0;1;0;2
"510180 Barra do Garças";0;0;0;0;4;3;3;0;2;1;0;13
"510185 Bom Jesus do Araguaia";0;0;0;0;0;0;1;0;0;0;0;1
"510250 Cáceres";0;0;0;0;10;2;5;5;1;1;0;24
"510263 Campo Novo do Parecis";0;0;0;0;2;2;3;0;1;0;0;8
"510267 Campo Verde";0;0;0;0;0;1;1;1;2;0;0;5
"510268 Campos de Júlio";0;0;0;0;0;1;0;0;0;0;0;1
"510269 Canabrava do Norte";0;0;0;0;0;0;1;0;0;0;0;1
"510270 Canarana";0;0;0;1;0;0;0;2;0;0;0;3
"510300 Chapada dos Guimarães";0;0;0;0;1;0;0;0;0;0;0;1
"510320 Colíder";0;0;0;0;0;6;5;0;1;0;0;12
"510335 Confresa";0;0;1;2;0;4;5;3;0;0;1;16
"510337 Cotriguaçu";0;0;0;0;0;0;0;1;0;0;0;1
"510340 Cuiabá";1;0;0;3;69;74;56;33;13;1;1;251
"510345 Denise";0;0;0;0;0;1;1;0;0;0;0;2
"510350 Diamantino";0;0;0;0;0;3;1;0;0;0;0;4
"510370 Feliz Natal";0;0;0;0;0;1;0;0;0;0;0;1
"510385 Gaúcha do Norte";0;0;0;0;1;0;0;0;0;0;0;1
"510390 General Carneiro";0;0;0;0;0;0;0;1;0;0;0;1
"510410 Guarantã do Norte";0;0;0;0;1;0;1;0;1;0;0;3
"510454 Itanhangá";0;0;0;0;0;1;0;0;0;0;0;1
"510460 Itiquira";0;0;0;0;0;0;1;0;0;0;0;1
"510480 Jaciara";0;0;0;0;0;1;1;0;2;0;0;4
"510490 Jangada";0;0;0;0;1;0;0;0;0;0;0;1
"510510 Juara";0;0;0;0;1;2;2;2;0;0;0;7
"510515 Juína";0;0;0;0;2;6;6;1;1;0;0;16
"510520 Juscimeira";0;0;0;0;0;1;0;0;1;0;0;2
"510523 Lambari D'Oeste";0;0;0;0;0;0;1;0;0;0;0;1
"510525 Lucas do Rio Verde";0;0;0;0;0;3;0;0;0;0;0;3
"510558 Marcelândia";0;0;0;0;0;1;1;0;0;0;0;2
"510560 Matupá";0;0;0;0;0;1;0;0;0;0;0;1
"510562 Mirassol d'Oeste";0;0;0;0;1;0;1;0;0;0;0;2
"510600 Nortelândia";0;0;0;0;0;1;0;0;0;0;0;1
"510622 Nova Mutum";0;0;0;0;0;4;0;2;0;0;0;6
"510623 Nova Olímpia";0;0;0;0;0;0;1;0;0;0;0;1
"510625 Nova Xavantina";0;0;0;0;2;2;1;0;0;0;0;5
"510628 Novo São Joaquim";0;0;0;0;0;0;0;1;0;0;0;1
"510630 Paranatinga";0;0;0;0;1;1;2;2;0;0;0;6
"510642 Peixoto de Azevedo";0;0;0;0;2;4;2;1;2;0;0;11
"510645 Planalto da Serra";0;0;0;0;0;1;0;0;0;0;0;1
"510650 Poconé";0;0;0;0;1;1;1;0;0;0;0;3
"510675 Pontes e Lacerda";0;0;0;0;0;0;1;0;0;0;0;1
"510677 Porto Alegre do Norte";0;0;0;0;0;0;0;0;0;0;1;1
"510682 Porto Esperidião";0;0;0;0;1;0;0;0;0;0;0;1
"510700 Poxoréo";0;0;0;0;0;0;0;0;1;1;0;2
"510704 Primavera do Leste";0;0;0;0;12;2;7;1;2;0;0;24
"510706 Querência";0;0;0;0;0;4;2;0;0;0;0;6
"510718 Ribeirão Cascalheira";0;0;0;0;1;0;0;1;0;0;0;2
"510760 Rondonópolis";0;1;1;5;37;26;22;13;4;0;0;109
"510780 Santo Antônio do Leverger";0;0;0;0;1;1;0;0;0;0;0;2
"510735 São José do Xingu";0;0;0;0;1;0;0;0;0;0;0;1
"510740 São Pedro da Cipa";0;0;0;0;0;1;0;0;0;0;0;1
"510787 Sapezal";0;0;0;0;2;0;2;0;0;0;0;4
"510790 Sinop";0;0;0;2;19;19;15;9;6;1;0;71
"510792 Sorriso";0;0;0;0;5;9;8;6;1;0;0;29
"510795 Tangará da Serra";0;0;0;2;13;22;6;7;5;0;0;55
"510800 Tapurah";0;0;0;0;3;0;1;0;0;0;0;4
"510805 Terra Nova do Norte";0;0;0;0;0;1;0;1;0;0;0;2
"510840 Várzea Grande";0;0;1;0;41;31;22;19;3;1;0;118
"Total";2;1;3;15;241;255;197;122;51;7;3;897
