 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Mato Grosso
Período:2024
"Município (Res)";"Masculino";"Feminino";"Total"
"510010 Acorizal";1;0;1
"510020 Água Boa";7;4;11
"510025 Alta Floresta";12;1;13
"510030 Alto Araguaia";2;0;2
"510040 Alto Garças";1;0;1
"510080 Apiacás";0;1;1
"510100 Araguaiana";0;1;1
"510125 Araputanga";1;1;2
"510130 Arenápolis";2;0;2
"510140 Aripuanã";2;0;2
"510160 Barão de Melgaço";1;0;1
"510170 Barra do Bugres";2;0;2
"510180 Barra do Garças";10;3;13
"510185 Bom Jesus do Araguaia";1;0;1
"510250 Cáceres";18;6;24
"510263 Campo Novo do Parecis";7;1;8
"510267 Campo Verde";4;1;5
"510268 Campos de Júlio";1;0;1
"510269 Canabrava do Norte";1;0;1
"510270 Canarana";2;1;3
"510300 Chapada dos Guimarães";0;1;1
"510320 Colíder";9;3;12
"510335 Confresa";11;5;16
"510337 Cotriguaçu";0;1;1
"510340 Cuiabá";195;56;251
"510345 Denise";2;0;2
"510350 Diamantino";2;2;4
"510370 Feliz Natal";0;1;1
"510385 Gaúcha do Norte";0;1;1
"510390 General Carneiro";1;0;1
"510410 Guarantã do Norte";1;2;3
"510454 Itanhangá";1;0;1
"510460 Itiquira";1;0;1
"510480 Jaciara";3;1;4
"510490 Jangada";1;0;1
"510510 Juara";5;2;7
"510515 Juína";11;5;16
"510520 Juscimeira";1;1;2
"510523 Lambari D'Oeste";1;0;1
"510525 Lucas do Rio Verde";2;1;3
"510558 Marcelândia";1;1;2
"510560 Matupá";1;0;1
"510562 Mirassol d'Oeste";1;1;2
"510600 Nortelândia";1;0;1
"510622 Nova Mutum";4;2;6
"510623 Nova Olímpia";1;0;1
"510625 Nova Xavantina";3;2;5
"510628 Novo São Joaquim";1;0;1
"510630 Paranatinga";5;1;6
"510642 Peixoto de Azevedo";9;2;11
"510645 Planalto da Serra";0;1;1
"510650 Poconé";2;1;3
"510675 Pontes e Lacerda";1;0;1
"510677 Porto Alegre do Norte";1;0;1
"510682 Porto Esperidião";1;0;1
"510700 Poxoréo";2;0;2
"510704 Primavera do Leste";17;7;24
"510706 Querência";6;0;6
"510718 Ribeirão Cascalheira";0;2;2
"510760 Rondonópolis";83;26;109
"510780 Santo Antônio do Leverger";1;1;2
"510735 São José do Xingu";0;1;1
"510740 São Pedro da Cipa";1;0;1
"510787 Sapezal";4;0;4
"510790 Sinop";53;18;71
"510792 Sorriso";22;7;29
"510795 Tangará da Serra";40;15;55
"510800 Tapurah";4;0;4
"510805 Terra Nova do Norte";2;0;2
"510840 Várzea Grande";88;30;118
"Total";677;220;897
