 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2024
Ano Notificação: 2024
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2024
"Município (Res)";"Masculino";"Feminino";"Total"
"430003 Aceguá";0;1;1
"430040 Alegrete";7;4;11
"430060 Alvorada";36;31;67
"430085 Arambaré";0;1;1
"430110 Arroio dos Ratos";2;0;2
"430130 Arroio Grande";2;0;2
"430160 Bagé";9;7;16
"430163 Balneário Pinhal";1;2;3
"430190 Barra do Ribeiro";0;2;2
"430210 Bento Gonçalves";19;7;26
"430230 Bom Jesus";1;0;1
"430280 Caçapava do Sul";2;2;4
"430290 Cacequi";1;0;1
"430300 Cachoeira do Sul";10;9;19
"430310 Cachoeirinha";21;15;36
"430330 Caibaté";1;0;1
"430350 Camaquã";9;11;20
"430370 Campina das Missões";1;0;1
"430390 Campo Bom";6;2;8
"430400 Campo Novo";1;0;1
"430435 Candiota";1;0;1
"430440 Canela";14;6;20
"430450 Canguçu";3;1;4
"430460 Canoas";79;46;125
"430463 Capão da Canoa";13;14;27
"430466 Capão do Leão";2;3;5
"430470 Carazinho";11;12;23
"430480 Carlos Barbosa";1;1;2
"430510 Caxias do Sul";69;25;94
"430512 Cerrito";1;0;1
"430515 Cerro Grande";1;0;1
"430530 Chapada";1;0;1
"430535 Charqueadas";18;6;24
"430545 Cidreira";0;2;2
"430600 Crissiumal";0;1;1
"430610 Cruz Alta";11;13;24
"430640 Dois Irmãos";0;1;1
"430660 Dom Pedrito";5;5;10
"430676 Eldorado do Sul";4;2;6
"430690 Encruzilhada do Sul";2;2;4
"430700 Erechim";6;4;10
"430750 Espumoso";1;1;2
"430760 Estância Velha";5;3;8
"430770 Esteio";11;2;13
"430780 Estrela";4;2;6
"430790 Farroupilha";10;6;16
"430820 Flores da Cunha";1;0;1
"430830 Fontoura Xavier";1;0;1
"430850 Frederico Westphalen";7;8;15
"430860 Garibaldi";0;1;1
"430905 Glorinha";1;0;1
"430910 Gramado";4;2;6
"430915 Gramado Xavier";1;0;1
"430920 Gravataí";38;13;51
"430930 Guaíba";26;20;46
"430940 Guaporé";1;0;1
"430710 Herval";1;0;1
"431000 Ibirubá";1;2;3
"431010 Igrejinha";4;3;7
"431020 Ijuí";20;8;28
"431033 Imbé";0;1;1
"431036 Imigrante";1;0;1
"431040 Independência";2;0;2
"431043 Ipê";1;0;1
"431060 Itaqui";9;2;11
"431080 Ivoti";1;0;1
"431100 Jaguarão";0;1;1
"431113 Jari";1;0;1
"431120 Júlio de Castilhos";1;1;2
"431130 Lagoa Vermelha";7;4;11
"431140 Lajeado";24;12;36
"431150 Lavras do Sul";1;0;1
"431180 Marau";2;2;4
"431210 Mata";1;0;1
"431240 Montenegro";12;4;16
"431295 Nova Boa Vista";0;1;1
"431301 Nova Candelária";1;0;1
"431306 Nova Hartz";1;2;3
"431330 Nova Prata";1;1;2
"431337 Nova Santa Rita";6;1;7
"431340 Novo Hamburgo";33;30;63
"431350 Osório";10;12;22
"431370 Palmeira das Missões";9;2;11
"431390 Panambi";0;2;2
"431405 Parobé";10;6;16
"431407 Passo do Sobrado";0;1;1
"431410 Passo Fundo";44;23;67
"431420 Pedro Osório";0;1;1
"431440 Pelotas";56;22;78
"431447 Pinhal Grande";1;0;1
"431450 Pinheiro Machado";2;0;2
"431460 Piratini";0;1;1
"431480 Portão";6;2;8
"431490 Porto Alegre";445;286;731
"431530 Quaraí";3;0;3
"431560 Rio Grande";42;32;74
"431570 Rio Pardo";5;3;8
"431620 Rondinha";1;0;1
"431640 Rosário do Sul";4;3;7
"431670 Santa Bárbara do Sul";0;1;1
"431680 Santa Cruz do Sul";25;13;38
"431690 Santa Maria";48;25;73
"431720 Santa Rosa";6;3;9
"431730 Santa Vitória do Palmar";8;4;12
"431700 Santana da Boa Vista";1;0;1
"431710 Santana do Livramento";9;3;12
"431740 Santiago";5;3;8
"431750 Santo Ângelo";16;8;24
"431760 Santo Antônio da Patrulha";9;2;11
"431800 São Borja";6;3;9
"431820 São Francisco de Paula";3;0;3
"431830 São Gabriel";4;5;9
"431840 São Jerônimo";6;4;10
"431845 São José das Missões";0;1;1
"431850 São José do Norte";1;0;1
"431862 São José dos Ausentes";1;0;1
"431870 São Leopoldo";52;33;85
"431880 São Lourenço do Sul";3;0;3
"431890 São Luiz Gonzaga";4;6;10
"431900 São Marcos";2;0;2
"431915 São Miguel das Missões";1;0;1
"431940 São Pedro do Sul";3;0;3
