 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2018
Ano Notificação: 2018
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2018
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"430030 Alecrim";0;1;0;0;0;0;0;0;0;0;1
"430040 Alegrete";0;1;1;1;1;1;0;1;0;0;6
"430045 Alegria";0;0;0;1;0;0;0;0;0;0;1
"430060 Alvorada";1;7;2;12;12;7;7;1;2;0;51
"430080 Antônio Prado";0;0;0;0;0;1;0;0;0;0;1
"430090 Aratiba";0;1;0;0;0;0;0;0;0;0;1
"430100 Arroio do Meio";0;1;0;0;0;0;0;0;0;0;1
"430105 Arroio do Sal";0;0;0;1;0;0;0;0;0;0;1
"430130 Arroio Grande";0;0;0;0;2;0;1;0;0;0;3
"430160 Bagé";1;0;9;10;3;2;0;0;0;0;25
"430163 Balneário Pinhal";0;0;1;0;0;0;0;0;0;0;1
"430200 Barros Cassal";0;0;0;0;0;1;0;0;0;0;1
"430210 Bento Gonçalves";0;0;1;2;1;3;2;3;1;0;13
"430222 Boa Vista do Cadeado";0;1;1;0;0;0;0;0;0;0;2
"430230 Bom Jesus";0;0;0;1;0;0;0;0;1;0;2
"430235 Bom Princípio";0;0;0;0;1;0;0;0;0;0;1
"430270 Butiá";0;0;0;0;1;0;1;0;0;0;2
"430280 Caçapava do Sul";0;1;0;1;0;0;0;0;0;0;2
"430290 Cacequi";0;1;0;0;1;0;0;0;0;0;2
"430300 Cachoeira do Sul";0;2;1;6;2;1;4;1;2;0;19
"430310 Cachoeirinha";0;4;1;7;8;3;8;1;2;0;34
"430350 Camaquã";1;2;1;4;1;2;1;0;0;0;12
"430390 Campo Bom";0;0;1;3;4;2;3;0;2;0;15
"430420 Candelária";0;0;0;2;1;1;1;0;0;0;5
"430435 Candiota";0;0;0;1;0;0;0;0;0;0;1
"430440 Canela";0;2;1;5;3;1;2;3;1;0;18
"430460 Canoas";0;12;7;24;7;9;25;1;4;0;89
"430461 Canudos do Vale";1;0;0;0;0;0;0;0;0;0;1
"430463 Capão da Canoa";2;2;1;4;0;1;3;1;2;0;16
"430468 Capela de Santana";0;0;0;1;1;0;0;0;0;0;2
"430470 Carazinho";0;0;0;1;0;1;0;0;0;0;2
"430480 Carlos Barbosa";0;0;0;0;1;0;0;0;1;0;2
"430490 Casca";0;0;0;0;1;0;0;0;0;0;1
"430495 Caseiros";0;1;0;0;0;0;0;0;0;0;1
"430510 Caxias do Sul";1;6;3;13;16;7;16;7;7;0;76
"430512 Cerrito";0;0;0;0;0;0;1;0;0;0;1
"430517 Cerro Grande do Sul";0;0;0;0;1;0;0;0;0;0;1
"430535 Charqueadas";2;1;0;1;3;0;3;0;0;0;10
"430543 Chuí";0;0;0;0;1;0;0;0;0;0;1
"430545 Cidreira";0;0;1;0;0;0;0;0;0;0;1
"430610 Cruz Alta";0;1;0;4;4;1;4;0;2;0;16
"430620 Cruzeiro do Sul";0;0;0;1;0;0;0;0;0;0;1
"430630 David Canabarro";0;0;0;1;0;0;0;0;0;0;1
"430640 Dois Irmãos";0;0;0;1;0;1;0;1;0;0;3
"430660 Dom Pedrito";0;0;1;0;0;1;0;0;1;0;3
"430675 Doutor Ricardo";0;0;0;1;0;0;0;0;0;0;1
"430676 Eldorado do Sul";0;3;0;1;1;0;1;1;0;0;7
"430680 Encantado";0;0;0;1;0;0;0;0;0;0;1
"430690 Encruzilhada do Sul";0;1;0;0;0;0;0;0;0;0;1
"430700 Erechim";2;0;3;1;2;2;3;2;0;0;15
"430750 Espumoso";0;0;0;0;0;0;1;0;1;0;2
"430760 Estância Velha";0;1;0;0;1;2;1;0;0;0;5
"430770 Esteio";1;3;1;7;5;1;2;0;0;0;20
"430780 Estrela";1;1;1;2;1;0;1;0;0;0;7
"430790 Farroupilha";0;2;1;1;1;0;0;0;0;0;5
"430820 Flores da Cunha";0;0;0;1;0;0;1;0;1;0;3
"430850 Frederico Westphalen";0;0;1;3;1;0;2;0;0;0;7
"430860 Garibaldi";0;0;0;2;0;0;0;0;0;0;2
"430870 Gaurama";0;0;0;0;0;1;0;0;0;0;1
"430900 Giruá";0;0;1;1;0;0;0;0;0;0;2
"430910 Gramado";0;0;0;0;1;1;3;1;2;0;8
"430915 Gramado Xavier";0;0;0;1;0;0;0;0;0;0;1
"430920 Gravataí";0;4;4;11;8;4;7;2;1;0;41
"430930 Guaíba";0;1;0;8;5;3;4;0;2;0;23
"430940 Guaporé";0;0;0;0;0;0;1;0;1;0;2
"430957 Herveiras";0;1;0;0;0;0;0;0;0;0;1
"430960 Horizontina";0;0;0;0;0;0;0;0;1;0;1
"431000 Ibirubá";0;0;0;0;1;0;0;0;0;0;1
"431010 Igrejinha";0;0;0;0;1;0;0;0;0;0;1
"431020 Ijuí";0;1;0;5;4;1;4;1;2;0;18
"431030 Ilópolis";0;1;0;0;0;0;0;0;0;0;1
"431033 Imbé";0;0;0;1;0;0;0;0;0;0;1
"431040 Independência";0;0;0;0;0;0;1;0;0;0;1
"431055 Itacurubi";0;0;0;0;0;1;0;0;0;0;1
"431060 Itaqui";1;0;3;1;2;2;1;0;0;0;10
"431075 Ivorá";0;0;0;0;0;0;1;0;0;0;1
"431080 Ivoti";0;0;1;0;0;0;0;0;0;0;1
"431120 Júlio de Castilhos";0;0;0;1;0;0;0;0;0;0;1
"431130 Lagoa Vermelha";0;1;0;2;0;0;0;0;0;0;3
"431140 Lajeado";0;1;3;9;7;5;9;1;1;0;36
"431160 Liberato Salzano";0;1;0;0;0;0;0;0;0;0;1
"431173 Mampituba";0;0;0;0;0;0;1;0;0;0;1
"431175 Manoel Viana";0;0;1;0;0;0;0;0;0;0;1
"431180 Marau";0;0;1;0;0;0;1;0;0;0;2
"431240 Montenegro";0;4;5;10;1;0;0;0;1;0;21
"431242 Mormaço";0;0;0;0;1;0;0;0;0;0;1
"431244 Morrinhos do Sul";0;0;0;1;0;0;0;0;0;0;1
"431250 Mostardas";0;0;0;1;0;0;0;0;0;0;1
"431306 Nova Hartz";0;0;1;0;0;1;0;0;0;0;2
"431337 Nova Santa Rita";1;1;1;1;1;1;0;0;0;0;6
"431349 Novo Barreiro";0;1;1;0;0;0;1;0;0;0;3
"431340 Novo Hamburgo";3;12;5;35;4;5;15;2;3;0;84
"431344 Novo Tiradentes";1;0;0;0;0;0;0;0;0;0;1
"431350 Osório";0;1;3;3;4;0;1;0;1;0;13
"431365 Palmares do Sul";0;0;0;0;1;1;0;0;0;0;2
"431370 Palmeira das Missões";0;0;1;0;0;0;1;0;0;0;2
"431390 Panambi";0;0;0;1;0;0;0;0;0;0;1
"431395 Pantano Grande";0;0;0;1;1;0;0;0;0;0;2
"431400 Paraí";0;0;0;1;0;0;0;0;0;0;1
"431402 Paraíso do Sul";0;0;0;0;1;0;0;0;0;0;1
"431405 Parobé";0;3;1;2;1;1;1;1;1;0;11
"431410 Passo Fundo";0;0;1;9;3;4;11;1;5;0;34
"431440 Pelotas";2;8;2;13;1;3;4;2;4;0;39
"431447 Pinhal Grande";0;0;0;1;0;0;0;0;0;0;1
"431470 Planalto";0;0;0;0;0;1;0;0;0;0;1
"431480 Portão";0;0;1;1;0;0;0;0;0;0;2
"431490 Porto Alegre";14;57;29;144;90;67;93;27;43;0;564
"431530 Quaraí";0;1;0;0;0;0;0;0;0;0;1
"431550 Restinga Seca";0;0;0;1;0;0;0;0;1;0;2
"431560 Rio Grande";3;9;14;24;7;12;7;5;9;0;90
"431570 Rio Pardo";0;1;0;1;1;1;2;1;0;0;7
"431595 Rolador";0;0;0;0;0;0;0;1;0;0;1
"431620 Rondinha";0;0;0;1;0;0;0;0;0;0;1
"431640 Rosário do Sul";0;0;0;0;1;1;0;0;1;0;3
"431645 Salto do Jacuí";0;0;0;0;1;0;0;0;0;0;1
"431680 Santa Cruz do Sul";0;2;2;10;0;7;11;1;4;0;37
"431690 Santa Maria";2;7;1;25;5;10;14;10;17;0;91
"431720 Santa Rosa";0;2;0;3;0;1;3;1;0;0;10
"431730 Santa Vitória do Palmar";0;1;1;3;2;1;2;1;0;0;11
"431710 Santana do Livramento";0;0;0;4;3;0;0;0;1;0;8
"431740 Santiago";1;0;1;2;0;4;5;0;0;0;13
"431750 Santo Ângelo";0;1;0;4;3;5;1;1;2;0;17
"431760 Santo Antônio da Patrulha";1;4;0;4;0;0;3;0;0;0;12
"431780 Santo Augusto";0;0;0;0;0;1;0;0;0;0;1
"431790 Santo Cristo";0;0;0;1;1;0;0;0;0;0;2
"431800 São Borja";1;0;0;2;2;4;5;0;0;0;14
"431810 São Francisco de Assis";0;0;0;0;0;1;0;0;0;0;1
"431820 São Francisco de Paula";0;0;0;1;0;0;0;0;0;0;1
"431830 São Gabriel";0;1;1;2;1;2;2;0;0;0;9
"431840 São Jerônimo";0;0;2;3;2;1;0;0;1;0;9
"431849 São José do Inhacorá";0;0;0;1;0;0;0;0;0;0;1
"431850 São José do Norte";1;1;0;0;0;0;1;0;0;0;3
"431870 São Leopoldo";2;10;5;24;9;7;12;6;5;0;80
"431880 São Lourenço do Sul";0;0;1;0;0;0;1;0;0;0;2
"431890 São Luiz Gonzaga";0;1;0;2;2;0;1;0;0;0;6
"431900 São Marcos";0;1;0;0;0;0;0;1;0;0;2
"431930 São Paulo das Missões";0;0;0;0;0;0;0;0;1;0;1
"431936 São Pedro das Missões";0;0;0;0;1;0;0;0;0;0;1
"431940 São Pedro do Sul";0;0;0;0;0;0;1;0;0;0;1
"431960 São Sepé";0;0;0;1;1;0;1;0;1;0;4
"431990 Sapiranga";0;0;0;6;5;1;3;0;3;0;18
"432000 Sapucaia do Sul";0;5;0;21;4;5;6;1;2;0;44
"432045 Sério";0;0;0;0;0;0;0;0;1;0;1
"432055 Sertão Santana";1;0;0;0;0;0;0;0;0;0;1
"432070 Sobradinho";0;1;0;1;0;0;1;0;0;0;3
"432080 Soledade";0;1;0;1;3;1;0;0;0;0;6
"432090 Tapejara";0;0;0;1;0;0;0;0;0;0;1
"432120 Taquara";1;4;1;2;1;5;1;0;0;0;15
"432130 Taquari";1;1;0;0;0;0;0;0;0;0;2
"432140 Tenente Portela";0;0;0;1;0;0;0;0;0;0;1
"432145 Teutônia";0;0;0;0;1;1;0;0;0;0;2
"432150 Torres";0;0;0;3;0;3;1;1;1;0;9
"432160 Tramandaí";1;2;2;4;0;5;2;0;2;0;18
"432180 Três de Maio";0;1;0;1;1;0;0;0;0;0;3
