 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Mato Grosso do Sul
Período:2019
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"500020 Água Clara";2;0;0;0;0;2
"500060 Amambaí";0;0;0;0;3;3
"500070 Anastácio";2;0;0;2;0;4
"500085 Angélica";1;0;0;1;0;2
"500090 Antônio João";0;0;0;1;0;1
"500100 Aparecida do Taboado";1;1;0;0;0;2
"500110 Aquidauana";3;0;0;1;2;6
"500124 Aral Moreira";1;0;0;1;0;2
"500150 Bandeirantes";0;0;0;1;0;1
"500190 Bataguassu";0;0;0;1;0;1
"500210 Bela Vista";1;0;0;0;0;1
"500240 Caarapó";0;0;0;2;1;3
"500270 Campo Grande";152;13;16;141;3;325
"500280 Caracol";1;0;0;0;0;1
"500290 Cassilândia";1;1;0;1;0;3
"500295 Chapadão do Sul";1;0;0;0;0;1
"500315 Coronel Sapucaia";0;0;0;1;0;1
"500320 Corumbá";8;0;1;21;0;30
"500325 Costa Rica";1;1;0;2;0;4
"500330 Coxim";5;1;0;14;0;20
"500370 Dourados";66;5;2;28;7;108
"500375 Eldorado";0;0;0;4;0;4
"500430 Iguatemi";1;0;0;0;0;1
"500460 Itaquiraí";0;0;0;1;0;1
"500470 Ivinhema";2;0;0;0;0;2
"500500 Jardim";1;1;0;6;0;8
"500520 Ladário";0;0;0;1;0;1
"500540 Maracaju";1;0;0;1;0;2
"500568 Mundo Novo";0;0;0;2;0;2
"500570 Naviraí";5;0;0;15;4;24
"500580 Nioaque";0;0;0;1;0;1
"500600 Nova Alvorada do Sul";1;1;0;0;0;2
"500620 Nova Andradina";4;0;0;8;0;12
"500630 Paranaíba";10;0;0;6;0;16
"500640 Pedro Gomes";0;0;0;1;0;1
"500660 Ponta Porã";14;0;1;19;11;45
"500690 Porto Murtinho";0;0;0;1;0;1
"500710 Ribas do Rio Pardo";0;0;0;1;0;1
"500720 Rio Brilhante";0;0;0;2;0;2
"500730 Rio Negro";1;0;0;1;0;2
"500740 Rio Verde de Mato Grosso";0;0;0;6;0;6
"500769 São Gabriel do Oeste";0;1;0;1;0;2
"500770 Sete Quedas";1;0;0;0;0;1
"500790 Sidrolândia";2;0;0;0;0;2
"500830 Três Lagoas";14;3;0;19;0;36
"Total";303;28;20;314;31;696
