 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2024
Ano Notificação: 2024
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2024
"Município (Res)";"Masculino";"Feminino";"Total"
"420020 Agrolândia";1;0;1
"420040 Água Doce";1;0;1
"420050 Águas de Chapecó";1;0;1
"420060 Águas Mornas";1;0;1
"420090 Angelina";1;0;1
"420125 Apiúna";1;0;1
"420130 Araquari";2;1;3
"420140 Araranguá";7;7;14
"420150 Armazém";2;0;2
"420170 Ascurra";1;1;2
"420195 Balneário Arroio do Silva";2;4;6
"420200 Balneário Camboriú";60;31;91
"420207 Balneário Gaivota";3;1;4
"420210 Barra Velha";7;1;8
"420230 Biguaçu";14;10;24
"420240 Blumenau";66;32;98
"420253 Bom Jesus";1;0;1
"420245 Bombinhas";3;2;5
"420280 Braço do Norte";3;0;3
"420287 Brunópolis";0;1;1
"420290 Brusque";19;11;30
"420300 Caçador";10;4;14
"420310 Caibi";1;0;1
"420320 Camboriú";27;19;46
"420350 Campo Erê";0;1;1
"420360 Campos Novos";3;2;5
"420370 Canelinha";1;3;4
"420380 Canoinhas";9;2;11
"420390 Capinzal";9;3;12
"420395 Capivari de Baixo";2;2;4
"420400 Catanduvas";0;1;1
"420420 Chapecó";52;24;76
"420425 Cocal do Sul";3;1;4
"420430 Concórdia";12;4;16
"420435 Cordilheira Alta";1;0;1
"420450 Corupá";1;0;1
"420460 Criciúma";44;18;62
"420480 Curitibanos";7;1;8
"420515 Doutor Pedrinho";0;1;1
"420540 Florianópolis";149;66;215
"420545 Forquilhinha";2;1;3
"420550 Fraiburgo";4;3;7
"420570 Garopaba";4;4;8
"420580 Garuva";1;0;1
"420590 Gaspar";13;8;21
"420600 Governador Celso Ramos";2;0;2
"420630 Guabiruba";1;2;3
"420650 Guaramirim";6;3;9
"420665 Guatambú";0;1;1
"420670 Herval d'Oeste";6;1;7
"420680 Ibicaré";1;0;1
"420700 Içara";10;4;14
"420710 Ilhota";0;1;1
"420730 Imbituba";5;8;13
"420750 Indaial";7;7;14
"420768 Ipuaçu";1;0;1
"420770 Ipumirim";1;0;1
"420810 Itaiópolis";1;0;1
"420820 Itajaí";80;40;120
"420830 Itapema";18;9;27
"420845 Itapoá";4;2;6
"420880 Jaguaruna";2;3;5
"420890 Jaraguá do Sul";26;8;34
"420900 Joaçaba";7;3;10
"420910 Joinville";108;44;152
"420930 Lages";50;27;77
"420940 Laguna";9;4;13
"420960 Lauro Muller";0;1;1
"420990 Lontras";2;0;2
"421010 Mafra";4;4;8
"421030 Major Vieira";1;0;1
"421040 Maracajá";3;1;4
"421080 Meleiro";1;0;1
"421105 Monte Carlo";1;0;1
"421120 Morro da Fumaça";2;2;4
"421130 Navegantes";26;11;37
"421150 Nova Trento";4;2;6
"421160 Nova Veneza";1;0;1
"421170 Orleans";1;2;3
"421175 Otacílio Costa";1;0;1
"421180 Ouro";1;0;1
"421185 Ouro Verde";1;0;1
"421190 Palhoça";49;17;66
"421210 Palmitos";1;0;1
"421220 Papanduva";0;1;1
"421225 Passo de Torres";3;2;5
"421250 Penha";9;6;15
"421280 Piçarras";2;1;3
"421290 Pinhalzinho";2;0;2
"421320 Pomerode";4;1;5
"421330 Ponte Alta";0;1;1
"421335 Ponte Alta do Norte";1;0;1
"421350 Porto Belo";5;3;8
"421360 Porto União";2;2;4
"421440 Rio das Antas";1;0;1
"421480 Rio do Sul";21;15;36
"421490 Rio Fortuna";0;1;1
"421500 Rio Negrinho";1;4;5
"421530 Salete";1;0;1
"421545 Sangão";3;0;3
"421550 Santa Cecília";1;2;3
"421570 Santo Amaro da Imperatriz";1;1;2
"421580 São Bento do Sul";3;3;6
"421590 São Bonifácio";1;0;1
"421605 São Cristovão do Sul";1;0;1
"421610 São Domingos";1;0;1
"421620 São Francisco do Sul";10;10;20
"421630 São João Batista";1;2;3
"421640 São João do Sul";1;0;1
"421650 São Joaquim";1;0;1
"421660 São José";56;35;91
"421680 São José do Cerrito";1;1;2
"421690 São Lourenço do Oeste";1;0;1
"421700 São Ludgero";1;0;1
"421710 São Martinho";1;0;1
"421720 São Miguel do Oeste";11;7;18
"421725 São Pedro de Alcântara";3;0;3
"421750 Seara";1;0;1
"421760 Siderópolis";1;0;1
"421770 Sombrio";2;5;7
"421780 Taió";0;1;1
"421800 Tijucas";12;5;17
"421810 Timbé do Sul";1;0;1
"421820 Timbó";6;1;7
"421830 Três Barras";0;1;1
"421840 Treze de Maio";1;0;1
"421870 Tubarão";22;12;34
"421880 Turvo";1;0;1
"421885 União do Oeste";0;1;1
"421900 Urussanga";4;1;5
"421910 Vargeão";2;1;3
"421917 Vargem Bonita";1;0;1
"421930 Videira";9;3;12
"421950 Xanxerê";13;8;21
"421970 Xaxim";2;2;4
"421985 Zortéa";1;0;1
"Total";1224;616;1840
