 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2017
Ano Notificação: 2017
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2017
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"430040 Alegrete";14;2;0;2;0;18
"430055 Alto Alegre";1;0;0;0;0;1
"430060 Alvorada";57;17;2;7;2;85
"430064 Ametista do Sul";1;0;0;0;0;1
"430066 André da Rocha";0;1;0;0;0;1
"430080 Antônio Prado";1;0;0;0;0;1
"430100 Arroio do Meio";1;0;0;0;0;1
"430105 Arroio do Sal";1;0;0;0;0;1
"430120 Arroio do Tigre";1;0;0;0;0;1
"430130 Arroio Grande";3;0;0;0;0;3
"430160 Bagé";25;8;0;2;0;35
"430163 Balneário Pinhal";1;0;0;0;0;1
"430200 Barros Cassal";1;0;0;0;0;1
"430210 Bento Gonçalves";14;3;0;5;0;22
"430220 Boa Vista do Buricá";1;0;0;0;0;1
"430223 Boa Vista do Incra";1;0;0;0;0;1
"430230 Bom Jesus";2;0;0;2;0;4
"430240 Bom Retiro do Sul";1;0;0;0;0;1
"430270 Butiá";1;0;0;0;0;1
"430280 Caçapava do Sul";12;0;0;0;0;12
"430300 Cachoeira do Sul";15;1;0;1;0;17
"430310 Cachoeirinha";36;4;0;3;0;43
"430350 Camaquã";10;5;0;4;0;19
"430380 Campinas do Sul";1;0;0;0;0;1
"430390 Campo Bom";8;0;0;0;0;8
"430420 Candelária";4;0;0;2;0;6
"430435 Candiota";1;1;0;0;0;2
"430440 Canela";16;0;0;0;0;16
"430450 Canguçu";1;0;0;0;0;1
"430460 Canoas";145;14;1;8;5;173
"430462 Capão Bonito do Sul";1;0;0;0;0;1
"430463 Capão da Canoa";16;1;1;1;0;19
"430466 Capão do Leão";2;0;0;0;0;2
"430468 Capela de Santana";1;0;0;0;0;1
"430467 Capivari do Sul";1;0;0;0;0;1
"430470 Carazinho";6;1;0;0;0;7
"430500 Catuípe";1;0;0;0;0;1
"430510 Caxias do Sul";60;4;0;16;0;80
"430512 Cerrito";1;0;0;0;0;1
"430517 Cerro Grande do Sul";1;1;0;0;0;2
"430535 Charqueadas";30;5;0;2;0;37
"430545 Cidreira";1;1;0;1;0;3
"430570 Condor";1;0;0;0;0;1
"430590 Coronel Bicaco";1;0;0;0;0;1
"430593 Coronel Pilar";1;0;0;0;0;1
"430610 Cruz Alta";29;0;0;5;0;34
"430640 Dois Irmãos";2;0;0;0;0;2
"430645 Dois Lajeados";0;1;0;0;0;1
"430660 Dom Pedrito";14;5;0;1;0;20
"430676 Eldorado do Sul";9;1;0;2;1;13
"430690 Encruzilhada do Sul";3;0;0;0;0;3
"430693 Entre-Ijuís";3;0;0;1;0;4
"430700 Erechim";10;0;0;1;0;11
"430705 Ernestina";1;0;0;0;0;1
"430720 Erval Grande";1;0;0;0;0;1
"430750 Espumoso";2;0;0;0;0;2
"430760 Estância Velha";4;0;0;0;0;4
"430770 Esteio";15;4;0;1;0;20
"430780 Estrela";11;0;0;1;0;12
"430790 Farroupilha";9;0;1;0;0;10
"430800 Faxinal do Soturno";0;0;0;1;0;1
"430810 Feliz";4;0;0;0;0;4
"430820 Flores da Cunha";3;0;0;1;0;4
"430845 Fortaleza dos Valos";1;0;0;0;0;1
"430850 Frederico Westphalen";3;0;0;3;0;6
"430860 Garibaldi";3;0;0;0;0;3
"430890 Getúlio Vargas";1;0;0;0;0;1
"430900 Giruá";2;1;0;0;0;3
"430905 Glorinha";1;0;0;0;0;1
"430910 Gramado";4;0;0;0;0;4
"430912 Gramado dos Loureiros";1;0;0;0;0;1
"430920 Gravataí";53;8;0;12;0;73
"430930 Guaíba";16;5;0;4;0;25
"430710 Herval";2;0;0;1;0;3
"430960 Horizontina";1;0;0;0;0;1
"430965 Hulha Negra";1;0;0;0;0;1
"431000 Ibirubá";4;0;0;0;0;4
"431010 Igrejinha";1;0;0;0;0;1
"431020 Ijuí";21;1;0;1;0;23
"431033 Imbé";3;0;0;0;0;3
"431036 Imigrante";1;0;0;0;0;1
"431040 Independência";0;1;0;0;0;1
"431060 Itaqui";4;2;0;2;0;8
"431070 Itatiba do Sul";1;0;0;1;0;2
"431080 Ivoti";2;0;0;0;0;2
"431100 Jaguarão";3;0;0;0;0;3
"431115 Jóia";1;0;0;0;0;1
"431120 Júlio de Castilhos";0;1;0;0;0;1
"431130 Lagoa Vermelha";8;0;0;1;0;9
"431140 Lajeado";24;5;0;2;0;31
"431162 Lindolfo Collor";1;0;0;0;0;1
"431180 Marau";4;1;0;0;0;5
"431215 Mato Leitão";1;0;0;0;0;1
"431240 Montenegro";22;6;0;0;0;28
"431265 Não-Me-Toque";1;0;0;0;0;1
"431270 Nonoai";1;0;0;0;0;1
"431306 Nova Hartz";1;0;0;0;0;1
"431330 Nova Prata";2;0;0;0;0;2
"431337 Nova Santa Rita";2;0;0;1;0;3
"431340 Novo Hamburgo";106;12;1;3;1;123
"431350 Osório";18;2;0;0;0;20
"431365 Palmares do Sul";6;0;0;0;0;6
"431370 Palmeira das Missões";14;1;0;0;0;15
"431390 Panambi";3;0;0;0;0;3
"431395 Pantano Grande";0;0;1;0;0;1
"431402 Paraíso do Sul";1;0;0;0;0;1
"431405 Parobé";10;0;0;0;0;10
"431406 Passa Sete";0;1;0;0;0;1
"431410 Passo Fundo";32;1;1;10;0;44
