 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso
Período:2017
"Município (Res)";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"510010 Acorizal";0;0;0;0;0;0;0;1;0;0;0;1
"510020 Água Boa";0;0;0;0;1;0;1;0;0;0;0;2
"510025 Alta Floresta";0;0;0;0;3;3;2;0;0;0;0;8
"510030 Alto Araguaia";0;0;0;0;3;1;1;1;0;0;0;6
"510040 Alto Garças";0;0;0;1;0;2;2;0;0;0;0;5
"510050 Alto Paraguai";0;0;0;0;0;1;1;1;0;0;0;3
"510060 Alto Taquari";0;0;0;0;0;1;0;0;0;0;0;1
"510100 Araguaiana";0;0;0;0;1;0;0;0;0;0;0;1
"510125 Araputanga";0;0;0;0;0;1;0;1;1;0;0;3
"510160 Barão de Melgaço";0;0;0;0;0;0;1;0;0;0;0;1
"510180 Barra do Garças";0;0;0;0;2;4;3;1;0;0;0;10
"510190 Brasnorte";0;0;0;0;0;0;0;1;0;0;0;1
"510250 Cáceres";0;0;0;0;3;8;2;2;1;1;0;17
"510263 Campo Novo do Parecis";0;0;0;0;1;0;1;0;0;0;0;2
"510267 Campo Verde";0;0;0;1;1;0;4;1;0;0;0;7
"510269 Canabrava do Norte";0;0;0;0;0;1;0;0;0;0;0;1
"510270 Canarana";0;0;0;0;0;3;1;0;0;0;0;4
"510305 Cláudia";0;0;0;0;0;1;0;0;0;0;0;1
"510320 Colíder";0;0;0;0;2;0;2;0;0;0;0;4
"510330 Comodoro";0;0;0;0;0;0;1;1;0;0;0;2
"510335 Confresa";0;0;0;2;1;3;0;0;0;0;0;6
"510336 Conquista D'Oeste";0;0;0;0;1;0;0;0;0;0;0;1
"510340 Cuiabá";1;0;0;3;69;67;36;21;18;4;0;219
"510350 Diamantino";0;0;0;0;1;1;1;3;2;0;0;8
"510360 Dom Aquino";0;0;0;0;0;1;0;0;0;0;0;1
"510370 Feliz Natal";0;0;0;0;0;0;0;0;1;0;0;1
"510385 Gaúcha do Norte";0;0;0;0;1;1;0;0;0;0;0;2
"510410 Guarantã do Norte";0;0;0;0;2;6;4;0;3;1;0;16
"510420 Guiratinga";0;0;0;0;0;1;0;0;2;0;0;3
"510480 Jaciara";0;0;0;0;1;1;2;2;0;0;0;6
"510490 Jangada";0;0;0;0;0;0;1;0;0;0;0;1
"510500 Jauru";0;0;0;0;1;0;0;0;0;0;0;1
"510510 Juara";0;0;0;0;3;0;2;0;0;1;0;6
"510515 Juína";0;0;0;0;1;0;0;0;1;0;0;2
"510520 Juscimeira";0;0;0;0;1;0;0;0;0;0;0;1
"510525 Lucas do Rio Verde";0;0;0;1;4;1;1;1;0;0;0;8
"510558 Marcelândia";0;0;0;0;0;1;0;0;0;0;0;1
"510562 Mirassol d'Oeste";0;0;0;0;1;1;0;0;0;0;0;2
"510590 Nobres";0;0;0;0;0;1;1;1;0;0;0;3
"510600 Nortelândia";0;0;0;0;0;1;0;0;1;0;0;2
"510618 Nova Lacerda";0;0;0;0;0;0;1;0;0;0;0;1
"510890 Nova Maringá";0;0;0;0;0;0;1;0;0;0;0;1
"510622 Nova Mutum";0;0;0;0;2;0;1;1;0;0;0;4
"510623 Nova Olímpia";0;0;0;0;0;0;1;0;0;0;0;1
"510625 Nova Xavantina";0;0;0;1;1;0;0;0;0;1;0;3
"510630 Paranatinga";0;0;0;0;2;1;4;1;0;0;0;8
"510637 Pedra Preta";0;0;0;0;1;0;0;0;0;0;0;1
"510642 Peixoto de Azevedo";0;0;0;0;0;0;2;1;1;0;0;4
"510650 Poconé";0;0;0;0;0;1;0;2;0;0;0;3
"510675 Pontes e Lacerda";0;0;0;0;3;1;2;0;0;0;0;6
"510677 Porto Alegre do Norte";0;0;0;0;2;1;0;0;0;0;0;3
"510680 Porto dos Gaúchos";0;0;0;0;0;1;0;0;0;0;0;1
