 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Mato Grosso
Período:2017
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"510010 Acorizal";0;0;0;1;0;1
"510020 Água Boa";1;0;0;1;0;2
"510025 Alta Floresta";3;1;0;4;0;8
"510030 Alto Araguaia";2;0;0;4;0;6
"510040 Alto Garças";0;0;1;4;0;5
"510050 Alto Paraguai";1;0;0;2;0;3
"510060 Alto Taquari";1;0;0;0;0;1
"510100 Araguaiana";1;0;0;0;0;1
"510125 Araputanga";2;1;0;0;0;3
"510160 Barão de Melgaço";0;0;0;1;0;1
"510180 Barra do Garças";1;1;0;8;0;10
"510190 Brasnorte";0;0;0;1;0;1
"510250 Cáceres";2;1;0;14;0;17
"510263 Campo Novo do Parecis";0;1;0;1;0;2
"510267 Campo Verde";1;1;0;5;0;7
"510269 Canabrava do Norte";0;0;0;1;0;1
"510270 Canarana";0;2;0;2;0;4
"510305 Cláudia";1;0;0;0;0;1
"510320 Colíder";1;1;0;2;0;4
"510330 Comodoro";1;0;0;1;0;2
"510335 Confresa";4;0;1;1;0;6
"510336 Conquista D'Oeste";0;0;0;1;0;1
"510340 Cuiabá";44;22;5;148;0;219
"510350 Diamantino";2;2;0;4;0;8
"510360 Dom Aquino";1;0;0;0;0;1
"510370 Feliz Natal";0;0;0;1;0;1
"510385 Gaúcha do Norte";0;0;0;2;0;2
"510410 Guarantã do Norte";4;0;0;12;0;16
"510420 Guiratinga";1;0;0;2;0;3
"510480 Jaciara";1;0;0;5;0;6
"510490 Jangada";0;0;0;1;0;1
"510500 Jauru";1;0;0;0;0;1
"510510 Juara";1;0;0;5;0;6
"510515 Juína";1;0;0;1;0;2
"510520 Juscimeira";0;0;0;1;0;1
"510525 Lucas do Rio Verde";3;2;0;3;0;8
"510558 Marcelândia";0;0;0;1;0;1
"510562 Mirassol d'Oeste";1;0;0;1;0;2
"510590 Nobres";1;0;0;2;0;3
"510600 Nortelândia";0;0;0;2;0;2
"510618 Nova Lacerda";0;0;0;1;0;1
"510890 Nova Maringá";1;0;0;0;0;1
"510622 Nova Mutum";1;0;0;3;0;4
"510623 Nova Olímpia";0;1;0;0;0;1
"510625 Nova Xavantina";2;1;0;0;0;3
"510630 Paranatinga";2;0;0;6;0;8
"510637 Pedra Preta";0;0;0;1;0;1
"510642 Peixoto de Azevedo";0;0;0;4;0;4
"510650 Poconé";1;1;0;1;0;3
"510675 Pontes e Lacerda";1;1;0;4;0;6
"510677 Porto Alegre do Norte";1;0;0;2;0;3
"510680 Porto dos Gaúchos";0;0;0;1;0;1
"510682 Porto Esperidião";0;1;0;2;0;3
"510685 Porto Estrela";0;0;0;1;0;1
"510700 Poxoréo";1;1;0;4;0;6
"510704 Primavera do Leste";4;0;0;6;0;10
"510706 Querência";0;1;0;0;0;1
"510720 Rio Branco";0;0;0;1;0;1
"510760 Rondonópolis";59;11;5;75;0;150
"510770 Rosário Oeste";1;0;0;1;0;2
"510775 Salto do Céu";0;0;0;2;0;2
"510774 Santa Cruz do Xingu";0;0;0;1;0;1
"510777 Santa Terezinha";0;0;0;1;0;1
"510779 Santo Antônio do Leste";1;0;0;0;0;1
"510785 São Félix do Araguaia";1;0;0;2;0;3
"510730 São José do Rio Claro";0;0;0;2;0;2
"510740 São Pedro da Cipa";1;0;0;1;0;2
"510787 Sapezal";1;0;0;2;0;3
"510790 Sinop";19;0;0;25;0;44
"510792 Sorriso";5;1;1;9;0;16
"510795 Tangará da Serra";8;0;2;16;0;26
"510805 Terra Nova do Norte";0;0;0;1;0;1
"510840 Várzea Grande";15;4;2;35;1;57
"510550 Vila Bela da Santíssima Trindade";0;0;0;1;0;1
"510860 Vila Rica";3;0;0;1;0;4
"Total";211;58;17;457;1;744
