 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Goiás
Período:2015
"Município (Res)";"< 1 ano";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"520005 Abadia de Goiás";0;0;0;1;0;0;0;0;0;0;1
"520010 Abadiânia";0;0;0;0;0;1;0;0;0;0;1
"520025 Águas Lindas de Goiás";0;0;0;0;2;1;3;0;0;0;6
"520030 Alexânia";0;0;0;0;0;0;1;0;0;0;1
"520060 Alto Paraíso de Goiás";0;0;0;1;0;0;0;0;0;0;1
"520080 Alvorada do Norte";0;0;0;1;1;1;0;0;0;0;3
"520110 Anápolis";0;0;5;19;24;14;7;3;2;0;74
"520120 Anhanguera";0;0;0;0;0;1;0;0;0;0;1
"520140 Aparecida de Goiânia";0;0;1;17;20;21;9;3;0;0;71
"520170 Aragarças";0;0;0;0;0;0;1;0;0;0;1
"520215 Araguapaz";0;0;0;0;0;1;0;0;0;0;1
"520280 Avelinópolis";0;0;0;1;0;0;0;0;0;0;1
"520330 Bela Vista de Goiás";0;0;0;0;0;1;0;0;0;0;1
"520350 Bom Jesus de Goiás";0;0;0;2;0;1;1;0;0;0;4
"520355 Bonfinópolis";0;0;0;0;0;2;0;0;0;0;2
"520360 Brazabrantes";0;0;0;0;1;0;0;0;0;0;1
"520380 Britânia";0;0;0;0;0;0;1;0;0;0;1
"520390 Buriti Alegre";0;0;0;0;0;1;0;0;0;0;1
"520430 Caçu";0;0;0;0;0;1;0;0;0;0;1
"520440 Caiapônia";0;0;0;0;0;1;0;0;0;0;1
"520450 Caldas Novas";0;0;0;4;5;2;2;1;0;0;14
"520510 Catalão";0;0;0;4;3;4;1;0;0;0;12
"520520 Caturaí";0;0;0;0;0;1;0;0;0;0;1
"520540 Ceres";0;0;0;0;0;1;1;0;0;0;2
"520547 Chapadão do Céu";0;0;0;0;1;0;0;0;0;0;1
"520549 Cidade Ocidental";0;0;0;3;5;1;1;0;0;0;10
"520551 Cocalzinho de Goiás";0;0;0;0;0;0;1;0;0;0;1
"520580 Corumbá de Goiás";0;0;0;1;0;0;0;0;0;0;1
