 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2025
Ano Notificação: 2025
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2025
"Município (Res)";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"420650 Guaramirim";0;0;0;0;1;1;0;0;0;0;0;2
"420670 Herval d'Oeste";0;0;0;0;1;1;2;2;0;0;0;6
"420680 Ibicaré";0;0;0;0;0;0;0;0;1;0;0;1
"420690 Ibirama";0;0;0;0;0;0;0;1;0;0;0;1
"420700 Içara";0;0;0;0;1;5;1;0;0;0;0;7
"420730 Imbituba";0;0;0;0;1;6;2;3;0;0;0;12
"420750 Indaial";0;0;0;0;2;2;0;2;0;0;0;6
"420820 Itajaí";0;0;0;3;7;23;19;18;7;0;0;77
"420830 Itapema";0;0;0;0;5;5;2;3;1;0;0;16
"420880 Jaguaruna";0;0;0;0;0;1;0;0;2;0;0;3
"420890 Jaraguá do Sul";0;0;0;0;4;4;8;6;0;0;0;22
"420900 Joaçaba";0;0;0;0;0;1;1;0;3;0;0;5
"420910 Joinville";0;1;0;5;35;40;22;20;10;1;0;134
"420930 Lages";0;0;0;3;12;12;15;7;3;0;1;53
"420940 Laguna";0;0;0;0;2;0;4;3;0;0;0;9
"420960 Lauro Muller";0;0;0;0;1;0;0;0;0;0;0;1
"420980 Leoberto Leal";0;0;0;0;1;0;0;0;0;0;0;1
"421010 Mafra";0;0;0;0;1;3;4;1;1;0;0;10
"421030 Major Vieira";0;0;0;0;0;0;1;1;0;0;0;2
"421040 Maracajá";0;0;0;0;1;1;0;0;0;0;0;2
"421050 Maravilha";0;0;0;0;0;0;1;0;0;0;0;1
"421100 Mondaí";0;0;0;0;0;1;0;0;0;0;0;1
"421120 Morro da Fumaça";0;0;0;0;0;1;0;0;0;0;0;1
"421130 Navegantes";0;0;0;1;7;7;5;1;1;0;0;22
"421150 Nova Trento";0;0;0;0;0;1;0;0;0;0;0;1
"421170 Orleans";0;0;0;0;0;1;1;0;0;0;0;2
"421175 Otacílio Costa";0;0;0;0;1;0;0;0;0;0;0;1
"421180 Ouro";0;0;0;0;0;1;0;0;0;0;0;1
"421190 Palhoça";0;0;0;1;6;9;12;6;5;3;0;42
"421210 Palmitos";0;0;0;0;1;0;0;0;0;0;0;1
"421220 Papanduva";0;0;0;0;2;0;0;0;0;0;0;2
"421225 Passo de Torres";0;0;0;0;0;1;0;0;0;0;0;1
"421240 Pedras Grandes";0;0;0;0;0;0;0;1;0;0;0;1
"421250 Penha";0;0;0;0;0;1;3;2;1;0;0;7
"421280 Piçarras";0;0;0;0;0;3;0;0;0;0;0;3
"421315 Planalto Alegre";0;0;0;0;0;0;0;1;0;0;0;1
"421320 Pomerode";0;0;0;0;0;2;0;0;0;0;0;2
"421340 Ponte Serrada";0;0;0;0;0;1;0;0;1;0;0;2
"421350 Porto Belo";0;0;0;0;2;0;4;0;0;0;0;6
"421420 Quilombo";0;0;0;0;1;0;0;0;0;0;0;1
"421480 Rio do Sul";0;0;0;0;4;7;4;5;2;0;0;22
"421500 Rio Negrinho";0;0;0;0;1;0;0;0;1;0;0;2
"421545 Sangão";0;0;0;0;0;0;1;0;0;0;0;1
"421550 Santa Cecília";0;0;0;0;3;3;0;0;0;0;0;6
"421567 Santa Terezinha";0;0;0;0;0;1;0;0;0;0;0;1
"421570 Santo Amaro da Imperatriz";0;0;0;0;0;1;1;0;0;0;0;2
"421580 São Bento do Sul";0;0;0;0;2;0;0;3;0;0;0;5
"421605 São Cristovão do Sul";0;0;0;0;0;1;0;0;0;0;0;1
"421620 São Francisco do Sul";0;0;0;0;5;1;0;2;2;0;0;10
"421630 São João Batista";0;0;0;0;1;3;3;1;0;0;0;8
"421650 São Joaquim";0;0;0;0;0;2;0;0;0;0;0;2
"421660 São José";0;0;0;1;6;19;14;6;3;0;1;50
"421670 São José do Cedro";0;0;0;0;0;0;1;0;0;0;0;1
"421720 São Miguel do Oeste";0;0;0;0;7;1;1;1;1;0;0;11
"421725 São Pedro de Alcântara";0;0;0;0;0;1;1;1;0;0;0;3
