 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2022
Ano Notificação: 2022
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2022
"Município (Res)";"1-4";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"410040 Almirante Tamandaré";0;0;1;8;2;3;6;0;2;0;22
"410070 Alto Piquiri";0;0;0;0;1;0;0;0;0;0;1
"410090 Amaporã";0;0;0;1;0;0;0;0;0;0;1
"410110 Andirá";0;0;0;1;1;0;0;0;0;0;2
"410120 Antonina";0;0;0;0;0;1;0;0;0;0;1
"410140 Apucarana";0;0;1;11;6;4;1;0;1;0;24
"410150 Arapongas";0;0;0;6;4;7;1;0;0;0;18
"410180 Araucária";0;0;1;3;11;3;2;1;1;0;22
"410190 Assaí";0;0;0;1;0;0;1;0;0;0;2
"410200 Assis Chateaubriand";0;0;0;0;1;1;0;1;0;0;3
"410230 Balsa Nova";0;0;0;0;0;1;0;0;0;0;1
"410240 Bandeirantes";0;0;0;0;1;1;0;0;0;0;2
"410280 Bela Vista do Paraíso";0;0;0;0;0;0;1;0;0;0;1
"410300 Boa Esperança";0;0;0;0;1;0;0;0;0;0;1
"410310 Bocaiúva do Sul";0;0;0;0;0;0;1;0;0;0;1
"410320 Bom Sucesso";0;0;0;0;1;0;0;0;0;0;1
"410340 Cafeara";0;0;0;0;1;0;0;0;0;0;1
"410345 Cafelândia";0;0;1;0;0;0;0;0;0;0;1
"410347 Cafezal do Sul";0;0;0;0;0;0;0;1;0;0;1
"410370 Cambé";0;0;0;7;5;3;2;2;0;0;19
"410390 Campina da Lagoa";0;0;0;0;0;0;1;0;0;0;1
"410400 Campina Grande do Sul";0;0;1;0;1;0;2;0;0;0;4
"410420 Campo Largo";0;0;0;3;6;6;8;1;0;0;24
"410425 Campo Magro";0;0;0;0;0;1;0;0;0;0;1
"410430 Campo Mourão";0;0;0;1;3;7;3;2;0;0;16
"410442 Candói";0;0;0;0;1;0;0;0;1;0;2
"410480 Cascavel";0;0;0;26;20;19;13;4;2;0;84
"410490 Castro";0;0;0;4;1;2;1;2;0;0;10
"410550 Cianorte";0;0;0;3;3;1;0;0;0;0;7
"410570 Clevelândia";0;0;0;0;0;0;1;4;0;0;5
"410580 Colombo";0;0;1;6;7;14;7;1;0;0;36
"410590 Colorado";0;0;0;0;0;0;1;0;0;0;1
"410620 Contenda";0;0;0;0;0;0;0;1;0;0;1
"410630 Corbélia";0;0;0;0;1;0;0;0;0;0;1
"410640 Cornélio Procópio";0;0;0;10;4;3;2;1;0;0;20
"410650 Coronel Vivida";0;0;0;1;0;0;0;0;0;0;1
"410660 Cruzeiro do Oeste";0;0;0;0;0;2;0;0;0;0;2
"410690 Curitiba";0;1;2;102;128;90;77;31;8;2;441
"410700 Curiúva";0;0;0;0;1;0;0;0;0;0;1
"410712 Diamante do Sul";0;0;0;0;0;0;0;1;0;0;1
"410765 Fazenda Rio Grande";0;0;0;6;4;2;1;1;0;0;14
"410770 Fênix";0;0;0;0;0;0;1;0;0;0;1
"410775 Figueira";0;0;0;0;0;1;0;0;0;0;1
"410800 Florestópolis";0;0;0;0;0;1;0;0;0;0;1
"410830 Foz do Iguaçu";1;0;2;24;22;23;16;6;0;0;94
"410840 Francisco Beltrão";0;0;0;7;10;5;9;3;1;0;35
"410880 Guaíra";0;0;0;0;1;0;0;0;0;0;1
"410920 Guaraci";0;0;0;0;0;1;0;0;0;0;1
"410930 Guaraniaçu";0;0;0;0;0;1;0;0;0;0;1
"410940 Guarapuava";0;0;0;4;6;6;5;1;0;0;22
"410960 Guaratuba";0;0;0;0;3;1;3;2;0;0;9
"410970 Ibaiti";0;0;0;1;0;2;2;1;2;0;8
"410980 Ibiporã";0;0;0;1;1;1;2;1;0;0;6
"410990 Icaraíma";0;0;0;1;0;1;0;0;0;0;2
"411000 Iguaraçu";1;0;1;4;3;0;2;0;0;0;11
"411030 Inajá";0;0;0;0;0;0;1;0;0;0;1
"411060 Iporã";0;0;0;0;1;1;0;0;0;0;2
"411070 Irati";0;0;0;0;1;0;0;1;0;0;2
"411095 Itaipulândia";0;0;0;0;1;0;0;0;0;0;1
"411125 Itaperuçu";0;0;0;0;1;0;0;0;0;0;1
"411150 Ivaiporã";0;0;0;0;0;1;0;2;0;0;3
"411160 Ivatuba";0;0;0;0;0;1;0;0;0;0;1
"411180 Jacarezinho";0;0;0;4;7;5;0;1;0;0;17
"411190 Jaguapitã";0;0;0;0;1;0;0;0;0;0;1
"411200 Jaguariaíva";0;0;0;1;1;0;0;1;0;0;3
"411270 Jataizinho";0;0;0;0;0;2;0;1;0;0;3
"411295 Juranda";0;0;0;0;0;1;0;0;0;0;1
"411320 Lapa";0;0;0;1;0;1;1;2;1;0;6
