 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2020
Ano Notificação: 2020
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2020
"Município (Res)";"< 1 ano";"1-4";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"420010 Abelardo Luz";0;0;0;0;0;0;1;0;0;0;0;1
"420030 Agronômica";0;0;0;0;1;0;0;0;0;0;0;1
"420050 Águas de Chapecó";0;0;0;0;1;0;0;0;1;0;0;2
"420070 Alfredo Wagner";0;0;0;0;0;0;0;1;0;0;0;1
"420130 Araquari";0;0;0;0;0;2;0;0;1;0;0;3
"420140 Araranguá";0;0;0;0;5;2;2;5;1;0;0;15
"420170 Ascurra";0;0;0;0;0;1;0;0;0;0;0;1
"420180 Atalanta";0;0;0;0;0;0;0;0;0;0;1;1
"420195 Balneário Arroio do Silva";0;0;0;0;0;1;0;2;1;0;0;4
"420205 Balneário Barra do Sul";0;0;0;0;1;0;1;0;0;0;0;2
"420200 Balneário Camboriú";0;0;0;0;11;12;14;7;6;0;0;50
"420207 Balneário Gaivota";0;0;0;0;0;1;0;0;0;0;0;1
"420210 Barra Velha";0;0;0;0;2;6;2;1;0;0;0;11
"420213 Bela Vista do Toldo";0;0;0;0;0;1;0;0;0;0;0;1
"420220 Benedito Novo";0;0;0;0;0;1;0;0;0;0;0;1
"420230 Biguaçu";0;0;0;1;0;4;3;6;1;0;0;15
"420240 Blumenau";0;1;0;3;18;20;24;20;7;4;0;97
"420245 Bombinhas";0;0;0;0;0;0;1;1;0;0;0;2
"420280 Braço do Norte";0;0;0;0;0;1;2;1;0;2;0;6
"420290 Brusque";0;0;0;1;11;7;4;3;1;0;0;27
"420300 Caçador";1;0;0;0;2;1;2;2;0;0;0;8
"420315 Calmon";0;0;0;0;0;1;0;0;0;0;0;1
"420320 Camboriú";0;0;0;0;4;9;3;5;1;0;0;22
"420340 Campo Belo do Sul";0;0;0;0;0;1;0;0;0;0;0;1
"420360 Campos Novos";0;0;0;0;1;1;1;1;1;0;0;5
"420370 Canelinha";0;0;0;0;0;1;1;0;0;0;0;2
"420380 Canoinhas";0;0;0;0;2;1;1;0;0;0;0;4
"420390 Capinzal";0;0;0;0;1;0;0;0;1;0;0;2
"420395 Capivari de Baixo";0;0;0;0;1;0;0;0;0;0;0;1
"420415 Celso Ramos";0;0;0;0;0;0;0;1;0;0;0;1
"420420 Chapecó";0;0;0;2;13;14;9;3;4;1;0;46
"420425 Cocal do Sul";0;0;0;0;0;1;1;0;0;0;0;2
"420430 Concórdia";0;0;0;0;1;1;3;1;1;0;0;7
"420455 Correia Pinto";0;0;0;0;0;1;0;0;0;0;0;1
"420450 Corupá";0;0;0;0;0;2;0;0;0;0;0;2
"420460 Criciúma";0;0;0;0;13;15;10;8;3;0;0;49
"420480 Curitibanos";0;0;0;0;0;0;2;0;0;0;0;2
"420510 Dona Emma";0;0;0;0;0;0;0;0;0;1;0;1
"420520 Erval Velho";0;0;0;0;1;0;0;0;0;0;0;1
"420530 Faxinal dos Guedes";0;0;0;0;0;1;0;1;0;0;0;2
"420540 Florianópolis";3;1;0;4;60;58;33;21;10;2;1;193
"420545 Forquilhinha";0;0;0;0;1;3;3;0;0;0;0;7
"420550 Fraiburgo";0;0;0;0;0;2;1;0;0;0;0;3
"420570 Garopaba";0;0;0;0;0;1;5;1;1;0;0;8
"420580 Garuva";0;0;0;0;1;0;0;1;0;0;0;2
"420590 Gaspar";0;0;0;0;4;7;1;2;0;0;0;14
"420600 Governador Celso Ramos";0;0;0;0;1;1;0;0;0;0;0;2
"420630 Guabiruba";0;0;0;0;1;0;0;1;1;1;0;4
"420650 Guaramirim";0;0;0;0;0;2;1;0;0;1;0;4
"420670 Herval d'Oeste";1;0;0;1;0;0;1;1;1;0;0;5
"420690 Ibirama";0;0;0;0;0;2;0;0;0;0;0;2
"420700 Içara";0;0;0;0;2;1;2;1;1;0;0;7
"420710 Ilhota";0;0;0;0;0;0;0;1;0;0;0;1
"420720 Imaruí";0;0;0;0;0;0;0;1;0;0;0;1
"420730 Imbituba";0;0;0;0;2;3;3;4;2;0;0;14
