 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2020
Ano Notificação: 2020
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2020
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"420010 Abelardo Luz";0;0;0;1;0;1
"420030 Agronômica";1;0;0;0;0;1
"420050 Águas de Chapecó";2;0;0;0;0;2
"420070 Alfredo Wagner";1;0;0;0;0;1
"420130 Araquari";3;0;0;0;0;3
"420140 Araranguá";15;0;0;0;0;15
"420170 Ascurra";1;0;0;0;0;1
"420180 Atalanta";1;0;0;0;0;1
"420195 Balneário Arroio do Silva";3;0;1;0;0;4
"420205 Balneário Barra do Sul";1;0;0;1;0;2
"420200 Balneário Camboriú";45;2;0;3;0;50
"420207 Balneário Gaivota";1;0;0;0;0;1
"420210 Barra Velha";10;0;0;1;0;11
"420213 Bela Vista do Toldo";1;0;0;0;0;1
"420220 Benedito Novo";1;0;0;0;0;1
"420230 Biguaçu";13;1;1;0;0;15
"420240 Blumenau";81;5;1;10;0;97
"420245 Bombinhas";1;0;0;1;0;2
"420280 Braço do Norte";5;1;0;0;0;6
"420290 Brusque";21;0;0;6;0;27
"420300 Caçador";7;0;0;1;0;8
"420315 Calmon";0;0;0;1;0;1
"420320 Camboriú";18;0;2;2;0;22
"420340 Campo Belo do Sul";1;0;0;0;0;1
"420360 Campos Novos";3;0;0;2;0;5
"420370 Canelinha";2;0;0;0;0;2
"420380 Canoinhas";4;0;0;0;0;4
"420390 Capinzal";1;1;0;0;0;2
"420395 Capivari de Baixo";0;0;0;1;0;1
"420415 Celso Ramos";1;0;0;0;0;1
"420420 Chapecó";38;5;0;3;0;46
"420425 Cocal do Sul";2;0;0;0;0;2
"420430 Concórdia";7;0;0;0;0;7
"420455 Correia Pinto";1;0;0;0;0;1
"420450 Corupá";2;0;0;0;0;2
"420460 Criciúma";40;7;0;2;0;49
"420480 Curitibanos";1;0;0;1;0;2
"420510 Dona Emma";1;0;0;0;0;1
"420520 Erval Velho";1;0;0;0;0;1
"420530 Faxinal dos Guedes";2;0;0;0;0;2
"420540 Florianópolis";153;14;5;21;0;193
"420545 Forquilhinha";6;0;0;1;0;7
"420550 Fraiburgo";2;0;0;1;0;3
"420570 Garopaba";6;2;0;0;0;8
"420580 Garuva";1;1;0;0;0;2
"420590 Gaspar";11;1;0;2;0;14
"420600 Governador Celso Ramos";1;0;0;1;0;2
"420630 Guabiruba";4;0;0;0;0;4
"420650 Guaramirim";4;0;0;0;0;4
"420670 Herval d'Oeste";3;0;0;2;0;5
"420690 Ibirama";2;0;0;0;0;2
"420700 Içara";7;0;0;0;0;7
"420710 Ilhota";1;0;0;0;0;1
"420720 Imaruí";1;0;0;0;0;1
"420730 Imbituba";13;1;0;0;0;14
"420750 Indaial";8;0;0;0;0;8
"420780 Irani";2;0;0;0;0;2
"420810 Itaiópolis";1;0;0;0;0;1
"420820 Itajaí";63;9;0;9;0;81
"420830 Itapema";15;0;0;0;0;15
"420845 Itapoá";3;0;0;0;0;3
"420850 Ituporanga";1;0;0;1;0;2
"420870 Jacinto Machado";1;0;0;0;0;1
"420880 Jaguaruna";2;0;0;0;0;2
"420890 Jaraguá do Sul";15;2;0;1;0;18
"420900 Joaçaba";7;0;0;1;0;8
"420910 Joinville";120;7;1;15;0;143
"420930 Lages";27;3;0;8;0;38
"420940 Laguna";4;0;0;1;0;5
"420950 Laurentino";1;0;0;0;0;1
"420960 Lauro Muller";0;1;0;0;0;1
"420990 Lontras";1;0;0;0;0;1
"421000 Luiz Alves";1;0;0;0;0;1
"421010 Mafra";5;0;0;1;0;6
"421040 Maracajá";1;0;0;0;0;1
"421090 Modelo";1;0;0;0;0;1
"421105 Monte Carlo";0;0;0;1;0;1
"421120 Morro da Fumaça";2;0;0;0;0;2
"421130 Navegantes";12;2;0;3;0;17
"421140 Nova Erechim";1;0;0;0;0;1
"421145 Nova Itaberaba";1;0;0;0;0;1
"421150 Nova Trento";1;0;0;0;0;1
"421160 Nova Veneza";2;0;0;0;0;2
"421170 Orleans";2;1;0;0;0;3
"421190 Palhoça";42;7;0;3;0;52
"421210 Palmitos";1;0;0;0;0;1
"421240 Pedras Grandes";1;0;0;0;0;1
"421250 Penha";4;0;0;0;0;4
"421270 Petrolândia";1;0;0;0;0;1
"421280 Piçarras";2;0;0;0;0;2
"421290 Pinhalzinho";3;1;0;0;0;4
"421320 Pomerode";4;0;0;0;1;5
"421340 Ponte Serrada";2;0;0;1;0;3
"421350 Porto Belo";2;0;0;2;0;4
"421360 Porto União";1;0;0;0;0;1
"421370 Pouso Redondo";1;0;0;0;0;1
"421400 Presidente Getúlio";4;0;0;0;0;4
"421440 Rio das Antas";1;0;0;0;0;1
"421460 Rio do Oeste";1;0;0;0;0;1
"421480 Rio do Sul";28;1;0;4;0;33
"421470 Rio dos Cedros";1;0;0;0;0;1
"421500 Rio Negrinho";3;0;0;0;0;3
"421510 Rodeio";1;0;0;0;0;1
"421530 Salete";0;0;1;0;0;1
"421545 Sangão";1;0;0;0;0;1
"421550 Santa Cecília";3;0;0;0;0;3
"421570 Santo Amaro da Imperatriz";7;0;0;0;0;7
"421580 São Bento do Sul";5;0;0;0;0;5
"421590 São Bonifácio";1;0;0;0;0;1
"421605 São Cristovão do Sul";1;0;0;0;0;1
"421620 São Francisco do Sul";14;0;0;1;0;15
"421650 São Joaquim";1;0;1;1;0;3
"421660 São José";71;7;2;8;0;88
"421700 São Ludgero";1;0;0;0;0;1
"421720 São Miguel do Oeste";1;0;0;1;0;2
"421725 São Pedro de Alcântara";1;0;0;0;0;1
"421755 Serra Alta";1;0;0;0;0;1
"421770 Sombrio";1;0;0;0;0;1
"421780 Taió";3;0;0;0;0;3
"421800 Tijucas";12;1;0;0;0;13
"421810 Timbé do Sul";2;0;0;0;0;2
"421820 Timbó";5;1;0;1;0;7
"421825 Timbó Grande";1;0;0;0;0;1
"421830 Três Barras";2;0;0;0;0;2
"421850 Treze Tílias";1;0;0;0;0;1
"421870 Tubarão";24;6;0;0;0;30
"421880 Turvo";1;0;0;0;0;1
"421885 União do Oeste";1;0;0;0;0;1
"421890 Urubici";1;0;0;0;0;1
"421900 Urussanga";2;0;0;0;0;2
"421930 Videira";8;0;0;2;0;10
"421940 Witmarsum";1;0;0;0;0;1
"421950 Xanxerê";8;0;0;2;0;10
"421970 Xaxim";2;0;0;0;0;2
"Total";1140;90;15;131;1;1377
