 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2023
Ano Notificação: 2023
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2023
"Município (Res)";"Masculino";"Feminino";"Total"
"430010 Agudo";1;0;1
"430040 Alegrete";12;2;14
"430060 Alvorada";42;29;71
"430087 Araricá";2;0;2
"430110 Arroio dos Ratos";1;0;1
"430130 Arroio Grande";1;0;1
"430160 Bagé";12;9;21
"430163 Balneário Pinhal";1;1;2
"430170 Barão de Cotegipe";1;0;1
"430210 Bento Gonçalves";25;16;41
"430245 Boqueirão do Leão";1;0;1
"430280 Caçapava do Sul";5;5;10
"430300 Cachoeira do Sul";7;9;16
"430310 Cachoeirinha";22;10;32
"430330 Caibaté";2;0;2
"430350 Camaquã";13;7;20
"430355 Camargo";1;1;2
"430390 Campo Bom";5;3;8
"430400 Campo Novo";0;1;1
"430420 Candelária";3;0;3
"430440 Canela";5;5;10
"430450 Canguçu";1;0;1
"430460 Canoas";100;58;158
"430463 Capão da Canoa";24;11;35
"430466 Capão do Leão";1;2;3
"430467 Capivari do Sul";0;1;1
"430470 Carazinho";10;9;19
"430480 Carlos Barbosa";2;0;2
"430500 Catuípe";1;0;1
"430510 Caxias do Sul";67;29;96
"430515 Cerro Grande";0;1;1
"430535 Charqueadas";13;3;16
"430545 Cidreira";2;0;2
"430580 Constantina";1;0;1
"430585 Coqueiros do Sul";0;1;1
"430590 Coronel Bicaco";1;0;1
"430610 Cruz Alta";13;12;25
"430620 Cruzeiro do Sul";0;1;1
"430640 Dois Irmãos";2;0;2
"430660 Dom Pedrito";3;6;9
"430676 Eldorado do Sul";5;3;8
"430680 Encantado";0;1;1
"430693 Entre-Ijuís";0;1;1
"430700 Erechim";7;8;15
"430750 Espumoso";1;0;1
"430760 Estância Velha";5;4;9
"430770 Esteio";9;11;20
"430780 Estrela";6;0;6
"430790 Farroupilha";12;13;25
"430807 Fazenda Vilanova";1;0;1
"430820 Flores da Cunha";0;1;1
"430845 Fortaleza dos Valos";1;0;1
"430850 Frederico Westphalen";4;4;8
"430860 Garibaldi";0;1;1
"430890 Getúlio Vargas";1;1;2
"430900 Giruá";3;1;4
"430910 Gramado";2;0;2
"430920 Gravataí";36;22;58
"430930 Guaíba";11;14;25
"430955 Harmonia";0;2;2
"430960 Horizontina";1;0;1
"430995 Ibirapuitã";1;0;1
"431000 Ibirubá";2;0;2
"431010 Igrejinha";5;7;12
"431020 Ijuí";20;4;24
"431043 Ipê";1;0;1
"431060 Itaqui";8;3;11
"431080 Ivoti";1;2;3
"431100 Jaguarão";1;1;2
"431113 Jari";1;0;1
"431130 Lagoa Vermelha";4;4;8
