 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2023
Ano Notificação: 2023
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2023
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"430010 Agudo";0;0;0;1;0;0;0;0;0;0;1
"430040 Alegrete";0;1;0;2;2;3;3;1;0;0;12
"430060 Alvorada";0;2;0;13;5;10;8;0;1;0;39
"430087 Araricá";0;0;0;0;1;0;0;0;0;0;1
"430110 Arroio dos Ratos";0;0;0;1;0;0;0;0;0;0;1
"430130 Arroio Grande";0;1;0;0;0;0;0;0;0;0;1
"430160 Bagé";0;1;0;7;2;4;2;1;2;0;19
"430163 Balneário Pinhal";0;0;1;1;0;0;0;0;0;0;2
"430170 Barão de Cotegipe";0;0;0;1;0;0;0;0;0;0;1
"430210 Bento Gonçalves";1;0;1;9;1;2;9;2;2;0;27
"430245 Boqueirão do Leão";0;1;0;0;0;0;0;0;0;0;1
"430280 Caçapava do Sul";0;0;0;1;0;2;0;0;1;0;4
"430300 Cachoeira do Sul";1;1;0;3;1;0;5;0;1;0;12
"430310 Cachoeirinha";1;2;0;8;2;1;5;1;3;0;23
"430330 Caibaté";0;0;0;2;0;0;0;0;0;0;2
"430350 Camaquã";0;2;0;2;1;1;0;0;0;0;6
"430355 Camargo";0;0;0;0;0;0;1;0;0;0;1
"430390 Campo Bom";0;0;1;0;2;0;2;0;0;0;5
"430400 Campo Novo";0;0;0;1;0;0;0;0;0;0;1
"430420 Candelária";0;1;0;1;0;0;1;0;0;0;3
"430440 Canela";0;0;0;1;0;2;3;2;1;0;9
"430460 Canoas";1;7;0;21;18;11;31;5;6;0;100
"430463 Capão da Canoa";0;3;0;3;3;10;3;0;1;0;23
"430470 Carazinho";0;0;0;0;1;1;3;0;2;0;7
"430480 Carlos Barbosa";0;0;0;0;0;1;0;0;1;0;2
"430500 Catuípe";0;0;0;0;0;0;1;0;0;0;1
"430510 Caxias do Sul";1;3;3;18;7;11;12;7;9;0;71
"430515 Cerro Grande";0;0;0;0;0;0;0;0;1;0;1
"430535 Charqueadas";0;0;0;2;2;2;2;1;0;0;9
"430545 Cidreira";1;0;0;0;0;0;0;0;0;0;1
"430585 Coqueiros do Sul";0;0;0;0;0;0;1;0;0;0;1
"430590 Coronel Bicaco";0;0;0;1;0;0;0;0;0;0;1
"430610 Cruz Alta";0;1;2;8;4;1;7;0;1;0;24
"430620 Cruzeiro do Sul";0;0;0;0;0;1;0;0;0;0;1
"430640 Dois Irmãos";0;0;0;0;0;0;0;0;1;0;1
"430660 Dom Pedrito";1;0;1;3;1;0;1;1;1;0;9
"430676 Eldorado do Sul";1;0;0;2;0;0;3;0;0;0;6
"430680 Encantado";0;0;0;0;0;1;0;0;0;0;1
"430700 Erechim";1;1;0;0;0;0;1;1;2;0;6
"430750 Espumoso";0;0;1;0;0;0;0;0;0;0;1
"430760 Estância Velha";0;1;1;3;0;0;0;0;0;0;5
"430770 Esteio";1;0;0;1;1;2;6;1;1;0;13
"430780 Estrela";0;0;0;1;0;0;1;0;0;0;2
"430790 Farroupilha";1;1;0;4;4;4;6;2;2;0;24
"430807 Fazenda Vilanova";0;0;1;0;0;0;0;0;0;0;1
"430820 Flores da Cunha";0;0;0;0;1;0;0;0;0;0;1
"430845 Fortaleza dos Valos";0;0;0;1;0;0;0;0;0;0;1
"430850 Frederico Westphalen";0;0;0;1;3;0;1;0;0;0;5
"430860 Garibaldi";0;0;0;0;0;0;0;1;0;0;1
"430890 Getúlio Vargas";0;0;0;2;0;0;0;0;0;0;2
"430900 Giruá";0;1;0;1;0;0;1;0;0;0;3
"430910 Gramado";0;0;0;0;0;0;1;0;1;0;2
"430920 Gravataí";1;4;5;8;4;3;12;3;3;0;43
"430930 Guaíba";0;2;0;2;1;1;2;0;0;0;8
"430955 Harmonia";0;0;0;0;1;0;0;0;0;0;1
"430995 Ibirapuitã";0;1;0;0;0;0;0;0;0;0;1
"431000 Ibirubá";0;0;0;0;0;0;0;0;1;0;1
"431010 Igrejinha";0;1;0;2;1;1;1;0;1;0;7
"431020 Ijuí";0;0;1;1;3;2;6;0;1;0;14
"431043 Ipê";0;0;0;1;0;0;0;0;0;0;1
"431060 Itaqui";2;0;3;0;0;2;0;0;0;0;7
"431080 Ivoti";0;0;0;0;0;0;2;0;0;0;2
"431100 Jaguarão";0;0;0;0;0;0;2;0;0;0;2
"431113 Jari";0;0;0;1;0;0;0;0;0;0;1
"431130 Lagoa Vermelha";0;0;1;2;0;1;2;0;0;0;6
"431140 Lajeado";0;0;0;5;2;3;1;2;2;0;15
"431180 Marau";0;0;0;1;0;2;5;0;1;0;9
"431240 Montenegro";0;1;5;5;1;0;3;0;1;0;16
"431245 Morro Redondo";0;0;0;0;0;0;1;0;0;0;1
"431290 Nova Bassano";0;0;0;1;0;0;0;0;0;0;1
"431306 Nova Hartz";0;0;0;1;0;0;0;0;1;0;2
"431330 Nova Prata";0;0;0;0;0;0;1;0;0;0;1
"431337 Nova Santa Rita";0;0;0;1;0;0;1;0;0;0;2
"431340 Novo Hamburgo";1;4;11;14;3;9;12;0;5;0;59
"431350 Osório";1;3;0;3;1;2;1;1;0;0;12
"431370 Palmeira das Missões";0;1;1;4;1;2;1;0;1;0;11
"431390 Panambi";0;0;0;0;0;1;0;1;0;0;2
"431405 Parobé";0;1;0;2;0;0;3;1;0;0;7
"431410 Passo Fundo";1;1;3;4;8;5;15;3;8;0;48
"431415 Paverama";0;0;0;1;0;0;0;0;0;0;1
"431440 Pelotas";0;10;4;7;4;6;14;2;5;0;52
"431442 Picada Café";0;0;1;0;0;0;0;0;0;0;1
"431450 Pinheiro Machado";0;0;0;0;0;0;0;0;1;0;1
"431460 Piratini";0;0;0;2;0;0;0;0;0;0;2
"431477 Pontão";0;0;0;1;0;0;0;0;0;0;1
"431480 Portão";0;0;0;2;0;1;0;0;0;0;3
"431490 Porto Alegre";2;47;16;125;47;53;80;16;46;0;432
"431510 Porto Xavier";0;1;0;0;0;0;0;0;0;0;1
"431530 Quaraí";0;1;0;0;1;0;0;0;0;0;2
"431532 Quevedos";0;0;0;0;0;0;1;0;0;0;1
"431560 Rio Grande";1;10;2;15;6;10;6;3;3;0;56
"431570 Rio Pardo";0;0;0;1;0;0;0;1;3;0;5
"431600 Rolante";0;0;0;0;1;0;0;0;1;0;2
"431610 Ronda Alta";0;0;0;1;0;0;0;0;0;0;1
"431620 Rondinha";0;0;0;1;0;0;0;0;0;0;1
"431640 Rosário do Sul";0;0;0;0;1;0;2;0;1;0;4
"431645 Salto do Jacuí";0;0;0;0;0;1;0;0;0;0;1
"431680 Santa Cruz do Sul";0;5;3;9;2;5;11;2;5;0;42
"431690 Santa Maria";1;4;5;15;6;13;17;3;5;0;69
"431695 Santa Maria do Herval";0;0;0;1;0;0;0;0;0;0;1
"431720 Santa Rosa";0;2;1;1;1;1;2;0;2;0;10
"431730 Santa Vitória do Palmar";0;4;0;2;0;3;3;1;0;0;13
