 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Goiás
Período:2023
"Município (Res)";"< 1 ano";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"520013 Acreúna";0;0;0;0;0;1;0;0;0;0;1
"520025 Águas Lindas de Goiás";0;0;0;1;0;3;1;1;1;0;7
"520030 Alexânia";0;0;0;0;0;1;0;0;0;0;1
"520055 Alto Horizonte";0;0;0;0;1;0;0;0;0;0;1
"520060 Alto Paraíso de Goiás";0;0;0;0;1;0;0;0;0;0;1
"520080 Alvorada do Norte";0;0;0;0;0;2;0;0;0;0;2
"520110 Anápolis";0;0;5;28;32;20;11;6;0;0;102
"520130 Anicuns";0;0;0;0;1;0;1;0;0;0;2
"520140 Aparecida de Goiânia";0;0;0;33;39;20;20;2;1;0;115
"520150 Aporé";0;0;0;0;1;0;0;0;0;0;1
"520170 Aragarças";0;0;0;0;0;1;0;1;0;0;2
"520330 Bela Vista de Goiás";0;0;0;0;0;0;0;1;0;0;1
"520390 Buriti Alegre";0;0;0;0;1;0;0;0;1;0;2
"520393 Buriti de Goiás";0;0;0;0;0;1;0;0;0;0;1
"520440 Caiapônia";0;0;1;0;1;0;0;0;0;0;2
"520450 Caldas Novas";0;0;0;4;8;5;1;2;0;1;21
"520480 Campo Alegre de Goiás";0;0;0;0;1;0;0;0;0;0;1
"520490 Campos Belos";0;0;0;0;0;4;0;0;0;0;4
"520510 Catalão";0;0;0;13;8;4;5;0;0;0;30
"520540 Ceres";0;0;0;1;0;0;0;0;0;0;1
"520549 Cidade Ocidental";0;0;0;3;5;1;3;0;0;0;12
"520551 Cocalzinho de Goiás";0;0;0;0;0;0;1;0;0;0;1
"520590 Corumbaíba";0;0;0;0;1;0;0;0;0;0;1
"520620 Cristalina";0;0;0;0;2;2;1;0;0;0;5
"520630 Cristianópolis";0;0;0;0;1;0;0;0;0;0;1
"520740 Edéia";0;0;0;0;0;1;0;0;0;0;1
"520780 Firminópolis";0;0;0;0;0;0;0;1;0;0;1
"520790 Flores de Goiás";0;0;0;0;0;1;0;0;0;0;1
"520800 Formosa";0;0;0;1;0;1;2;1;0;0;5
"520860 Goianésia";0;0;0;2;2;3;0;1;0;0;8
"520870 Goiânia";0;1;6;150;169;107;57;20;6;2;518
"520880 Goianira";0;0;0;0;1;2;2;0;0;0;5
"520890 Goiás";0;0;0;1;0;0;0;0;1;0;2
"520910 Goiatuba";0;0;0;1;1;3;1;0;0;0;6
"520920 Guapó";0;0;0;0;1;0;0;0;0;0;1
"520970 Hidrolândia";0;0;0;0;1;0;1;0;0;0;2
"520995 Indiara";0;0;0;1;0;0;0;0;0;0;1
"521000 Inhumas";0;0;0;1;1;2;1;0;0;0;5
"521010 Ipameri";0;0;0;0;1;0;0;0;0;0;1
"521020 Iporá";0;0;0;1;4;2;1;1;0;0;9
"521030 Israelândia";0;0;0;0;0;1;0;0;0;0;1
"521040 Itaberaí";0;0;0;0;0;1;1;0;0;1;3
"521090 Itapaci";0;0;0;0;1;0;0;0;0;0;1
"521100 Itapirapuã";0;0;0;1;0;0;0;0;1;0;2
"521120 Itapuranga";0;0;0;0;0;0;1;0;0;0;1
"521130 Itarumã";0;0;0;0;0;0;1;0;0;0;1
"521140 Itauçu";0;0;0;0;1;1;0;1;0;0;3
"521150 Itumbiara";0;0;0;6;3;12;7;4;1;0;33
"521180 Jaraguá";0;0;0;1;1;0;0;0;0;0;2
"521190 Jataí";0;1;2;12;7;7;4;0;0;0;33
"521200 Jaupaci";0;0;0;0;1;0;0;0;0;0;1
"521220 Jussara";0;0;0;0;2;0;0;0;0;0;2
"521230 Leopoldo de Bulhões";0;0;0;0;0;0;0;0;1;0;1
"521250 Luziânia";0;0;0;3;1;3;2;0;0;0;9
"521308 Minaçu";0;0;0;0;0;0;0;0;1;0;1
"521310 Mineiros";0;0;0;2;4;0;1;0;0;0;7
"521370 Montes Claros de Goiás";0;0;0;0;0;2;0;0;0;0;2
"521375 Montividiu";0;0;0;0;0;0;0;1;0;0;1
"521380 Morrinhos";0;0;0;0;1;4;1;0;0;0;6
"521405 Mundo Novo";0;0;0;1;0;2;1;0;0;0;4
"521440 Nazário";0;0;0;0;1;0;0;0;0;0;1
"521450 Nerópolis";0;0;0;1;2;0;0;0;0;0;3
"521460 Niquelândia";0;0;0;0;1;0;0;0;0;0;1
"521483 Nova Crixás";0;0;0;1;0;0;0;0;0;0;1
"521490 Nova Roma";0;0;0;0;0;1;0;0;0;0;1
"521523 Novo Gama";0;0;1;1;1;0;0;0;0;0;3
"521530 Orizona";0;0;0;0;0;0;0;1;0;0;1
"521550 Ouvidor";0;0;0;0;1;0;1;1;0;0;3
"521560 Padre Bernardo";0;0;0;0;0;1;0;1;0;0;2
"521580 Palmelo";0;0;0;0;1;0;0;0;0;0;1
"521710 Piracanjuba";0;0;0;3;0;0;1;0;0;0;4
"521740 Pires do Rio";0;0;0;0;1;1;1;0;0;1;4
"521760 Planaltina";0;0;0;3;1;0;1;1;0;0;6
"521770 Pontalina";0;0;0;0;0;0;1;0;0;0;1
"521800 Porangatu";0;0;0;0;2;1;2;0;0;0;5
"521805 Porteirão";0;0;0;0;0;1;0;0;0;0;1
"521830 Posse";0;0;1;0;0;0;0;0;0;0;1
"521850 Quirinópolis";0;0;0;0;1;1;1;0;0;0;3
"521860 Rialma";0;0;0;0;0;0;1;0;0;0;1
"521880 Rio Verde";0;0;2;25;28;13;8;1;1;0;78
"521930 Santa Helena de Goiás";0;0;0;0;2;0;0;0;0;0;2
"521950 Santa Rosa de Goiás";0;0;0;1;0;0;0;0;0;0;1
"521973 Santo Antônio de Goiás";0;0;0;0;1;0;0;0;0;0;1
"521975 Santo Antônio do Descoberto";1;0;0;2;3;2;1;1;0;0;10
"521980 São Domingos";0;0;0;0;0;1;0;0;0;0;1
"522000 São João d'Aliança";0;0;0;0;1;1;0;0;0;0;2
"522010 São Luís de Montes Belos";0;0;1;2;0;0;0;0;0;0;3
"522015 São Luíz do Norte";0;0;0;0;0;0;1;0;0;0;1
"522020 São Miguel do Araguaia";0;0;0;1;2;1;1;0;0;0;5
"522045 Senador Canedo";0;0;1;13;12;8;4;1;0;0;39
"522050 Serranópolis";0;0;0;1;0;0;0;0;0;0;1
"522060 Silvânia";0;0;0;1;0;1;0;1;0;0;3
"522119 Terezópolis de Goiás";0;0;0;0;0;0;2;1;0;0;3
"522140 Trindade";0;0;0;1;4;7;2;1;1;0;16
"522155 Turvelândia";0;0;0;0;0;0;1;0;0;0;1
"522160 Uruaçu";0;0;3;3;5;3;2;1;0;0;17
"522185 Valparaíso de Goiás";0;0;1;17;20;3;8;1;0;0;50
"522205 Vicentinópolis";0;0;0;0;0;1;0;1;0;0;2
"522230 Vila Propício";0;0;1;0;0;0;0;1;0;0;2
"520000 Município ignorado - GO";1;0;0;0;0;0;1;0;0;0;2
"Total";2;2;25;343;396;267;168;57;16;5;1281
