 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Mato Grosso do Sul
Período:2023
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"500020 Água Clara";2;0;0;0;0;2
"500070 Anastácio";4;0;0;6;1;11
"500080 Anaurilândia";0;0;0;1;0;1
"500085 Angélica";1;0;0;0;0;1
"500090 Antônio João";1;0;0;0;0;1
"500100 Aparecida do Taboado";2;0;0;0;0;2
"500110 Aquidauana";1;0;0;1;0;2
"500190 Bataguassu";0;0;0;2;0;2
"500200 Batayporã";0;0;0;1;0;1
"500210 Bela Vista";0;0;0;1;0;1
"500220 Bonito";0;0;0;1;0;1
"500230 Brasilândia";0;0;0;2;0;2
"500240 Caarapó";0;0;0;1;0;1
"500270 Campo Grande";122;17;10;156;3;308
"500290 Cassilândia";2;1;0;1;0;4
"500295 Chapadão do Sul";2;0;0;0;0;2
"500315 Coronel Sapucaia";0;0;0;1;0;1
"500320 Corumbá";1;0;0;17;0;18
"500325 Costa Rica";0;0;0;3;0;3
"500330 Coxim";8;1;0;18;0;27
"500370 Dourados";45;4;0;45;4;98
"500375 Eldorado";0;0;0;0;1;1
"500410 Guia Lopes da Laguna";0;0;0;1;0;1
"500480 Japorã";1;0;0;0;0;1
"500500 Jardim";2;1;0;10;0;13
"500515 Juti";0;0;0;2;0;2
"500520 Ladário";0;1;0;5;0;6
"500525 Laguna Carapã";0;0;0;1;1;2
"500540 Maracaju";1;0;0;3;0;4
"500560 Miranda";1;0;0;1;1;3
"500568 Mundo Novo";0;1;0;0;0;1
"500570 Naviraí";6;0;0;7;0;13
"500600 Nova Alvorada do Sul";2;0;0;2;0;4
"500620 Nova Andradina";2;2;1;5;0;10
"500630 Paranaíba";7;0;0;3;0;10
"500660 Ponta Porã";15;0;1;20;8;44
"500690 Porto Murtinho";0;0;0;1;0;1
"500710 Ribas do Rio Pardo";0;0;0;1;0;1
"500720 Rio Brilhante";1;0;0;0;0;1
"500730 Rio Negro";0;0;0;1;0;1
"500740 Rio Verde de Mato Grosso";0;0;0;2;0;2
"500755 Santa Rita do Pardo";0;0;0;2;0;2
"500769 São Gabriel do Oeste";1;2;0;4;0;7
"500790 Sidrolândia";2;0;0;4;0;6
"500793 Sonora";0;0;0;1;0;1
"500830 Três Lagoas";19;4;0;22;0;45
"500840 Vicentina";2;0;0;1;0;3
"Total";253;34;12;356;19;674
