 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Mato Grosso
Período:2020
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"510020 Água Boa";1;0;0;4;0;5
"510025 Alta Floresta";5;0;0;10;0;15
"510030 Alto Araguaia";0;1;0;2;0;3
"510040 Alto Garças";0;0;0;5;0;5
"510050 Alto Paraguai";0;0;0;1;0;1
"510080 Apiacás";1;0;0;0;0;1
"510140 Aripuanã";0;0;0;1;0;1
"510160 Barão de Melgaço";0;1;0;0;0;1
"510180 Barra do Garças";5;0;0;5;0;10
"510185 Bom Jesus do Araguaia";0;0;0;1;0;1
"510190 Brasnorte";1;0;0;0;0;1
"510250 Cáceres";2;5;0;6;0;13
"510263 Campo Novo do Parecis";2;0;0;2;0;4
"510267 Campo Verde";2;1;0;6;0;9
"510268 Campos de Júlio";1;0;0;0;0;1
"510270 Canarana";2;0;0;1;0;3
"510305 Cláudia";1;0;0;0;0;1
"510320 Colíder";0;0;0;1;0;1
"510325 Colniza";0;0;0;1;0;1
"510330 Comodoro";0;0;0;1;0;1
"510335 Confresa";2;0;1;5;0;8
"510340 Cuiabá";49;21;10;118;0;198
"510350 Diamantino";2;0;0;3;0;5
"510360 Dom Aquino";0;1;0;1;0;2
"510380 Figueirópolis D'Oeste";1;0;0;0;0;1
"510385 Gaúcha do Norte";0;0;0;2;0;2
"510410 Guarantã do Norte";1;1;0;3;0;5
"510420 Guiratinga";0;1;0;6;0;7
"510460 Itiquira";3;0;0;0;0;3
"510480 Jaciara";0;1;0;4;0;5
"510490 Jangada";0;1;0;0;0;1
"510500 Jauru";0;1;0;0;0;1
"510510 Juara";2;0;0;3;0;5
"510515 Juína";6;2;0;3;1;12
"510517 Juruena";0;0;0;1;0;1
"510525 Lucas do Rio Verde";1;1;0;1;0;3
"510562 Mirassol d'Oeste";3;0;0;2;0;5
"510590 Nobres";0;0;0;2;0;2
"510610 Nossa Senhora do Livramento";0;0;0;1;0;1
"510615 Nova Bandeirantes";0;0;0;1;0;1
"510622 Nova Mutum";1;0;0;1;0;2
"510625 Nova Xavantina";0;0;0;1;0;1
"510630 Paranatinga";2;1;0;2;0;5
"510637 Pedra Preta";1;0;0;2;0;3
"510642 Peixoto de Azevedo";3;2;0;2;0;7
"510650 Poconé";1;0;1;2;0;4
"510675 Pontes e Lacerda";3;0;1;1;0;5
"510677 Porto Alegre do Norte";0;1;0;0;0;1
"510680 Porto dos Gaúchos";0;0;0;1;0;1
"510682 Porto Esperidião";0;0;0;2;0;2
"510700 Poxoréo";0;0;0;2;0;2
"510704 Primavera do Leste";2;0;0;4;0;6
"510706 Querência";0;0;0;1;0;1
"510718 Ribeirão Cascalheira";2;0;0;1;0;3
"510720 Rio Branco";0;0;0;1;0;1
"510760 Rondonópolis";29;12;4;61;0;106
"510770 Rosário Oeste";2;0;0;0;0;2
"510777 Santa Terezinha";0;0;0;1;0;1
"510779 Santo Antônio do Leste";1;0;0;0;0;1
"510785 São Félix do Araguaia";0;0;0;1;0;1
"510730 São José do Rio Claro";1;0;0;1;0;2
"510710 São José dos Quatro Marcos";1;0;0;1;0;2
"510787 Sapezal";0;0;0;1;0;1
"510790 Sinop";5;1;0;6;0;12
"510792 Sorriso";14;2;1;17;0;34
"510795 Tangará da Serra";9;0;2;13;0;24
"510840 Várzea Grande";12;13;2;77;2;106
"510850 Vera";0;0;0;1;0;1
"510550 Vila Bela da Santíssima Trindade";0;0;0;1;0;1
"510860 Vila Rica";1;0;0;1;0;2
"Total";183;70;22;408;3;686
