 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso
Período:2016
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"510020 Água Boa";0;0;0;0;0;0;1;0;0;0;1
"510025 Alta Floresta";0;0;0;0;1;1;2;1;0;0;5
"510030 Alto Araguaia";0;0;0;0;0;1;1;0;0;1;3
"510040 Alto Garças";0;0;0;0;1;1;0;0;0;0;2
"510170 Barra do Bugres";0;0;0;0;1;0;0;0;0;0;1
"510180 Barra do Garças";0;0;0;0;1;2;5;2;0;0;10
"510250 Cáceres";0;0;0;0;4;7;0;0;0;0;11
"510267 Campo Verde";0;0;0;0;2;2;4;1;1;0;10
"510268 Campos de Júlio";0;0;0;0;0;1;0;0;0;0;1
"510305 Cláudia";0;0;0;0;0;1;0;0;0;0;1
"510310 Cocalinho";0;0;0;0;0;0;0;1;0;0;1
"510320 Colíder";0;0;0;0;1;0;1;0;0;0;2
"510330 Comodoro";0;0;0;0;0;1;0;0;0;0;1
"510335 Confresa";0;0;0;0;2;0;2;2;2;0;8
"510340 Cuiabá";1;2;2;3;63;72;50;28;10;0;231
"510343 Curvelândia";0;0;0;0;1;0;0;0;0;0;1
"510350 Diamantino";0;1;0;1;2;3;1;0;0;0;8
"510360 Dom Aquino";0;0;0;0;0;1;0;0;0;0;1
"510370 Feliz Natal";0;0;0;0;0;0;1;0;0;0;1
"510410 Guarantã do Norte";0;0;0;0;1;2;3;7;1;0;14
"510420 Guiratinga";0;0;0;0;1;0;2;0;0;0;3
"510454 Itanhangá";0;0;0;0;0;1;0;0;0;0;1
"510460 Itiquira";0;0;0;0;0;1;0;0;0;0;1
"510480 Jaciara";0;0;0;0;2;3;4;2;0;0;11
"510510 Juara";0;0;0;0;1;2;3;0;0;0;6
"510515 Juína";0;0;0;0;1;3;2;1;0;0;7
"510520 Juscimeira";0;0;0;0;0;1;1;0;0;0;2
"510523 Lambari D'Oeste";0;0;0;0;0;0;1;0;0;0;1
"510525 Lucas do Rio Verde";0;0;0;0;0;0;3;2;0;0;5
"510558 Marcelândia";0;0;0;0;1;2;0;0;0;0;3
"510560 Matupá";0;0;0;0;0;0;2;0;0;0;2
"510562 Mirassol d'Oeste";0;0;0;0;0;2;0;0;0;0;2
"510590 Nobres";0;0;0;0;0;2;0;0;1;0;3
"510880 Nova Guarita";0;0;0;0;0;0;1;1;0;0;2
"510885 Nova Marilândia";0;0;0;0;0;0;0;1;0;0;1
"510622 Nova Mutum";1;0;0;0;0;1;0;0;1;0;3
"510623 Nova Olímpia";0;0;0;0;0;1;0;0;0;0;1
"510619 Nova Santa Helena";0;0;0;0;0;1;0;0;0;0;1
"510624 Nova Ubiratã";0;0;0;0;0;0;0;0;1;0;1
"510625 Nova Xavantina";0;0;0;0;0;1;0;0;0;1;2
"510629 Paranaíta";0;0;0;0;0;0;1;0;0;0;1
"510630 Paranatinga";0;0;0;0;0;3;2;2;0;0;7
"510637 Pedra Preta";0;0;0;0;0;1;0;0;0;0;1
"510642 Peixoto de Azevedo";0;0;0;0;1;2;2;1;0;1;7
"510650 Poconé";0;0;0;0;0;1;0;0;0;0;1
"510675 Pontes e Lacerda";0;0;0;0;1;1;0;0;0;0;2
"510682 Porto Esperidião";0;0;0;0;0;1;0;0;0;0;1
"510700 Poxoréo";0;0;0;0;1;0;1;1;0;0;3
"510704 Primavera do Leste";0;0;0;0;1;3;3;2;2;0;11
"510760 Rondonópolis";0;0;0;5;37;43;36;17;2;0;140
"510770 Rosário Oeste";0;0;0;0;1;0;0;0;0;0;1
"510774 Santa Cruz do Xingu";0;0;0;1;0;0;0;0;0;0;1
"510780 Santo Antônio do Leverger";0;1;0;0;1;0;0;1;1;0;4
"510730 São José do Rio Claro";0;0;0;0;0;1;1;0;0;0;2
"510787 Sapezal";0;0;0;0;0;0;1;0;0;0;1
"510790 Sinop";0;0;0;1;8;12;7;6;2;0;36
"510792 Sorriso";0;0;0;2;8;6;3;1;0;0;20
"510794 Tabaporã";0;0;0;0;0;0;0;1;0;0;1
"510795 Tangará da Serra";0;0;0;0;6;4;7;5;1;0;23
"510810 Tesouro";0;0;0;0;0;0;0;1;0;0;1
"510840 Várzea Grande";0;0;0;1;13;13;13;7;2;1;50
"510850 Vera";0;0;0;0;1;0;0;0;0;0;1
"510550 Vila Bela da Santíssima Trindade";0;0;0;0;0;1;0;0;0;0;1
"510860 Vila Rica";0;0;0;0;0;0;0;0;1;0;1
"Total";2;4;2;14;165;208;167;94;28;4;688
