 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso do Sul
Período:2017
"Município (Res)";"< 1 ano";"1-4";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"500020 Água Clara";0;0;0;0;1;1;0;0;0;0;0;2
"500025 Alcinópolis";0;0;0;0;0;0;1;0;0;0;0;1
"500060 Amambaí";0;0;0;0;0;1;3;0;0;2;0;6
"500070 Anastácio";0;0;0;0;1;0;0;0;0;0;0;1
"500080 Anaurilândia";0;0;0;0;0;0;1;0;0;0;0;1
"500100 Aparecida do Taboado";0;0;0;0;1;2;0;1;0;0;0;4
"500110 Aquidauana";0;0;0;0;4;2;4;2;1;0;0;13
"500124 Aral Moreira";0;0;0;0;0;0;1;0;0;0;0;1
"500210 Bela Vista";0;0;0;0;0;1;1;0;1;0;0;3
"500220 Bonito";0;0;0;0;0;0;1;0;0;0;0;1
"500230 Brasilândia";0;0;0;0;0;1;0;0;0;0;0;1
"500240 Caarapó";0;0;0;0;0;1;0;0;0;0;0;1
"500260 Camapuã";0;0;0;0;0;0;1;0;0;0;0;1
"500270 Campo Grande";1;3;0;9;81;69;60;36;14;2;0;275
"500280 Caracol";0;0;0;0;0;0;0;0;1;0;0;1
"500290 Cassilândia";0;0;0;0;0;1;2;0;0;0;0;3
"500295 Chapadão do Sul";0;0;0;0;0;0;1;0;0;0;0;1
"500310 Corguinho";0;0;0;0;0;1;0;0;0;0;0;1
"500320 Corumbá";0;0;0;1;8;5;9;3;2;1;1;30
"500330 Coxim";0;0;1;0;0;6;2;1;0;0;0;10
"500345 Deodápolis";0;0;0;0;1;0;0;0;0;0;0;1
"500348 Dois Irmãos do Buriti";0;0;0;0;0;1;0;0;0;0;0;1
"500350 Douradina";0;0;0;0;0;0;0;1;0;0;0;1
"500370 Dourados";0;0;0;1;28;19;15;8;7;4;0;82
"500375 Eldorado";0;0;0;0;0;2;0;3;0;0;0;5
"500410 Guia Lopes da Laguna";0;0;1;1;0;0;0;0;0;0;0;2
"500430 Iguatemi";0;0;0;0;1;1;0;2;0;0;0;4
"500450 Itaporã";0;0;0;0;0;1;1;0;0;0;0;2
"500460 Itaquiraí";0;0;0;0;1;1;0;0;0;0;0;2
"500470 Ivinhema";0;0;0;0;0;1;0;0;0;0;0;1
"500500 Jardim";0;0;0;1;0;0;3;0;1;0;0;5
"500520 Ladário";0;0;0;0;0;1;0;0;0;0;0;1
"500540 Maracaju";0;0;0;0;0;2;0;1;0;0;0;3
"500560 Miranda";0;0;0;0;1;1;0;0;0;0;0;2
"500568 Mundo Novo";0;0;0;0;0;3;0;1;0;0;0;4
"500570 Naviraí";0;0;0;2;4;7;2;2;0;0;0;17
"500620 Nova Andradina";0;0;0;0;3;1;2;3;0;1;0;10
"500630 Paranaíba";0;0;0;0;4;2;6;4;1;1;0;18
"500635 Paranhos";0;0;0;0;0;0;0;1;0;0;0;1
"500640 Pedro Gomes";0;0;0;0;0;0;1;0;0;0;0;1
"500660 Ponta Porã";0;0;0;2;7;11;2;2;2;1;0;27
"500690 Porto Murtinho";0;0;0;0;1;0;2;0;0;0;0;3
"500710 Ribas do Rio Pardo";0;0;0;0;1;1;0;1;0;0;0;3
"500720 Rio Brilhante";0;0;0;0;2;1;0;0;1;0;0;4
"500740 Rio Verde de Mato Grosso";0;0;0;0;0;0;1;2;1;0;0;4
"500750 Rochedo";0;0;0;0;0;1;0;0;0;0;0;1
"500769 São Gabriel do Oeste";0;0;0;0;0;1;2;1;0;0;0;4
"500780 Selvíria";0;0;0;0;2;0;0;1;0;0;0;3
"500790 Sidrolândia";0;0;0;0;1;1;0;1;0;0;0;3
"500793 Sonora";0;0;0;0;0;1;0;0;0;0;0;1
"500795 Tacuru";0;0;0;0;0;1;0;0;0;0;0;1
"500800 Terenos";0;0;0;0;0;1;0;2;0;0;0;3
"500830 Três Lagoas";0;0;0;0;7;14;5;3;0;2;0;31
"500840 Vicentina";0;0;0;0;1;1;0;0;0;0;0;2
"Total";1;3;2;17;161;168;129;82;32;14;1;610
