 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso do Sul
Período:2015
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"500020 Água Clara";0;0;0;0;0;0;1;0;0;0;0;1
"500060 Amambaí";0;0;0;0;0;2;0;0;0;0;0;2
"500070 Anastácio";0;0;0;0;0;0;1;0;0;0;0;1
"500080 Anaurilândia";0;0;0;0;0;0;0;1;1;0;0;2
"500100 Aparecida do Taboado";0;0;0;0;0;1;0;0;0;0;0;1
"500110 Aquidauana";0;0;0;0;1;3;3;5;0;0;0;12
"500150 Bandeirantes";0;0;0;0;0;0;0;1;0;0;0;1
"500200 Batayporã";0;0;0;0;0;0;1;0;0;0;0;1
"500210 Bela Vista";0;0;0;0;0;0;1;2;0;0;0;3
"500230 Brasilândia";0;0;0;0;0;2;0;0;0;0;0;2
"500240 Caarapó";0;0;0;0;0;0;1;0;0;0;0;1
"500260 Camapuã";0;0;0;0;0;0;0;1;0;0;0;1
"500270 Campo Grande";3;1;1;7;64;69;49;32;16;0;1;243
"500280 Caracol";0;0;0;0;0;0;1;0;0;0;0;1
"500290 Cassilândia";0;0;0;1;1;0;0;0;0;0;0;2
"500295 Chapadão do Sul";0;0;0;0;0;1;0;0;0;0;0;1
"500315 Coronel Sapucaia";0;0;0;0;0;0;1;1;0;0;0;2
"500320 Corumbá";0;0;0;0;7;4;9;1;1;0;0;22
"500325 Costa Rica";0;0;0;0;2;1;1;1;0;0;0;5
"500330 Coxim";0;0;0;0;4;4;2;3;0;0;0;13
"500350 Douradina";0;0;0;0;1;0;1;0;0;0;0;2
"500370 Dourados";0;1;0;2;16;25;13;14;2;0;0;73
"500375 Eldorado";0;0;0;0;1;0;0;0;0;0;0;1
"500410 Guia Lopes da Laguna";0;0;0;0;0;0;1;0;0;0;0;1
"500430 Iguatemi";0;0;0;0;0;2;1;0;0;0;0;3
"500460 Itaquiraí";0;0;0;0;1;1;0;0;0;0;0;2
"500500 Jardim";0;0;0;0;0;3;0;0;1;0;0;4
"500515 Juti";0;0;0;0;0;2;0;0;0;0;0;2
"500540 Maracaju";0;0;0;0;0;0;2;0;0;0;0;2
"500560 Miranda";0;0;0;0;0;0;1;0;0;0;0;1
"500568 Mundo Novo";0;0;0;0;0;1;0;0;0;0;0;1
"500570 Naviraí";0;0;0;1;8;5;7;1;0;0;0;22
"500600 Nova Alvorada do Sul";0;0;0;0;0;0;0;0;1;0;0;1
"500620 Nova Andradina";0;0;0;0;0;1;4;4;1;0;0;10
"500630 Paranaíba";0;0;0;1;4;5;4;2;0;0;1;17
"500660 Ponta Porã";0;0;0;1;16;10;3;3;1;0;0;34
"500690 Porto Murtinho";0;0;0;0;1;0;1;0;0;0;0;2
"500710 Ribas do Rio Pardo";0;0;0;0;0;0;1;0;0;0;0;1
"500720 Rio Brilhante";0;0;0;0;1;1;1;0;0;0;0;3
"500740 Rio Verde de Mato Grosso";0;0;0;0;0;2;3;0;0;1;0;6
"500769 São Gabriel do Oeste";0;0;0;0;1;1;0;1;0;0;0;3
"500790 Sidrolândia";0;0;0;0;1;1;2;0;0;0;0;4
"500793 Sonora";0;0;0;0;0;1;0;0;0;0;0;1
"500795 Tacuru";0;0;0;0;0;1;0;0;0;0;0;1
"500830 Três Lagoas";0;0;0;2;6;8;5;2;1;0;0;24
"Total";3;2;1;15;136;157;121;75;25;1;2;538
