 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2019
Ano Notificação: 2019
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2019
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"420010 Abelardo Luz";0;1;0;0;0;1
"420020 Agrolândia";1;0;0;0;0;1
"420030 Agronômica";1;0;0;0;0;1
"420055 Águas Frias";1;0;0;0;0;1
"420090 Angelina";1;0;0;0;0;1
"420130 Araquari";3;0;0;0;0;3
"420140 Araranguá";38;0;0;0;0;38
"420170 Ascurra";1;0;0;0;0;1
"420195 Balneário Arroio do Silva";7;0;0;0;0;7
"420205 Balneário Barra do Sul";1;0;0;0;0;1
"420200 Balneário Camboriú";85;1;0;2;0;88
"420207 Balneário Gaivota";2;0;0;0;0;2
"420210 Barra Velha";13;0;0;2;0;15
"420213 Bela Vista do Toldo";1;0;0;0;0;1
"420220 Benedito Novo";1;0;0;0;0;1
"420230 Biguaçu";22;3;0;2;0;27
"420240 Blumenau";88;4;0;6;0;98
"420257 Bom Jesus do Oeste";1;0;0;0;0;1
"420245 Bombinhas";3;1;0;0;0;4
"420280 Braço do Norte";8;1;0;0;0;9
"420285 Braço do Trombudo";1;0;0;0;0;1
"420290 Brusque";39;3;3;5;0;50
"420300 Caçador";9;0;0;2;0;11
"420320 Camboriú";26;2;0;3;0;31
"420350 Campo Erê";1;0;0;0;0;1
"420360 Campos Novos";9;2;1;1;0;13
"420370 Canelinha";1;0;0;0;0;1
"420380 Canoinhas";8;0;0;0;0;8
"420390 Capinzal";2;8;0;0;0;10
"420395 Capivari de Baixo";4;0;0;0;0;4
"420400 Catanduvas";1;0;0;0;0;1
"420420 Chapecó";39;5;0;5;0;49
"420425 Cocal do Sul";2;1;0;0;0;3
"420430 Concórdia";8;1;0;2;0;11
"420440 Coronel Freitas";1;0;0;0;0;1
"420455 Correia Pinto";1;0;0;0;0;1
"420450 Corupá";1;0;0;0;0;1
"420460 Criciúma";58;9;0;1;0;68
"420480 Curitibanos";3;0;0;0;0;3
"420517 Entre Rios";0;0;0;0;1;1
"420530 Faxinal dos Guedes";1;0;0;0;0;1
"420540 Florianópolis";220;20;8;27;0;275
"420545 Forquilhinha";6;0;0;0;0;6
"420550 Fraiburgo";2;0;0;1;0;3
"420570 Garopaba";6;1;0;0;0;7
"420590 Gaspar";14;1;1;4;0;20
"420600 Governador Celso Ramos";2;0;0;2;0;4
"420610 Grão Pará";2;0;0;0;0;2
"420620 Gravatal";1;0;0;0;0;1
"420630 Guabiruba";3;0;0;0;0;3
"420650 Guaramirim";2;0;0;0;0;2
"420670 Herval d'Oeste";3;0;0;0;0;3
"420700 Içara";11;2;0;1;0;14
"420710 Ilhota";1;0;0;0;0;1
"420720 Imaruí";1;0;0;0;0;1
"420730 Imbituba";9;2;1;0;0;12
"420740 Imbuia";2;0;0;0;0;2
"420750 Indaial";10;0;0;0;0;10
"420768 Ipuaçu";0;0;0;0;2;2
"420820 Itajaí";96;11;1;11;0;119
"420830 Itapema";13;0;0;5;0;18
"420845 Itapoá";0;0;0;1;0;1
"420850 Ituporanga";1;0;0;0;0;1
"420880 Jaguaruna";1;0;0;0;0;1
"420890 Jaraguá do Sul";23;2;0;4;0;29
"420900 Joaçaba";5;0;0;2;0;7
"420910 Joinville";143;18;0;10;0;171
"420930 Lages";40;4;0;5;0;49
"420940 Laguna";12;3;0;0;0;15
"420960 Lauro Muller";4;1;0;0;0;5
"421000 Luiz Alves";1;0;0;0;0;1
"421010 Mafra";6;0;0;0;0;6
"421040 Maracajá";1;0;0;0;0;1
"421050 Maravilha";1;0;0;1;0;2
"421060 Massaranduba";1;0;0;0;0;1
"421085 Mirim Doce";1;0;0;0;0;1
"421100 Mondaí";2;0;0;0;0;2
"421130 Navegantes";20;4;0;9;0;33
"421140 Nova Erechim";1;1;0;0;0;2
"421150 Nova Trento";2;0;0;0;0;2
"421160 Nova Veneza";1;0;0;0;0;1
"421170 Orleans";2;1;0;2;0;5
"421185 Ouro Verde";0;0;0;1;0;1
"421190 Palhoça";72;4;0;5;0;81
"421230 Paulo Lopes";0;1;0;0;0;1
"421250 Penha";3;0;0;0;0;3
"421280 Piçarras";7;0;0;1;0;8
"421290 Pinhalzinho";1;0;0;0;0;1
"421300 Pinheiro Preto";1;0;0;0;0;1
"421320 Pomerode";5;0;0;0;0;5
"421360 Porto União";2;0;0;0;0;2
"421370 Pouso Redondo";1;0;0;0;0;1
"421400 Presidente Getúlio";1;0;0;0;0;1
"421480 Rio do Sul";20;0;1;0;0;21
"421500 Rio Negrinho";2;0;0;0;0;2
"421510 Rodeio";1;0;0;1;0;2
"421530 Salete";1;0;0;0;0;1
"421545 Sangão";2;1;0;0;0;3
"421550 Santa Cecília";3;0;0;1;0;4
"421570 Santo Amaro da Imperatriz";1;0;0;0;0;1
"421580 São Bento do Sul";7;0;0;0;0;7
"421590 São Bonifácio";0;1;0;0;0;1
"421605 São Cristovão do Sul";2;0;0;1;0;3
"421620 São Francisco do Sul";11;0;0;3;0;14
"421630 São João Batista";1;0;0;0;0;1
"421640 São João do Sul";1;0;0;0;0;1
"421650 São Joaquim";1;1;0;1;0;3
"421660 São José";67;11;1;8;0;87
"421680 São José do Cerrito";1;0;0;0;0;1
"421700 São Ludgero";2;0;0;0;0;2
"421720 São Miguel do Oeste";7;0;0;2;0;9
"421725 São Pedro de Alcântara";2;0;0;0;0;2
"421770 Sombrio";3;1;0;0;0;4
"421780 Taió";1;0;0;0;0;1
"421800 Tijucas";14;2;0;0;0;16
"421820 Timbó";3;0;0;0;0;3
"421835 Treviso";2;0;0;0;0;2
"421870 Tubarão";32;2;0;4;0;38
"421885 União do Oeste";1;0;0;0;0;1
"421890 Urubici";2;0;0;0;0;2
"421895 Urupema";1;0;0;0;0;1
"421900 Urussanga";2;0;0;2;0;4
"421930 Videira";7;1;0;0;0;8
"421935 Vitor Meireles";0;0;0;0;2;2
"421950 Xanxerê";4;3;0;4;0;11
"421970 Xaxim";0;1;0;1;0;2
"Total";1462;142;17;151;5;1777
