 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2024
Ano Notificação: 2024
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2024
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"410010 Abatiá";1;0;0;1
"410040 Almirante Tamandaré";15;10;0;25
"410070 Alto Piquiri";1;0;0;1
"410080 Alvorada do Sul";1;0;0;1
"410120 Antonina";0;1;0;1
"410140 Apucarana";16;11;0;27
"410150 Arapongas";9;4;0;13
"410170 Araruna";0;1;0;1
"410180 Araucária";25;10;0;35
"410190 Assaí";2;0;0;2
"410310 Bocaiúva do Sul";0;1;0;1
"410322 Bom Sucesso do Sul";1;0;0;1
"410345 Cafelândia";1;0;0;1
"410350 Califórnia";1;0;0;1
"410370 Cambé";13;4;0;17
"410400 Campina Grande do Sul";6;4;0;10
"410420 Campo Largo";20;7;0;27
"410425 Campo Magro";0;1;0;1
"410430 Campo Mourão";18;15;0;33
"410445 Cantagalo";0;1;0;1
"410460 Capitão Leônidas Marques";2;0;0;2
"410470 Carlópolis";0;1;0;1
"410480 Cascavel";58;17;0;75
"410490 Castro";3;0;0;3
"410510 Centenário do Sul";1;0;0;1
"410520 Cerro Azul";1;0;0;1
"410530 Céu Azul";1;0;0;1
"410550 Cianorte";9;1;0;10
"410560 Cidade Gaúcha";2;1;0;3
"410570 Clevelândia";1;1;0;2
"410580 Colombo";27;22;0;49
"410630 Corbélia";2;0;0;2
"410640 Cornélio Procópio";14;6;0;20
"410645 Coronel Domingos Soares";1;0;0;1
"410660 Cruzeiro do Oeste";3;1;0;4
"410690 Curitiba";335;129;1;465
"410700 Curiúva";1;0;0;1
"410720 Dois Vizinhos";2;0;0;2
"410750 Engenheiro Beltrão";1;2;0;3
"410754 Espigão Alto do Iguaçu";0;1;0;1
"410760 Faxinal";1;0;0;1
"410765 Fazenda Rio Grande";4;3;0;7
"410773 Fernandes Pinheiro";1;0;0;1
"410800 Florestópolis";1;0;0;1
"410830 Foz do Iguaçu";79;23;0;102
"410840 Francisco Beltrão";17;17;0;34
"410880 Guaíra";1;2;0;3
"410910 Guaporema";0;1;0;1
"410930 Guaraniaçu";1;0;0;1
"410940 Guarapuava";12;6;0;18
"410960 Guaratuba";7;7;0;14
"410970 Ibaiti";8;3;0;11
"410975 Ibema";0;1;0;1
"410980 Ibiporã";7;1;0;8
"411000 Iguaraçu";7;8;0;15
"411007 Imbaú";0;1;0;1
"411010 Imbituva";1;0;0;1
"411020 Inácio Martins";0;1;0;1
"411070 Irati";2;0;0;2
"411150 Ivaiporã";1;5;0;6
"411180 Jacarezinho";13;6;0;19
"411190 Jaguapitã";2;0;0;2
"411260 Jardim Olinda";0;1;0;1
"411275 Jesuítas";1;0;0;1
"411300 Jussara";0;1;0;1
"411320 Lapa";7;2;0;9
"411330 Laranjeiras do Sul";3;1;0;4
"411350 Loanda";1;0;0;1
"411370 Londrina";93;29;0;122
"411460 Marechal Cândido Rondon";1;0;0;1
"411480 Marialva";2;0;0;2
"411490 Marilândia do Sul";1;0;0;1
"411500 Marilena";1;0;0;1
"411520 Maringá";100;33;0;133
"411560 Matelândia";1;0;0;1
"411580 Medianeira";0;1;0;1
"411610 Moreira Sales";1;0;0;1
"411670 Nova Aurora";1;0;0;1
"411690 Nova Esperança";2;0;0;2
"411700 Nova Fátima";2;1;0;3
"411705 Nova Laranjeiras";1;0;0;1
"411720 Nova Olímpia";0;1;0;1
"411729 Novo Itacolomi";1;0;0;1
"411730 Ortigueira";0;2;0;2
"411750 Paiçandu";1;1;0;2
"411760 Palmas";3;4;0;7
"411780 Palmital";2;2;0;4
"411790 Palotina";2;0;0;2
"411800 Paraíso do Norte";1;1;0;2
"411810 Paranacity";0;1;0;1
"411820 Paranaguá";52;26;0;78
"411830 Paranapoema";0;1;0;1
"411840 Paranavaí";12;6;0;18
"411850 Pato Branco";18;7;0;25
"411915 Pinhais";31;18;0;49
"411940 Piraí do Sul";0;1;0;1
"411950 Piraquara";19;11;0;30
"411960 Pitanga";1;1;0;2
"411990 Ponta Grossa";72;31;0;103
"411995 Pontal do Paraná";2;4;0;6
"412015 Porto Barreiro";1;0;0;1
"412070 Quatiguá";1;0;0;1
"412080 Quatro Barras";0;2;0;2
"412090 Quedas do Iguaçu";3;1;0;4
"412100 Querência do Norte";1;0;0;1
"412150 Rebouças";1;0;0;1
"412170 Reserva";4;2;0;6
"412175 Reserva do Iguaçu";1;0;0;1
"412200 Rio Azul";1;0;0;1
"412215 Rio Bonito do Iguaçu";0;1;0;1
"412230 Rio Negro";1;1;0;2
"412240 Rolândia";0;4;0;4
"412260 Rondon";1;0;0;1
"412340 Santa Fé";2;0;0;2
"412370 Santa Isabel do Ivaí";1;0;0;1
"412382 Santa Lúcia";1;0;0;1
"412390 Santa Mariana";1;0;0;1
"412402 Santa Tereza do Oeste";1;0;0;1
"412400 Santana do Itararé";0;1;0;1
"412410 Santo Antônio da Platina";1;0;0;1
"412430 Santo Antônio do Paraíso";1;0;0;1
"412450 Santo Inácio";1;0;0;1
"412500 São João do Ivaí";0;1;0;1
"412510 São João do Triunfo";1;0;0;1
"412550 São José dos Pinhais";45;16;0;61
"412555 São Manoel do Paraná";1;0;0;1
"412570 São Miguel do Iguaçu";1;0;0;1
"412610 São Tomé";1;0;0;1
"412625 Sarandi";5;4;0;9
"412640 Sertaneja";1;0;0;1
"412660 Siqueira Campos";1;0;0;1
"412667 Tamarana";0;2;0;2
"412680 Tapejara";0;1;0;1
"412700 Teixeira Soares";2;0;0;2
"412710 Telêmaco Borba";4;1;0;5
"412750 Tibagi";0;2;0;2
"412770 Toledo";30;14;0;44
"412800 Ubiratã";1;0;0;1
"412810 Umuarama";18;3;0;21
"412820 União da Vitória";5;3;0;8
"412855 Vera Cruz do Oeste";1;1;0;2
"412860 Verê";0;1;0;1
"412870 Vitorino";0;1;0;1
"Total";1335;586;1;1922
