 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Mato Grosso
Período:2015
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"510025 Alta Floresta";4;2;0;6
"510030 Alto Araguaia";2;0;0;2
"510040 Alto Garças";0;2;0;2
"510060 Alto Taquari";1;1;0;2
"510100 Araguaiana";0;1;0;1
"510130 Arenápolis";1;0;0;1
"510140 Aripuanã";3;1;0;4
"510170 Barra do Bugres";2;1;0;3
"510180 Barra do Garças";6;2;0;8
"510250 Cáceres";9;2;0;11
"510263 Campo Novo do Parecis";4;0;0;4
"510267 Campo Verde";0;1;0;1
"510300 Chapada dos Guimarães";0;1;0;1
"510320 Colíder";1;1;0;2
"510325 Colniza";1;0;0;1
"510335 Confresa";2;2;0;4
"510336 Conquista D'Oeste";1;0;0;1
"510337 Cotriguaçu";1;0;0;1
"510340 Cuiabá";136;58;0;194
"510343 Curvelândia";1;0;0;1
"510345 Denise";0;1;0;1
"510350 Diamantino";3;2;0;5
"510360 Dom Aquino";1;1;0;2
"510370 Feliz Natal";1;0;0;1
"510410 Guarantã do Norte";5;5;0;10
"510420 Guiratinga";1;0;0;1
"510450 Indiavaí";1;0;0;1
"510460 Itiquira";3;1;0;4
"510480 Jaciara";4;2;0;6
"510510 Juara";6;0;0;6
"510515 Juína";7;1;0;8
"510517 Juruena";1;0;0;1
"510520 Juscimeira";1;1;0;2
"510525 Lucas do Rio Verde";7;2;0;9
"510562 Mirassol d'Oeste";1;0;0;1
"510590 Nobres";1;0;0;1
"510880 Nova Guarita";0;1;0;1
"510618 Nova Lacerda";1;0;0;1
"510622 Nova Mutum";5;2;0;7
"510623 Nova Olímpia";1;0;0;1
"510624 Nova Ubiratã";1;1;0;2
"510626 Novo Mundo";2;0;0;2
"510630 Paranatinga";5;0;0;5
"510642 Peixoto de Azevedo";2;2;0;4
"510665 Pontal do Araguaia";1;0;0;1
"510675 Pontes e Lacerda";1;0;0;1
"510677 Porto Alegre do Norte";2;0;0;2
"510682 Porto Esperidião";1;1;0;2
"510700 Poxoréo";0;4;0;4
"510704 Primavera do Leste";14;6;0;20
"510720 Rio Branco";1;0;0;1
"510760 Rondonópolis";98;42;0;140
"510770 Rosário Oeste";1;0;0;1
"510776 Santa Rita do Trivelato";1;0;0;1
"510779 Santo Antônio do Leste";1;0;0;1
"510710 São José dos Quatro Marcos";2;1;0;3
"510787 Sapezal";1;1;0;2
"510790 Sinop";28;15;0;43
"510792 Sorriso";16;6;0;22
"510795 Tangará da Serra";6;9;0;15
"510800 Tapurah";1;0;0;1
"510840 Várzea Grande";33;19;1;53
"510860 Vila Rica";1;0;0;1
"Total";444;201;1;646
