 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso
Período:2015
"Município (Res)";"< 1 ano";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"510025 Alta Floresta";0;0;0;0;2;2;1;1;0;6
"510030 Alto Araguaia";0;0;0;1;0;1;0;0;0;2
"510040 Alto Garças";0;0;0;0;1;0;0;1;0;2
"510060 Alto Taquari";0;0;0;0;1;0;1;0;0;2
"510100 Araguaiana";0;0;0;1;0;0;0;0;0;1
"510130 Arenápolis";0;0;0;0;0;0;1;0;0;1
"510140 Aripuanã";0;0;0;1;2;1;0;0;0;4
"510170 Barra do Bugres";0;0;0;1;1;1;0;0;0;3
"510180 Barra do Garças";0;0;0;0;2;2;4;0;0;8
"510250 Cáceres";0;0;1;2;2;2;1;3;0;11
"510263 Campo Novo do Parecis";0;0;1;1;1;0;1;0;0;4
"510267 Campo Verde";0;0;0;0;1;0;0;0;0;1
"510300 Chapada dos Guimarães";0;0;0;1;0;0;0;0;0;1
"510320 Colíder";0;0;0;1;0;0;0;1;0;2
"510325 Colniza";0;0;0;0;1;0;0;0;0;1
"510335 Confresa";0;0;0;1;0;1;1;1;0;4
"510336 Conquista D'Oeste";0;0;0;1;0;0;0;0;0;1
"510337 Cotriguaçu";0;0;0;0;0;1;0;0;0;1
"510340 Cuiabá";2;0;5;54;55;40;26;8;4;194
"510343 Curvelândia";0;0;0;0;0;0;0;1;0;1
"510345 Denise";0;0;0;0;0;1;0;0;0;1
"510350 Diamantino";0;0;0;1;1;0;1;2;0;5
"510360 Dom Aquino";0;0;0;0;0;2;0;0;0;2
"510370 Feliz Natal";0;0;0;0;1;0;0;0;0;1
"510410 Guarantã do Norte";0;0;0;1;2;5;2;0;0;10
"510420 Guiratinga";0;0;0;0;1;0;0;0;0;1
"510450 Indiavaí";0;0;0;0;1;0;0;0;0;1
"510460 Itiquira";0;0;0;0;1;2;1;0;0;4
"510480 Jaciara";0;0;1;1;2;2;0;0;0;6
"510510 Juara";0;0;0;3;1;1;1;0;0;6
"510515 Juína";0;0;0;3;2;3;0;0;0;8
"510517 Juruena";0;0;0;0;0;0;0;1;0;1
"510520 Juscimeira";0;0;0;2;0;0;0;0;0;2
"510525 Lucas do Rio Verde";0;0;0;5;2;2;0;0;0;9
"510562 Mirassol d'Oeste";0;0;0;1;0;0;0;0;0;1
"510590 Nobres";0;0;0;0;0;0;1;0;0;1
"510880 Nova Guarita";0;0;0;0;1;0;0;0;0;1
"510618 Nova Lacerda";0;0;0;0;0;1;0;0;0;1
"510622 Nova Mutum";0;0;0;3;4;0;0;0;0;7
"510623 Nova Olímpia";0;0;0;0;1;0;0;0;0;1
"510624 Nova Ubiratã";0;0;0;0;1;0;0;1;0;2
"510626 Novo Mundo";0;0;0;0;0;1;1;0;0;2
"510630 Paranatinga";0;0;0;2;0;2;0;1;0;5
"510642 Peixoto de Azevedo";0;0;0;0;1;0;2;1;0;4
"510665 Pontal do Araguaia";0;0;0;0;1;0;0;0;0;1
"510675 Pontes e Lacerda";0;0;0;0;0;1;0;0;0;1
"510677 Porto Alegre do Norte";0;0;0;1;1;0;0;0;0;2
"510682 Porto Esperidião";0;0;0;0;2;0;0;0;0;2
"510700 Poxoréo";0;0;0;2;2;0;0;0;0;4
"510704 Primavera do Leste";0;0;1;1;8;6;2;2;0;20
"510720 Rio Branco";0;0;0;1;0;0;0;0;0;1
"510760 Rondonópolis";0;2;5;50;33;24;22;3;1;140
"510770 Rosário Oeste";0;0;0;0;0;1;0;0;0;1
"510776 Santa Rita do Trivelato";0;0;0;0;0;1;0;0;0;1
"510779 Santo Antônio do Leste";0;0;0;0;0;0;0;1;0;1
"510710 São José dos Quatro Marcos";0;0;0;2;1;0;0;0;0;3
"510787 Sapezal";0;0;0;0;2;0;0;0;0;2
"510790 Sinop";0;0;1;12;14;8;6;2;0;43
"510792 Sorriso";1;0;0;8;6;5;1;1;0;22
"510795 Tangará da Serra";0;0;0;1;4;6;3;1;0;15
"510800 Tapurah";0;0;0;0;1;0;0;0;0;1
"510840 Várzea Grande";0;0;1;12;18;15;4;2;1;53
"510860 Vila Rica";0;0;0;0;0;0;1;0;0;1
"Total";3;2;16;177;184;140;84;34;6;646
