 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2023
Ano Notificação: 2023
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2023
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"410010 Abatiá";0;0;0;0;0;0;1;0;0;0;0;1
"410020 Adrianópolis";0;0;0;0;0;0;0;1;0;0;0;1
"410040 Almirante Tamandaré";0;0;0;0;6;1;5;5;1;0;0;18
"410060 Alto Paraná";0;0;0;0;1;0;0;1;0;0;0;2
"410080 Alvorada do Sul";0;0;0;0;1;0;0;0;0;0;0;1
"410130 Antônio Olinto";0;0;0;0;0;1;0;0;0;0;0;1
"410140 Apucarana";0;0;0;0;6;7;4;2;3;2;0;24
"410150 Arapongas";0;0;0;0;8;5;2;2;0;0;0;17
"410180 Araucária";0;0;0;0;7;8;13;7;0;0;0;35
"410190 Assaí";0;0;0;0;0;1;0;0;0;0;0;1
"410300 Boa Esperança";0;0;0;0;0;0;0;0;0;1;0;1
"410310 Bocaiúva do Sul";0;0;0;0;2;1;0;0;0;0;0;3
"410330 Borrazópolis";0;0;0;0;0;1;0;0;0;0;0;1
"410345 Cafelândia";0;0;0;0;3;0;0;0;0;0;0;3
"410360 Cambará";0;0;0;0;0;0;2;0;0;0;0;2
"410370 Cambé";0;0;0;1;6;6;5;0;1;0;0;19
"410390 Campina da Lagoa";0;0;0;0;0;0;1;0;0;0;0;1
"410400 Campina Grande do Sul";0;0;0;0;2;3;2;2;2;0;0;11
"410420 Campo Largo";0;0;0;0;7;4;6;7;3;0;0;27
"410430 Campo Mourão";0;0;1;0;3;8;6;8;5;0;0;31
"410442 Candói";0;0;0;0;0;0;1;0;0;0;0;1
"410480 Cascavel";0;0;0;2;30;26;26;16;3;1;0;104
"410490 Castro";0;0;0;0;1;1;2;0;0;0;0;4
"410500 Catanduvas";0;0;0;0;0;0;0;1;0;0;0;1
"410510 Centenário do Sul";0;0;0;0;1;1;2;0;0;0;0;4
"410530 Céu Azul";0;0;0;0;0;1;0;0;0;0;0;1
"410550 Cianorte";0;0;0;0;2;3;5;1;0;0;0;11
"410570 Clevelândia";0;0;0;0;0;0;1;0;0;0;0;1
"410580 Colombo";0;0;0;0;7;15;6;6;1;0;0;35
"410590 Colorado";0;0;0;0;0;1;0;0;1;0;0;2
"410620 Contenda";0;0;0;0;0;1;0;0;0;0;0;1
"410640 Cornélio Procópio";0;0;0;0;3;4;4;4;1;0;0;16
