 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2020
Ano Notificação: 2020
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2020
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"430005 Água Santa";0;0;0;0;0;1;0;0;0;0;0;1
"430010 Agudo";0;0;0;0;0;0;1;1;0;0;0;2
"430020 Ajuricaba";0;0;0;0;0;0;0;1;0;0;0;1
"430040 Alegrete";0;0;0;0;0;4;3;2;2;0;0;11
"430045 Alegria";0;0;0;0;0;0;0;1;0;0;0;1
"430057 Alto Feliz";0;0;0;0;0;1;0;0;0;0;0;1
"430060 Alvorada";0;0;0;1;9;18;6;21;6;1;0;62
"430063 Amaral Ferrador";0;0;0;0;0;1;0;0;0;0;0;1
"430087 Araricá";0;0;0;0;0;0;0;1;0;0;0;1
"430100 Arroio do Meio";0;0;0;0;0;1;0;0;1;0;0;2
"430105 Arroio do Sal";0;0;0;0;0;0;0;1;0;0;0;1
"430120 Arroio do Tigre";0;0;0;0;0;0;0;0;1;0;0;1
"430130 Arroio Grande";0;0;0;0;0;0;0;1;1;0;0;2
"430150 Augusto Pestana";0;0;0;0;1;0;0;0;0;0;0;1
"430160 Bagé";0;1;0;0;1;7;4;4;1;0;0;18
"430190 Barra do Ribeiro";0;0;0;0;1;1;0;0;0;0;0;2
"430200 Barros Cassal";0;0;0;0;0;0;1;0;0;0;0;1
"430210 Bento Gonçalves";0;0;0;0;2;9;6;7;2;0;0;26
"430237 Bom Progresso";0;0;0;0;0;0;1;1;0;0;0;2
"430280 Caçapava do Sul";0;0;0;0;0;0;1;1;1;0;0;3
"430300 Cachoeira do Sul";0;0;0;0;1;2;1;3;0;0;0;7
"430310 Cachoeirinha";0;0;0;1;3;4;4;8;1;0;0;21
"430340 Caiçara";0;0;0;0;1;0;0;0;0;0;0;1
"430350 Camaquã";0;0;0;1;0;5;5;5;1;1;0;18
"430380 Campinas do Sul";0;0;0;0;0;0;0;0;1;0;0;1
"430390 Campo Bom";0;0;0;0;0;5;4;2;0;0;0;11
"430435 Candiota";0;0;0;0;1;1;0;0;0;0;0;2
"430440 Canela";0;1;0;0;3;3;4;5;1;0;0;17
"430460 Canoas";1;0;0;2;26;37;28;19;9;0;0;122
"430463 Capão da Canoa";0;0;0;0;4;4;1;5;0;0;0;14
"430466 Capão do Leão";0;0;0;0;2;0;4;0;0;0;0;6
"430468 Capela de Santana";0;0;0;0;0;3;0;1;0;0;0;4
"430467 Capivari do Sul";0;0;0;0;0;0;0;1;0;0;0;1
"430471 Caraá";0;0;0;0;0;0;1;0;0;0;0;1
"430470 Carazinho";0;0;0;0;3;3;5;0;2;0;0;13
"430500 Catuípe";0;0;0;0;1;0;0;0;0;0;0;1
"430510 Caxias do Sul";0;0;0;0;19;22;20;9;4;0;0;74
"430512 Cerrito";0;0;0;0;0;0;1;0;0;0;0;1
"430535 Charqueadas";0;0;0;0;1;6;3;2;2;1;0;15
"430543 Chuí";0;0;0;0;0;0;0;1;0;0;0;1
"430545 Cidreira";0;0;0;0;0;0;1;0;0;0;0;1
"430590 Coronel Bicaco";0;0;0;0;0;0;0;1;0;0;0;1
"430610 Cruz Alta";0;0;0;1;7;5;2;2;5;2;0;24
"430613 Cruzaltense";0;0;0;0;0;0;1;0;0;0;0;1
"430640 Dois Irmãos";0;0;0;0;0;1;0;0;0;0;0;1
"430660 Dom Pedrito";0;0;0;0;4;2;1;0;0;0;0;7
"430676 Eldorado do Sul";0;0;0;0;1;0;3;1;1;0;0;6
"430680 Encantado";0;0;0;0;0;0;0;1;0;0;0;1
"430690 Encruzilhada do Sul";0;0;0;0;0;0;0;2;1;0;0;3
"430700 Erechim";0;0;0;1;4;3;3;4;0;0;0;15
"430750 Espumoso";0;0;0;0;0;2;0;0;0;0;0;2
"430755 Estação";0;0;0;0;1;0;0;0;0;0;0;1
"430760 Estância Velha";0;0;0;0;0;2;3;2;1;0;0;8
"430770 Esteio";0;0;0;0;2;7;4;4;2;0;0;19
