 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso do Sul
Período:2024
"Município (Res)";"< 1 ano";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"500020 Água Clara";0;0;0;0;0;1;0;0;0;0;1
"500060 Amambaí";0;0;0;0;4;1;0;0;1;1;7
"500070 Anastácio";0;0;1;7;3;3;4;0;0;0;18
"500110 Aquidauana";0;0;0;1;0;0;0;1;0;0;2
"500150 Bandeirantes";0;0;0;0;1;0;0;0;0;0;1
"500190 Bataguassu";0;0;1;1;0;1;0;0;0;0;3
"500210 Bela Vista";0;0;0;0;0;0;0;1;0;0;1
"500270 Campo Grande";0;0;12;99;110;71;45;23;9;0;369
"500290 Cassilândia";0;0;0;0;1;1;0;0;0;0;2
"500295 Chapadão do Sul";0;0;0;0;1;0;1;1;1;0;4
"500315 Coronel Sapucaia";0;0;0;2;0;0;0;0;0;0;2
"500320 Corumbá";0;1;0;12;7;6;3;2;0;0;31
"500325 Costa Rica";0;0;0;1;0;0;1;0;0;0;2
"500330 Coxim";0;0;0;1;2;4;1;3;0;0;11
"500370 Dourados";0;0;1;27;26;33;12;2;1;0;102
"500375 Eldorado";0;0;1;0;0;0;0;0;0;0;1
"500410 Guia Lopes da Laguna";0;0;0;0;0;0;1;0;0;0;1
"500430 Iguatemi";0;0;0;0;1;2;0;0;0;0;3
"500480 Japorã";0;0;0;0;0;1;0;0;0;0;1
"500500 Jardim";0;0;1;2;3;5;8;0;0;1;20
"500520 Ladário";0;0;0;1;1;0;0;1;0;0;3
"500540 Maracaju";0;0;0;1;2;0;0;1;1;0;5
"500568 Mundo Novo";0;0;0;0;0;0;1;0;0;0;1
"500570 Naviraí";0;0;1;5;2;3;5;2;1;1;20
"500600 Nova Alvorada do Sul";0;0;0;1;2;0;0;0;0;0;3
"500620 Nova Andradina";0;0;0;8;9;2;4;1;0;1;25
"500630 Paranaíba";0;0;1;3;3;6;5;1;1;0;20
"500635 Paranhos";0;0;0;1;0;0;0;0;0;0;1
"500660 Ponta Porã";1;0;4;15;20;12;7;5;3;2;69
"500710 Ribas do Rio Pardo";0;0;0;1;1;0;0;1;0;0;3
"500720 Rio Brilhante";0;0;0;1;0;0;1;0;0;0;2
"500730 Rio Negro";0;0;0;0;1;0;0;0;0;0;1
"500755 Santa Rita do Pardo";0;0;0;1;0;2;0;0;0;0;3
"500769 São Gabriel do Oeste";0;0;0;0;1;0;1;0;0;1;3
"500790 Sidrolândia";0;0;0;0;2;0;0;0;0;0;2
"500830 Três Lagoas";0;0;1;11;17;7;8;0;0;0;44
"500840 Vicentina";0;0;0;0;0;0;1;0;0;0;1
"Total";1;1;24;202;220;161;109;45;18;7;788
