 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2015
Ano Notificação: 2015
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2015
"Município (Res)";"Masculino";"Feminino";"Total"
"410030 Agudos do Sul";1;0;1
"410040 Almirante Tamandaré";8;8;16
"410060 Alto Paraná";0;2;2
"410050 Altônia";0;1;1
"410090 Amaporã";1;0;1
"410110 Andirá";1;0;1
"410120 Antonina";1;1;2
"410130 Antônio Olinto";1;1;2
"410140 Apucarana";21;6;27
"410150 Arapongas";17;9;26
"410170 Araruna";1;0;1
"410180 Araucária";17;10;27
"410190 Assaí";1;1;2
"410200 Assis Chateaubriand";3;1;4
"410240 Bandeirantes";2;0;2
"410270 Barra do Jacaré";1;0;1
"410280 Bela Vista do Paraíso";1;1;2
"410290 Bituruna";1;1;2
"410305 Boa Vista da Aparecida";0;1;1
"410310 Bocaiúva do Sul";1;1;2
"410340 Cafeara";1;0;1
"410360 Cambará";2;1;3
"410370 Cambé";8;6;14
"410380 Cambira";0;2;2
"410390 Campina da Lagoa";0;1;1
"410395 Campina do Simão";1;0;1
"410400 Campina Grande do Sul";7;3;10
"410420 Campo Largo";10;6;16
"410425 Campo Magro";1;1;2
"410430 Campo Mourão";17;9;26
"410445 Cantagalo";2;1;3
"410460 Capitão Leônidas Marques";2;1;3
"410480 Cascavel";50;26;76
"410490 Castro";1;0;1
"410520 Cerro Azul";1;0;1
"410550 Cianorte";11;1;12
"410560 Cidade Gaúcha";0;1;1
"410580 Colombo";35;19;54
"410590 Colorado";1;0;1
"410620 Contenda";1;1;2
"410630 Corbélia";1;0;1
"410640 Cornélio Procópio";3;2;5
"410650 Coronel Vivida";1;2;3
"410655 Corumbataí do Sul";2;0;2
"410660 Cruzeiro do Oeste";3;1;4
"410690 Curitiba";421;167;588
"410720 Dois Vizinhos";2;0;2
"410730 Doutor Camargo";1;1;2
"410750 Engenheiro Beltrão";2;0;2
"410755 Farol";1;0;1
"410765 Fazenda Rio Grande";8;6;14
"410773 Fernandes Pinheiro";1;0;1
"410810 Flórida";0;1;1
"410830 Foz do Iguaçu";48;26;74
"410832 Francisco Alves";1;0;1
"410840 Francisco Beltrão";17;13;30
"410860 Goioerê";1;0;1
"410880 Guaíra";4;3;7
"410895 Guamiranga";0;1;1
"410930 Guaraniaçu";1;0;1
"410940 Guarapuava";33;19;52
"410950 Guaraqueçaba";1;0;1
"410960 Guaratuba";7;6;13
"410970 Ibaiti";4;6;10
"410980 Ibiporã";1;1;2
"410990 Icaraíma";1;0;1
"411007 Imbaú";0;1;1
"411150 Ivaiporã";1;1;2
"411170 Jaboti";1;0;1
"411180 Jacarezinho";14;5;19
"411190 Jaguapitã";1;0;1
"411210 Jandaia do Sul";2;0;2
"411230 Japira";1;0;1
"411240 Japurá";1;0;1
"411270 Jataizinho";1;0;1
"411295 Juranda";1;1;2
"411320 Lapa";6;0;6
"411325 Laranjal";0;1;1
