 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2015
Ano Notificação: 2015
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2015
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"410030 Agudos do Sul";0;0;0;0;1;0;0;0;0;0;1
"410040 Almirante Tamandaré";0;3;2;3;1;2;2;0;1;0;14
"410060 Alto Paraná";0;0;1;0;1;0;0;0;0;0;2
"410050 Altônia";0;0;1;0;0;0;0;0;0;0;1
"410090 Amaporã";0;0;0;0;1;0;0;0;0;0;1
"410110 Andirá";0;1;0;0;0;0;0;0;0;0;1
"410120 Antonina";0;0;0;1;0;1;0;0;0;0;2
"410130 Antônio Olinto";0;0;0;1;0;0;1;0;0;0;2
"410140 Apucarana";0;2;0;6;3;7;4;1;4;0;27
"410150 Arapongas";0;1;3;6;1;5;4;1;3;0;24
"410170 Araruna";0;0;0;0;0;0;0;0;1;0;1
"410180 Araucária";1;3;0;6;2;6;4;1;3;0;26
"410190 Assaí";0;0;0;1;0;0;1;0;0;0;2
"410200 Assis Chateaubriand";0;0;0;1;2;0;1;0;0;0;4
"410240 Bandeirantes";0;0;0;0;1;0;0;1;0;0;2
"410270 Barra do Jacaré";0;0;0;0;1;0;0;0;0;0;1
"410280 Bela Vista do Paraíso";0;0;1;1;0;0;0;0;0;0;2
"410290 Bituruna";0;0;0;1;0;0;1;0;0;0;2
"410305 Boa Vista da Aparecida";0;0;1;0;0;0;0;0;0;0;1
"410310 Bocaiúva do Sul";1;0;0;0;0;0;0;0;0;0;1
"410340 Cafeara";0;0;0;0;0;0;1;0;0;0;1
"410360 Cambará";0;0;2;0;0;0;1;0;0;0;3
"410370 Cambé";0;0;3;3;1;0;2;0;1;0;10
"410380 Cambira";0;0;0;0;2;0;0;0;0;0;2
"410390 Campina da Lagoa";0;0;1;0;0;0;0;0;0;0;1
"410395 Campina do Simão";0;0;0;0;0;0;1;0;0;0;1
"410400 Campina Grande do Sul";0;4;1;2;0;0;2;0;1;0;10
"410420 Campo Largo";0;0;5;0;1;1;3;1;2;0;13
"410425 Campo Magro";0;0;0;0;1;0;1;0;0;0;2
"410430 Campo Mourão";0;1;7;4;0;1;2;2;1;0;18
"410445 Cantagalo";0;0;0;1;0;1;0;0;1;0;3
"410460 Capitão Leônidas Marques";0;2;1;0;0;0;0;0;0;0;3
"410480 Cascavel";1;12;3;16;8;5;20;3;6;0;74
"410490 Castro";0;0;0;0;0;0;0;0;1;0;1
"410550 Cianorte";0;1;0;2;0;1;2;2;3;0;11
"410560 Cidade Gaúcha";0;0;0;0;1;0;0;0;0;0;1
"410580 Colombo";0;5;4;16;6;5;6;0;1;0;43
"410590 Colorado";1;0;0;0;0;0;0;0;0;0;1
"410620 Contenda";0;0;0;1;1;0;0;0;0;0;2
"410630 Corbélia";0;0;0;0;0;0;1;0;0;0;1
"410640 Cornélio Procópio";1;0;0;2;0;1;0;0;1;0;5
"410650 Coronel Vivida";0;0;0;3;0;0;0;0;0;0;3
"410655 Corumbataí do Sul";0;0;0;0;0;1;1;0;0;0;2
"410660 Cruzeiro do Oeste";0;0;0;1;1;2;0;0;0;0;4
"410690 Curitiba";2;34;26;73;34;57;101;32;55;1;415
"410720 Dois Vizinhos";0;0;0;0;0;2;0;0;0;0;2
"410730 Doutor Camargo";0;0;1;1;0;0;0;0;0;0;2
"410750 Engenheiro Beltrão";0;1;0;0;0;0;0;0;0;0;1
"410755 Farol";0;0;0;0;0;0;0;0;1;0;1
"410765 Fazenda Rio Grande";0;3;3;3;1;1;2;1;0;0;14
"410773 Fernandes Pinheiro";0;0;0;0;0;0;1;0;0;0;1
"410810 Flórida";0;1;0;0;0;0;0;0;0;0;1
"410830 Foz do Iguaçu";4;9;5;14;7;11;9;2;5;0;66
"410832 Francisco Alves";0;0;0;0;0;1;0;0;0;0;1
"410840 Francisco Beltrão";2;5;3;8;3;2;2;1;2;0;28
"410860 Goioerê";0;0;1;0;0;0;0;0;0;0;1
"410880 Guaíra";0;1;2;1;0;0;0;1;1;0;6
"410930 Guaraniaçu";0;0;0;0;0;1;0;0;0;0;1
"410940 Guarapuava";0;4;6;14;1;8;12;2;5;0;52
"410950 Guaraqueçaba";0;0;0;0;0;1;0;0;0;0;1
"410960 Guaratuba";0;2;1;4;2;1;0;0;1;0;11
"410970 Ibaiti";0;0;6;3;0;0;0;0;0;0;9
"410980 Ibiporã";0;0;0;1;0;1;0;0;0;0;2
"411007 Imbaú";0;0;0;0;1;0;0;0;0;0;1
"411150 Ivaiporã";0;0;1;0;0;0;0;0;0;0;1
