 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Goiás
Período:2020
"Município (Res)";"Masculino";"Feminino";"Total"
"520010 Abadiânia";0;1;1
"520025 Águas Lindas de Goiás";4;2;6
"520110 Anápolis";39;13;52
"520140 Aparecida de Goiânia";77;25;102
"520170 Aragarças";1;1;2
"520250 Aruanã";1;0;1
"520330 Bela Vista de Goiás";4;2;6
"520340 Bom Jardim de Goiás";1;0;1
"520420 Cachoeira de Goiás";0;1;1
"520425 Cachoeira Dourada";1;0;1
"520440 Caiapônia";2;1;3
"520450 Caldas Novas";14;5;19
"520460 Campestre de Goiás";1;0;1
"520490 Campos Belos";2;1;3
"520510 Catalão";14;3;17
"520520 Caturaí";1;1;2
"520540 Ceres";0;1;1
"520545 Cezarina";0;1;1
"520547 Chapadão do Céu";2;1;3
"520549 Cidade Ocidental";14;2;16
"520551 Cocalzinho de Goiás";0;2;2
"520620 Cristalina";1;0;1
"520640 Crixás";0;1;1
"520650 Cromínia";1;0;1
"520800 Formosa";0;1;1
"520860 Goianésia";4;1;5
"520870 Goiânia";337;76;413
"520880 Goianira";2;1;3
"520890 Goiás";4;1;5
"520910 Goiatuba";1;3;4
"520970 Hidrolândia";1;1;2
"521000 Inhumas";6;2;8
"521010 Ipameri";1;0;1
"521020 Iporá";6;3;9
"521040 Itaberaí";1;0;1
"521056 Itaguari";1;0;1
"521080 Itajá";0;1;1
"521090 Itapaci";2;0;2
"521100 Itapirapuã";1;0;1
"521140 Itauçu";1;0;1
"521150 Itumbiara";16;8;24
"521180 Jaraguá";2;0;2
"521190 Jataí";12;3;15
"521230 Leopoldo de Bulhões";1;0;1
"521250 Luziânia";8;3;11
"521300 Maurilândia";1;0;1
"521308 Minaçu";0;1;1
"521310 Mineiros";2;3;5
"521350 Monte Alegre de Goiás";2;0;2
"521370 Montes Claros de Goiás";0;1;1
"521375 Montividiu";1;0;1
"521380 Morrinhos";2;2;4
"521450 Nerópolis";2;0;2
"521460 Niquelândia";1;0;1
"521523 Novo Gama";3;1;4
"521570 Palmeiras de Goiás";0;1;1
"521590 Palminópolis";1;0;1
"521710 Piracanjuba";1;1;2
"521720 Piranhas";1;0;1
"521730 Pirenópolis";2;0;2
"521740 Pires do Rio";2;0;2
"521760 Planaltina";1;1;2
"521770 Pontalina";0;1;1
"521800 Porangatu";2;1;3
"521805 Porteirão";1;0;1
"521850 Quirinópolis";1;1;2
"521860 Rialma";1;0;1
"521880 Rio Verde";24;8;32
"521890 Rubiataba";1;0;1
"521930 Santa Helena de Goiás";1;2;3
"521935 Santa Isabel";1;0;1
"521950 Santa Rosa de Goiás";0;1;1
"521970 Santa Terezinha de Goiás";1;0;1
"521975 Santo Antônio do Descoberto";4;2;6
"522005 São João da Paraúna";1;0;1
"522010 São Luís de Montes Belos";0;1;1
"522020 São Miguel do Araguaia";2;0;2
"522045 Senador Canedo";17;5;22
"522060 Silvânia";1;0;1
"522130 Três Ranchos";2;0;2
"522140 Trindade";9;1;10
"522157 Uirapuru";0;1;1
"522160 Uruaçu";2;1;3
"522185 Valparaíso de Goiás";7;1;8
"522190 Varjão";0;1;1
"522205 Vicentinópolis";1;0;1
"522220 Vila Boa";1;0;1
"Total";689;206;895
