 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso
Período:2023
"Município (Res)";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"510020 Água Boa";0;0;0;1;1;3;1;2;1;0;0;9
"510025 Alta Floresta";0;0;0;1;2;4;3;1;0;0;0;11
"510030 Alto Araguaia";0;0;0;0;1;1;0;1;0;0;0;3
"510080 Apiacás";0;0;0;0;0;0;1;0;0;0;0;1
"510125 Araputanga";0;0;0;0;1;1;1;1;0;0;0;4
"510170 Barra do Bugres";0;0;0;0;0;1;0;0;0;0;0;1
"510180 Barra do Garças";0;1;0;0;1;2;1;1;0;0;0;6
"510190 Brasnorte";0;0;0;0;1;0;0;0;0;0;0;1
"510250 Cáceres";0;0;0;0;6;2;7;4;1;1;1;22
"510263 Campo Novo do Parecis";0;0;0;0;1;1;1;1;0;0;1;5
"510267 Campo Verde";0;0;0;0;3;2;2;1;1;0;0;9
"510268 Campos de Júlio";0;0;0;0;1;0;0;1;0;0;0;2
"510270 Canarana";0;0;0;0;0;0;0;0;1;0;0;1
"510285 Castanheira";0;0;0;0;0;1;0;0;0;0;0;1
"510300 Chapada dos Guimarães";0;0;0;0;0;1;0;0;0;0;0;1
"510305 Cláudia";0;0;0;1;0;0;0;0;0;0;0;1
"510320 Colíder";0;0;0;0;1;3;0;1;0;0;0;5
"510335 Confresa";0;0;0;1;7;2;0;2;0;0;0;12
"510337 Cotriguaçu";0;0;0;0;0;0;0;1;0;0;0;1
"510340 Cuiabá";1;0;0;9;63;64;51;27;13;1;0;229
"510350 Diamantino";0;0;0;0;2;0;0;2;0;0;0;4
"510410 Guarantã do Norte";0;0;0;0;0;3;0;1;1;0;1;6
"510420 Guiratinga";0;0;0;0;1;0;0;0;0;0;0;1
"510460 Itiquira";0;0;0;0;0;0;0;0;1;0;0;1
"510480 Jaciara";0;0;0;0;1;2;0;1;0;0;0;4
"510490 Jangada";0;0;0;0;0;1;0;1;0;0;0;2
"510500 Jauru";0;0;0;0;0;0;0;0;1;0;0;1
"510510 Juara";0;0;0;1;4;0;2;0;2;0;0;9
"510515 Juína";0;0;0;0;7;6;2;1;0;0;0;16
"510520 Juscimeira";0;0;0;0;0;0;1;0;0;0;0;1
"510525 Lucas do Rio Verde";0;0;0;0;2;1;0;2;0;0;0;5
"510560 Matupá";0;0;0;0;1;0;2;1;0;1;0;5
"510562 Mirassol d'Oeste";0;0;0;0;0;0;0;1;0;0;0;1
"510590 Nobres";0;0;0;0;2;1;2;0;0;0;0;5
"510615 Nova Bandeirantes";0;0;0;0;0;1;0;0;0;0;0;1
"510618 Nova Lacerda";0;0;0;0;0;0;0;1;1;0;0;2
"510890 Nova Maringá";0;0;0;0;0;1;0;0;0;0;0;1
"510622 Nova Mutum";0;0;0;0;3;5;2;1;0;0;0;11
"510623 Nova Olímpia";0;0;0;0;1;0;0;0;0;0;0;1
"510624 Nova Ubiratã";0;0;0;0;0;0;2;0;0;0;0;2
"510625 Nova Xavantina";0;0;0;0;1;1;3;3;0;0;0;8
"510630 Paranatinga";0;0;0;0;0;1;0;0;1;0;0;2
"510637 Pedra Preta";0;0;0;0;0;1;1;0;0;0;0;2
"510642 Peixoto de Azevedo";0;0;0;0;2;0;4;1;2;0;0;9
"510650 Poconé";0;0;0;0;0;1;1;1;0;0;0;3
"510675 Pontes e Lacerda";0;0;0;0;3;2;1;2;0;0;0;8
"510700 Poxoréo";0;0;0;0;0;0;2;0;0;0;0;2
"510704 Primavera do Leste";0;0;0;0;3;7;5;0;3;0;1;19
"510715 Reserva do Cabaçal";0;0;0;0;1;0;0;0;0;0;0;1
"510760 Rondonópolis";0;0;0;1;24;32;16;19;8;0;0;100
"510770 Rosário Oeste";0;0;0;0;0;0;0;1;0;0;0;1
"510777 Santa Terezinha";0;0;0;0;1;0;0;0;0;0;0;1
"510740 São Pedro da Cipa";0;0;0;0;0;1;0;1;0;0;0;2
"510787 Sapezal";0;0;0;0;0;1;0;0;0;0;0;1
"510790 Sinop";0;0;0;3;25;23;15;1;3;2;0;72
"510792 Sorriso";1;0;1;2;8;14;9;6;1;0;0;42
"510795 Tangará da Serra";0;0;0;1;10;5;9;4;1;0;0;30
"510800 Tapurah";0;0;0;0;1;0;0;1;0;0;0;2
"510840 Várzea Grande";0;0;0;0;31;38;26;10;1;1;1;108
"510850 Vera";0;0;0;0;0;0;1;0;1;0;0;2
"510550 Vila Bela da Santíssima Trindade";0;0;0;0;1;0;1;0;0;0;0;2
"Total";2;1;1;21;224;236;175;106;44;6;5;821
