 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Mato Grosso
Período:2023
"Município (Res)";"Masculino";"Feminino";"Total"
"510020 Água Boa";6;3;9
"510025 Alta Floresta";8;3;11
"510030 Alto Araguaia";2;1;3
"510080 Apiacás";0;1;1
"510125 Araputanga";4;0;4
"510170 Barra do Bugres";1;0;1
"510180 Barra do Garças";4;2;6
"510190 Brasnorte";1;0;1
"510250 Cáceres";15;7;22
"510263 Campo Novo do Parecis";4;1;5
"510267 Campo Verde";6;3;9
"510268 Campos de Júlio";2;0;2
"510270 Canarana";1;0;1
"510285 Castanheira";1;0;1
"510300 Chapada dos Guimarães";1;0;1
"510305 Cláudia";1;0;1
"510320 Colíder";4;1;5
"510335 Confresa";11;1;12
"510337 Cotriguaçu";1;0;1
"510340 Cuiabá";173;56;229
"510350 Diamantino";2;2;4
"510410 Guarantã do Norte";5;1;6
"510420 Guiratinga";1;0;1
"510460 Itiquira";1;0;1
"510480 Jaciara";3;1;4
"510490 Jangada";1;1;2
"510500 Jauru";1;0;1
"510510 Juara";5;4;9
"510515 Juína";8;8;16
"510520 Juscimeira";1;0;1
"510525 Lucas do Rio Verde";5;0;5
"510560 Matupá";3;2;5
"510562 Mirassol d'Oeste";1;0;1
"510590 Nobres";4;1;5
"510615 Nova Bandeirantes";1;0;1
"510618 Nova Lacerda";1;1;2
"510890 Nova Maringá";1;0;1
"510622 Nova Mutum";9;2;11
"510623 Nova Olímpia";1;0;1
"510624 Nova Ubiratã";1;1;2
"510625 Nova Xavantina";5;3;8
"510630 Paranatinga";0;2;2
"510637 Pedra Preta";1;1;2
"510642 Peixoto de Azevedo";8;1;9
"510650 Poconé";2;1;3
"510675 Pontes e Lacerda";5;3;8
"510700 Poxoréo";1;1;2
"510704 Primavera do Leste";15;4;19
"510715 Reserva do Cabaçal";1;0;1
"510760 Rondonópolis";75;25;100
"510770 Rosário Oeste";1;0;1
"510777 Santa Terezinha";0;1;1
"510740 São Pedro da Cipa";2;0;2
"510787 Sapezal";1;0;1
"510790 Sinop";56;16;72
"510792 Sorriso";30;12;42
"510795 Tangará da Serra";22;8;30
"510800 Tapurah";1;1;2
"510840 Várzea Grande";78;30;108
"510850 Vera";1;1;2
"510550 Vila Bela da Santíssima Trindade";1;1;2
"Total";607;214;821
