 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Goiás
Período:2025
"Município (Res)";"Masculino";"Feminino";"Total"
"520005 Abadia de Goiás";1;0;1
"520010 Abadiânia";0;1;1
"520025 Águas Lindas de Goiás";5;1;6
"520030 Alexânia";2;0;2
"520060 Alto Paraíso de Goiás";1;0;1
"520085 Americano do Brasil";2;0;2
"520110 Anápolis";49;9;58
"520140 Aparecida de Goiânia";51;12;63
"520170 Aragarças";2;0;2
"520250 Aruanã";1;0;1
"520330 Bela Vista de Goiás";1;0;1
"520340 Bom Jardim de Goiás";2;0;2
"520355 Bonfinópolis";1;1;2
"520360 Brazabrantes";0;1;1
"520425 Cachoeira Dourada";1;0;1
"520450 Caldas Novas";17;8;25
"520510 Catalão";16;4;20
"520549 Cidade Ocidental";11;3;14
"520620 Cristalina";1;1;2
"520640 Crixás";1;0;1
"520680 Damolândia";1;0;1
"520780 Firminópolis";1;0;1
"520800 Formosa";2;1;3
"520860 Goianésia";2;0;2
"520870 Goiânia";251;60;311
"520880 Goianira";3;1;4
"520890 Goiás";3;0;3
"520910 Goiatuba";1;1;2
"520920 Guapó";3;0;3
"520993 Inaciolândia";1;0;1
"521000 Inhumas";0;2;2
"521015 Ipiranga de Goiás";1;0;1
"521020 Iporá";8;0;8
"521090 Itapaci";2;0;2
"521120 Itapuranga";1;0;1
"521150 Itumbiara";17;5;22
"521180 Jaraguá";2;0;2
"521190 Jataí";18;5;23
"521250 Luziânia";3;1;4
"521308 Minaçu";1;0;1
"521380 Morrinhos";2;0;2
"521400 Mozarlândia";1;0;1
"521460 Niquelândia";1;0;1
"521500 Nova Veneza";1;0;1
"521570 Palmeiras de Goiás";1;0;1
"521640 Paraúna";1;0;1
"521690 Pilar de Goiás";1;0;1
"521710 Piracanjuba";1;0;1
"521740 Pires do Rio";2;0;2
"521760 Planaltina";4;1;5
"521770 Pontalina";1;0;1
"521800 Porangatu";1;0;1
"521880 Rio Verde";66;15;81
"521900 Sanclerlândia";1;0;1
"521975 Santo Antônio do Descoberto";5;1;6
"522010 São Luís de Montes Belos";4;0;4
"522020 São Miguel do Araguaia";1;1;2
"522045 Senador Canedo";13;2;15
"522060 Silvânia";0;1;1
"522068 Simolândia";1;0;1
"522140 Trindade";3;0;3
"522160 Uruaçu";11;1;12
"522185 Valparaíso de Goiás";9;3;12
"522190 Varjão";1;0;1
"Total";618;142;760
