 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Goiás
Período:2025
"Município (Res)";"< 1 ano";"1-4";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"520005 Abadia de Goiás";0;0;0;0;0;0;1;0;0;0;1
"520010 Abadiânia";0;0;0;1;0;0;0;0;0;0;1
"520025 Águas Lindas de Goiás";0;0;0;0;2;3;0;0;1;0;6
"520030 Alexânia";0;0;0;0;0;1;0;1;0;0;2
"520060 Alto Paraíso de Goiás";0;0;0;0;0;1;0;0;0;0;1
"520085 Americano do Brasil";0;0;0;0;0;0;2;0;0;0;2
"520110 Anápolis";0;0;0;3;18;23;9;5;0;0;58
"520140 Aparecida de Goiânia";0;0;0;2;19;22;8;10;2;0;63
"520170 Aragarças";0;0;0;0;0;0;1;1;0;0;2
"520250 Aruanã";0;0;0;0;0;0;0;1;0;0;1
"520330 Bela Vista de Goiás";0;0;0;0;0;0;1;0;0;0;1
"520340 Bom Jardim de Goiás";0;0;0;1;0;1;0;0;0;0;2
"520355 Bonfinópolis";0;0;0;0;0;0;2;0;0;0;2
"520360 Brazabrantes";0;0;0;0;1;0;0;0;0;0;1
"520425 Cachoeira Dourada";0;0;0;0;0;0;0;1;0;0;1
"520450 Caldas Novas";0;0;0;0;5;8;9;1;1;1;25
"520510 Catalão";0;0;0;1;5;4;8;1;1;0;20
"520549 Cidade Ocidental";0;0;0;0;2;6;2;2;1;1;14
"520620 Cristalina";0;0;0;0;0;0;0;0;2;0;2
"520640 Crixás";0;0;0;0;0;0;0;1;0;0;1
"520680 Damolândia";0;0;0;0;0;0;1;0;0;0;1
"520780 Firminópolis";0;0;0;0;0;0;1;0;0;0;1
"520800 Formosa";0;0;0;0;0;0;3;0;0;0;3
"520860 Goianésia";0;0;0;0;0;1;0;1;0;0;2
"520870 Goiânia";0;2;2;7;106;89;59;35;7;4;311
"520880 Goianira";0;0;0;0;0;1;3;0;0;0;4
"520890 Goiás";0;0;0;0;2;1;0;0;0;0;3
"520910 Goiatuba";0;0;0;0;0;1;1;0;0;0;2
"520920 Guapó";0;0;0;2;0;0;1;0;0;0;3
"520993 Inaciolândia";0;0;0;0;0;1;0;0;0;0;1
"521000 Inhumas";0;0;0;0;0;0;2;0;0;0;2
"521015 Ipiranga de Goiás";0;0;0;0;0;0;1;0;0;0;1
"521020 Iporá";0;0;0;0;1;4;0;3;0;0;8
"521090 Itapaci";0;0;0;0;2;0;0;0;0;0;2
"521120 Itapuranga";0;0;0;0;0;0;0;1;0;0;1
"521150 Itumbiara";0;0;0;0;2;7;6;6;0;1;22
"521180 Jaraguá";0;0;0;0;0;1;1;0;0;0;2
"521190 Jataí";0;0;0;0;5;8;5;4;1;0;23
"521250 Luziânia";0;0;0;0;1;3;0;0;0;0;4
"521308 Minaçu";0;0;0;0;0;0;1;0;0;0;1
"521380 Morrinhos";0;0;0;0;1;0;1;0;0;0;2
"521400 Mozarlândia";0;0;0;0;1;0;0;0;0;0;1
"521460 Niquelândia";0;0;0;0;0;1;0;0;0;0;1
"521500 Nova Veneza";0;0;0;0;0;1;0;0;0;0;1
"521570 Palmeiras de Goiás";0;0;0;0;1;0;0;0;0;0;1
"521640 Paraúna";0;0;0;0;1;0;0;0;0;0;1
"521690 Pilar de Goiás";0;0;0;0;1;0;0;0;0;0;1
"521710 Piracanjuba";0;0;0;0;1;0;0;0;0;0;1
"521740 Pires do Rio";0;0;0;0;1;1;0;0;0;0;2
"521760 Planaltina";0;0;0;0;0;3;1;1;0;0;5
"521770 Pontalina";0;0;0;0;0;0;0;1;0;0;1
"521800 Porangatu";0;0;0;0;0;0;1;0;0;0;1
"521880 Rio Verde";0;0;0;1;27;24;19;6;4;0;81
"521900 Sanclerlândia";0;0;0;0;0;1;0;0;0;0;1
"521975 Santo Antônio do Descoberto";0;0;0;1;1;2;2;0;0;0;6
"522010 São Luís de Montes Belos";0;0;0;0;2;1;1;0;0;0;4
"522020 São Miguel do Araguaia";0;0;0;0;0;0;0;1;1;0;2
"522045 Senador Canedo";0;0;0;0;5;2;5;1;1;1;15
"522060 Silvânia";0;0;0;0;0;0;0;0;1;0;1
"522068 Simolândia";0;0;0;0;0;0;0;1;0;0;1
"522140 Trindade";0;0;0;0;2;1;0;0;0;0;3
"522160 Uruaçu";1;0;0;1;0;1;2;4;0;3;12
"522185 Valparaíso de Goiás";0;0;0;1;7;3;1;0;0;0;12
"522190 Varjão";0;0;0;0;0;0;1;0;0;0;1
"Total";1;2;2;21;222;227;162;89;23;11;760
