 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso do Sul
Período:2021
"Município (Res)";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"500060 Amambaí";0;0;0;0;1;1;1;0;2;0;0;5
"500070 Anastácio";0;0;0;0;4;4;2;2;1;0;0;13
"500085 Angélica";0;0;0;0;0;1;0;0;0;0;0;1
"500090 Antônio João";0;0;0;0;0;0;1;0;0;0;0;1
"500100 Aparecida do Taboado";0;0;0;0;0;0;1;0;0;0;0;1
"500110 Aquidauana";0;0;0;0;1;1;2;0;0;0;0;4
"500190 Bataguassu";0;0;0;0;0;0;3;1;1;0;0;5
"500210 Bela Vista";0;0;0;0;1;0;0;0;0;0;0;1
"500220 Bonito";0;0;0;0;0;0;0;0;0;0;1;1
"500240 Caarapó";0;0;0;0;0;1;1;0;0;0;0;2
"500260 Camapuã";0;0;0;0;1;0;0;0;0;0;0;1
"500270 Campo Grande";0;0;1;6;106;75;75;38;12;2;0;315
"500290 Cassilândia";0;0;0;0;0;0;0;0;0;1;0;1
"500315 Coronel Sapucaia";0;0;0;0;1;0;0;1;0;0;0;2
"500320 Corumbá";0;0;0;1;9;8;6;6;2;0;0;32
"500325 Costa Rica";0;0;0;0;0;0;0;0;0;1;0;1
"500330 Coxim";0;0;0;0;2;4;3;3;0;0;0;12
"500345 Deodápolis";0;0;0;0;0;0;1;1;0;0;0;2
"500348 Dois Irmãos do Buriti";0;0;0;0;0;0;1;0;0;0;0;1
"500370 Dourados";1;0;0;3;37;14;15;15;5;3;0;93
"500375 Eldorado";0;0;0;0;0;0;1;0;1;0;0;2
"500380 Fátima do Sul";0;0;0;0;1;1;2;0;0;0;0;4
"500410 Guia Lopes da Laguna";0;0;0;0;0;0;1;1;0;0;0;2
"500430 Iguatemi";0;0;0;0;0;0;1;0;0;0;0;1
"500490 Jaraguari";0;0;0;0;0;0;0;1;0;0;0;1
"500500 Jardim";0;0;0;1;3;3;1;7;2;0;0;17
"500520 Ladário";0;0;0;0;3;2;0;0;0;0;0;5
"500560 Miranda";0;0;0;0;1;1;0;0;0;0;1;3
"500570 Naviraí";0;0;0;1;4;4;2;1;2;0;0;14
"500580 Nioaque";0;0;0;0;0;1;0;0;0;0;0;1
"500600 Nova Alvorada do Sul";0;0;0;0;0;0;0;1;0;0;0;1
"500620 Nova Andradina";0;0;0;0;5;2;4;1;0;0;0;12
"500630 Paranaíba";0;0;1;1;5;4;4;2;1;1;0;19
"500635 Paranhos";0;0;0;0;0;0;1;0;0;0;0;1
"500640 Pedro Gomes";0;0;0;0;0;0;0;0;1;0;0;1
"500660 Ponta Porã";0;1;0;1;13;13;8;0;1;0;0;37
"500710 Ribas do Rio Pardo";0;0;0;0;1;0;0;0;1;0;0;2
"500720 Rio Brilhante";0;0;0;0;0;0;0;0;1;0;0;1
"500740 Rio Verde de Mato Grosso";0;0;0;0;0;0;0;1;1;0;0;2
"500750 Rochedo";0;0;0;0;0;0;1;0;0;0;0;1
"500769 São Gabriel do Oeste";0;0;0;0;1;0;1;1;1;0;0;4
"500780 Selvíria";0;0;0;0;1;0;0;0;0;0;0;1
"500790 Sidrolândia";0;0;0;1;0;2;1;0;0;0;0;4
"500793 Sonora";0;0;0;0;0;0;0;1;1;0;0;2
"500795 Tacuru";0;0;0;0;0;0;0;1;0;0;0;1
"500830 Três Lagoas";0;0;0;0;6;9;8;4;4;0;0;31
"Total";1;1;2;15;207;151;148;89;40;8;2;664
