 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Goiás
Período:2024
"Município (Res)";"< 1 ano";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"520005 Abadia de Goiás";0;0;0;1;1;0;0;0;0;0;2
"520010 Abadiânia";0;0;0;0;0;1;0;1;0;0;2
"520025 Águas Lindas de Goiás";0;0;0;2;1;2;0;0;0;0;5
"520030 Alexânia";0;0;0;0;0;1;0;0;0;0;1
"520060 Alto Paraíso de Goiás";0;0;0;2;0;0;0;0;0;0;2
"520080 Alvorada do Norte";0;0;0;0;1;0;0;0;0;0;1
"520085 Americano do Brasil";0;0;0;1;0;2;0;0;0;0;3
"520110 Anápolis";0;0;2;21;17;11;4;3;2;0;60
"520130 Anicuns";0;0;0;0;0;1;0;0;0;0;1
"520140 Aparecida de Goiânia";0;0;1;18;30;27;11;5;0;0;92
"520160 Araçu";0;0;0;1;0;0;0;0;0;0;1
"520170 Aragarças";0;1;0;0;1;1;2;0;0;0;5
"520250 Aruanã";0;0;0;0;1;0;0;0;0;0;1
"520280 Avelinópolis";0;0;0;0;0;1;0;0;0;0;1
"520320 Barro Alto";0;0;0;0;0;0;1;0;0;0;1
"520330 Bela Vista de Goiás";0;0;0;0;0;1;2;0;1;0;4
"520355 Bonfinópolis";0;0;0;1;0;1;0;0;0;0;2
"520380 Britânia";0;0;0;0;0;1;0;0;0;0;1
"520390 Buriti Alegre";0;0;0;0;1;0;0;0;0;0;1
"520410 Cachoeira Alta";0;0;0;2;0;0;0;0;0;0;2
"520430 Caçu";0;0;1;0;0;0;0;0;0;0;1
"520440 Caiapônia";0;0;0;0;1;0;0;0;0;0;1
"520450 Caldas Novas";0;0;0;10;9;4;4;1;0;1;29
"520470 Campinorte";0;0;0;1;0;0;0;0;0;0;1
"520505 Castelândia";0;0;0;1;0;0;0;0;0;0;1
"520510 Catalão";0;0;0;8;12;7;2;0;0;0;29
"520549 Cidade Ocidental";0;0;0;6;10;2;2;0;0;0;20
"520552 Colinas do Sul";0;0;0;0;0;0;0;0;1;0;1
"520620 Cristalina";0;0;0;1;1;0;1;0;0;0;3
"520630 Cristianópolis";0;0;0;1;0;0;0;0;0;0;1
"520680 Damolândia";0;0;0;0;0;0;1;0;0;0;1
"520690 Davinópolis";0;0;0;0;1;0;0;0;0;0;1
"520740 Edéia";0;0;0;0;0;1;0;0;0;0;1
"520780 Firminópolis";0;0;0;1;0;0;0;0;0;0;1
"520790 Flores de Goiás";0;0;0;0;1;0;0;0;0;0;1
"520800 Formosa";0;0;1;1;5;1;2;0;1;0;11
"520810 Formoso";0;0;0;0;0;0;0;1;0;0;1
"520815 Gameleira de Goiás";0;0;0;2;0;0;0;0;0;0;2
"520840 Goianápolis";0;0;0;0;0;1;0;0;0;0;1
"520860 Goianésia";0;0;0;2;1;2;0;0;0;0;5
"520870 Goiânia";1;1;9;117;147;118;45;17;10;1;466
"520880 Goianira";0;0;0;1;0;3;1;0;0;0;5
"520890 Goiás";0;0;0;1;0;2;0;0;0;0;3
"520910 Goiatuba";0;0;0;1;0;1;2;2;0;0;6
"520915 Gouvelândia";0;0;0;0;0;1;0;0;0;0;1
"520920 Guapó";0;0;0;0;0;1;0;0;0;0;1
"520970 Hidrolândia";0;0;0;0;0;1;2;0;0;0;3
"520995 Indiara";0;0;0;0;0;0;1;1;0;0;2
"521000 Inhumas";0;0;0;0;1;2;1;0;0;0;4
"521010 Ipameri";0;0;0;1;0;1;1;1;0;1;5
"521020 Iporá";0;0;0;0;1;2;1;1;0;0;5
"521040 Itaberaí";0;0;0;2;0;0;1;1;2;0;6
"521080 Itajá";0;0;0;0;0;1;0;0;0;0;1
"521090 Itapaci";0;0;0;1;0;0;0;1;0;0;2
"521120 Itapuranga";0;0;0;0;0;1;0;1;0;0;2
"521150 Itumbiara";0;0;0;7;9;7;7;1;0;0;31
"521180 Jaraguá";0;0;0;0;0;1;2;0;0;0;3
"521190 Jataí";0;0;0;9;15;8;10;0;1;0;43
"521200 Jaupaci";0;0;0;0;0;0;1;0;0;0;1
"521210 Joviânia";0;0;0;1;1;0;0;0;0;0;2
"521250 Luziânia";1;0;0;2;1;3;0;1;0;0;8
"521308 Minaçu";0;0;0;0;1;0;0;0;0;0;1
"521310 Mineiros";0;0;0;1;0;2;0;0;0;0;3
"521370 Montes Claros de Goiás";0;0;0;1;0;0;0;0;0;0;1
"521375 Montividiu";0;0;0;0;1;1;1;0;0;0;3
"521380 Morrinhos";0;0;0;2;2;2;1;0;1;0;8
"521405 Mundo Novo";0;0;0;0;0;1;0;0;0;0;1
"521440 Nazário";0;0;0;1;0;0;0;0;0;0;1
"521450 Nerópolis";0;0;0;1;0;0;1;0;0;0;2
"521460 Niquelândia";0;0;0;0;0;3;0;0;0;0;3
"521486 Nova Glória";0;0;0;0;0;0;1;0;0;0;1
"521487 Nova Iguaçu de Goiás";0;0;0;1;0;0;0;0;0;0;1
"521500 Nova Veneza";0;0;0;1;1;0;0;0;0;0;2
"521523 Novo Gama";0;0;0;1;1;1;1;1;0;0;5
"521530 Orizona";0;0;0;1;1;0;0;0;0;0;2
"521550 Ouvidor";0;0;0;0;1;0;0;0;0;0;1
"521570 Palmeiras de Goiás";0;0;0;1;0;0;1;0;0;0;2
"521600 Panamá";0;0;0;0;0;1;0;0;0;0;1
"521680 Petrolina de Goiás";0;0;0;0;0;0;1;0;1;0;2
"521710 Piracanjuba";0;0;0;1;0;0;0;0;0;0;1
"521720 Piranhas";0;0;0;0;1;0;0;0;0;0;1
"521740 Pires do Rio";0;0;0;0;1;0;0;0;0;0;1
"521760 Planaltina";0;0;1;0;2;3;0;1;1;0;8
"521800 Porangatu";0;0;0;0;1;0;0;1;0;0;2
"521830 Posse";0;0;0;0;0;0;0;1;0;0;1
"521850 Quirinópolis";0;0;0;0;0;0;1;0;0;0;1
"521880 Rio Verde";0;0;3;31;27;17;10;1;0;1;90
"521890 Rubiataba";0;0;0;0;0;0;1;0;0;0;1
"521930 Santa Helena de Goiás";0;0;0;2;1;2;2;0;0;0;7
"521950 Santa Rosa de Goiás";0;0;0;0;0;1;0;0;0;0;1
"521975 Santo Antônio do Descoberto";0;0;0;0;5;1;0;0;0;0;6
"522000 São João d'Aliança";0;0;0;1;1;0;0;0;0;0;2
"522010 São Luís de Montes Belos";0;0;0;1;2;2;0;0;0;0;5
"522020 São Miguel do Araguaia";0;0;0;0;0;0;0;1;0;0;1
"522045 Senador Canedo";0;0;0;8;8;1;2;0;0;0;19
"522060 Silvânia";0;0;0;1;0;0;0;0;0;0;1
"522108 Teresina de Goiás";0;0;0;0;0;1;0;0;1;0;2
"522119 Terezópolis de Goiás";0;0;0;0;0;1;1;0;0;0;2
"522140 Trindade";0;0;0;2;3;3;2;0;0;0;10
"522145 Trombas";0;0;1;0;0;0;0;0;0;0;1
"522160 Uruaçu";0;0;1;3;4;4;1;2;0;0;15
"522185 Valparaíso de Goiás";0;0;1;8;8;10;5;1;0;1;34
"522205 Vicentinópolis";0;0;0;0;0;0;0;1;0;0;1
"Total";2;2;21;295;341;278;139;48;22;5;1153
