 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2016
Ano Notificação: 2016
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2016
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"430003 Aceguá";1;0;0;1
"430030 Alecrim";2;0;0;2
"430040 Alegrete";16;8;0;24
"430060 Alvorada";58;34;0;92
"430070 Anta Gorda";1;0;0;1
"430100 Arroio do Meio";2;0;0;2
"430105 Arroio do Sal";0;1;0;1
"430120 Arroio do Tigre";1;0;0;1
"430110 Arroio dos Ratos";1;0;0;1
"430130 Arroio Grande";0;2;0;2
"430140 Arvorezinha";1;0;0;1
"430160 Bagé";25;10;0;35
"430190 Barra do Ribeiro";0;1;0;1
"430210 Bento Gonçalves";18;10;0;28
"430220 Boa Vista do Buricá";1;0;0;1
"430230 Bom Jesus";1;0;0;1
"430240 Bom Retiro do Sul";0;1;0;1
"430250 Bossoroca";2;0;0;2
"430280 Caçapava do Sul";5;4;0;9
"430290 Cacequi";0;1;0;1
"430300 Cachoeira do Sul";16;6;0;22
"430310 Cachoeirinha";31;20;0;51
"430340 Caiçara";1;0;0;1
"430350 Camaquã";4;8;0;12
"430380 Campinas do Sul";1;0;0;1
"430390 Campo Bom";7;4;0;11
"430400 Campo Novo";1;0;0;1
"430420 Candelária";1;1;0;2
"430435 Candiota";1;0;0;1
"430440 Canela";10;5;0;15
"430460 Canoas";95;62;0;157
"430463 Capão da Canoa";13;13;0;26
"430465 Capão do Cipó";1;0;0;1
"430466 Capão do Leão";0;2;0;2
"430467 Capivari do Sul";2;1;0;3
"430470 Carazinho";9;6;0;15
"430480 Carlos Barbosa";4;2;0;6
"430500 Catuípe";0;1;0;1
"430510 Caxias do Sul";69;39;0;108
"430512 Cerrito";0;1;0;1
"430520 Cerro Largo";1;0;0;1
"430530 Chapada";0;1;0;1
"430535 Charqueadas";33;9;0;42
"430545 Cidreira";1;1;0;2
"430580 Constantina";2;0;0;2
"430590 Coronel Bicaco";0;1;0;1
"430610 Cruz Alta";22;13;0;35
"430640 Dois Irmãos";1;0;0;1
"430650 Dom Feliciano";1;1;0;2
"430660 Dom Pedrito";7;9;0;16
"430670 Dona Francisca";1;0;0;1
"430676 Eldorado do Sul";6;3;0;9
"430690 Encruzilhada do Sul";2;2;0;4
"430700 Erechim";3;7;0;10
"430730 Erval Seco";0;1;0;1
"430750 Espumoso";4;0;0;4
"430755 Estação";1;0;0;1
"430760 Estância Velha";9;4;0;13
"430770 Esteio";12;19;0;31
"430780 Estrela";4;4;0;8
"430790 Farroupilha";2;4;0;6
"430805 Faxinalzinho";0;1;0;1
"430810 Feliz";0;1;0;1
"430820 Flores da Cunha";2;0;0;2
"430840 Formigueiro";0;1;0;1
"430845 Fortaleza dos Valos";2;0;0;2
"430850 Frederico Westphalen";2;2;0;4
"430860 Garibaldi";2;0;0;2
"430900 Giruá";2;0;0;2
"430905 Glorinha";1;0;0;1
"430910 Gramado";6;6;0;12
"430920 Gravataí";60;25;0;85
"430930 Guaíba";18;15;0;33
"430940 Guaporé";2;0;0;2
"430710 Herval";1;0;0;1
"430960 Horizontina";1;2;0;3
"430990 Ibiraiaras";1;0;0;1
"431000 Ibirubá";1;1;0;2
"431010 Igrejinha";4;4;0;8
"431020 Ijuí";13;11;0;24
"431030 Ilópolis";1;0;0;1
"431033 Imbé";1;4;0;5
"431053 Itaara";1;0;0;1
"431060 Itaqui";9;1;0;10
"431080 Ivoti";1;3;0;4
"431085 Jaboticaba";1;0;0;1
"431100 Jaguarão";2;2;0;4
"431120 Júlio de Castilhos";2;1;0;3
"431130 Lagoa Vermelha";6;1;0;7
"431125 Lagoão";0;1;0;1
