 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Mato Grosso
Período:2018
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"510025 Alta Floresta";6;0;0;1;0;7
"510030 Alto Araguaia";0;0;0;2;0;2
"510040 Alto Garças";0;0;0;4;0;4
"510060 Alto Taquari";1;0;0;0;0;1
"510080 Apiacás";1;0;0;0;0;1
"510125 Araputanga";0;0;0;1;0;1
"510170 Barra do Bugres";1;0;0;2;0;3
"510180 Barra do Garças";1;0;0;3;0;4
"510185 Bom Jesus do Araguaia";1;0;0;0;0;1
"510250 Cáceres";3;0;0;11;0;14
"510260 Campinápolis";0;0;0;1;0;1
"510263 Campo Novo do Parecis";0;0;0;1;0;1
"510267 Campo Verde";4;0;0;4;0;8
"510300 Chapada dos Guimarães";1;0;0;0;0;1
"510305 Cláudia";1;0;0;0;0;1
"510320 Colíder";4;0;0;6;0;10
"510330 Comodoro";1;0;0;0;0;1
"510335 Confresa";2;0;0;2;0;4
"510340 Cuiabá";64;34;8;169;2;277
"510350 Diamantino";0;0;0;2;0;2
"510360 Dom Aquino";0;0;0;1;0;1
"510370 Feliz Natal";1;0;0;0;0;1
"510385 Gaúcha do Norte";1;1;0;0;0;2
"510410 Guarantã do Norte";6;1;0;3;0;10
"510420 Guiratinga";1;0;0;0;0;1
"510455 Itaúba";0;0;0;1;0;1
"510460 Itiquira";0;0;0;1;0;1
"510480 Jaciara";2;0;0;4;0;6
"510490 Jangada";1;0;0;0;0;1
"510510 Juara";1;1;0;5;0;7
"510515 Juína";3;0;0;1;0;4
"510517 Juruena";1;0;0;0;0;1
"510520 Juscimeira";1;0;0;1;0;2
"510525 Lucas do Rio Verde";1;1;0;1;0;3
"510560 Matupá";1;0;0;1;0;2
"510562 Mirassol d'Oeste";2;0;0;1;0;3
"510610 Nossa Senhora do Livramento";0;0;0;3;0;3
"510615 Nova Bandeirantes";0;1;0;0;0;1
"510620 Nova Brasilândia";0;0;0;1;0;1
"510622 Nova Mutum";0;0;0;3;0;3
"510623 Nova Olímpia";0;1;0;2;0;3
"510625 Nova Xavantina";2;0;0;0;0;2
"510630 Paranatinga";0;2;0;1;0;3
"510637 Pedra Preta";2;0;0;1;0;3
"510642 Peixoto de Azevedo";1;1;0;4;0;6
"510650 Poconé";0;0;0;2;0;2
"510675 Pontes e Lacerda";1;0;0;2;0;3
"510682 Porto Esperidião";0;0;0;1;0;1
"510700 Poxoréo";3;1;0;2;0;6
"510704 Primavera do Leste";1;1;0;6;0;8
"510706 Querência";0;0;0;1;0;1
"510760 Rondonópolis";44;9;1;67;0;121
"510770 Rosário Oeste";0;0;0;1;0;1
"510724 Santa Carmem";1;0;0;0;0;1
"510779 Santo Antônio do Leste";0;0;0;2;0;2
"510780 Santo Antônio do Leverger";2;0;0;1;0;3
"510730 São José do Rio Claro";0;1;0;1;0;2
"510710 São José dos Quatro Marcos";1;0;0;4;0;5
"510787 Sapezal";1;0;1;0;0;2
"510790 Sinop";10;2;1;27;0;40
"510792 Sorriso";13;4;0;18;0;35
"510795 Tangará da Serra";10;5;0;16;0;31
"510800 Tapurah";1;0;0;1;0;2
"510840 Várzea Grande";15;5;1;56;1;78
"510550 Vila Bela da Santíssima Trindade";0;0;0;1;0;1
"510860 Vila Rica";1;0;0;0;0;1
"Total";222;71;12;453;3;761
