 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Goiás
Período:2022
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"520005 Abadia de Goiás";1;0;0;2;0;3
"520010 Abadiânia";0;0;0;1;0;1
"520015 Adelândia";1;0;0;0;0;1
"520025 Águas Lindas de Goiás";2;0;0;8;0;10
"520030 Alexânia";0;0;0;1;0;1
"520080 Alvorada do Norte";0;0;0;1;0;1
"520085 Americano do Brasil";0;0;0;1;0;1
"520110 Anápolis";16;1;0;63;0;80
"520130 Anicuns";1;0;0;0;0;1
"520140 Aparecida de Goiânia";38;6;4;78;0;126
"520170 Aragarças";1;0;0;3;0;4
"520180 Aragoiânia";0;0;0;1;0;1
"520235 Arenópolis";0;0;0;1;0;1
"520250 Aruanã";0;0;0;1;0;1
"520330 Bela Vista de Goiás";1;0;0;0;0;1
"520340 Bom Jardim de Goiás";0;0;0;1;0;1
"520400 Cabeceiras";0;0;0;1;0;1
"520450 Caldas Novas";4;1;0;14;0;19
"520455 Caldazinha";0;0;0;1;0;1
"520470 Campinorte";0;0;0;1;0;1
"520480 Campo Alegre de Goiás";1;0;0;0;0;1
"520495 Campos Verdes";0;0;0;1;0;1
"520500 Carmo do Rio Verde";0;0;0;1;0;1
"520510 Catalão";10;1;1;16;0;28
"520540 Ceres";2;0;0;2;0;4
"520547 Chapadão do Céu";1;0;0;0;0;1
"520549 Cidade Ocidental";5;4;0;12;0;21
"520620 Cristalina";1;1;0;1;0;3
"520640 Crixás";0;1;0;1;0;2
"520660 Cumari";1;0;0;0;0;1
"520680 Damolândia";0;0;0;1;0;1
"520830 Divinópolis de Goiás";0;0;0;1;0;1
"520740 Edéia";1;0;0;0;0;1
"520750 Estrela do Norte";1;0;0;0;0;1
"520753 Faina";1;0;0;1;0;2
"520800 Formosa";1;1;0;5;0;7
"520850 Goiandira";0;0;0;1;0;1
"520860 Goianésia";1;0;0;4;0;5
"520870 Goiânia";138;22;4;345;0;509
"520880 Goianira";1;0;0;6;0;7
"520890 Goiás";1;0;0;1;0;2
"520920 Guapó";0;0;0;1;0;1
"520970 Hidrolândia";2;0;0;1;0;3
"520995 Indiara";1;0;0;0;0;1
"521000 Inhumas";1;0;0;5;0;6
"521010 Ipameri";1;0;0;1;0;2
"521020 Iporá";2;0;0;6;0;8
"521040 Itaberaí";0;0;0;5;0;5
"521090 Itapaci";0;0;0;3;0;3
"521120 Itapuranga";2;0;0;1;0;3
"521150 Itumbiara";33;1;0;13;0;47
"521160 Ivolândia";1;0;0;0;0;1
"521180 Jaraguá";1;0;0;2;0;3
"521190 Jataí";6;2;0;21;0;29
"521220 Jussara";2;0;0;2;0;4
"521250 Luziânia";2;0;0;4;0;6
"521300 Maurilândia";1;0;0;1;0;2
"521308 Minaçu";0;0;0;2;0;2
"521310 Mineiros";2;0;0;2;0;4
"521380 Morrinhos";4;1;0;5;0;10
"521400 Mozarlândia";0;0;0;1;0;1
"521450 Nerópolis";0;0;0;1;0;1
"521460 Niquelândia";0;0;0;2;0;2
"521480 Nova Aurora";1;0;0;0;0;1
"521500 Nova Veneza";2;0;0;1;0;3
"521520 Novo Brasil";1;0;0;0;0;1
"521523 Novo Gama";1;0;0;6;0;7
"521540 Ouro Verde de Goiás";0;0;0;1;0;1
"521560 Padre Bernardo";0;0;0;1;0;1
"521570 Palmeiras de Goiás";2;0;0;1;0;3
"521640 Paraúna";0;0;0;1;0;1
"521710 Piracanjuba";0;0;0;2;0;2
"521720 Piranhas";1;0;0;0;0;1
"521730 Pirenópolis";1;0;0;1;0;2
"521740 Pires do Rio";0;0;0;1;0;1
"521760 Planaltina";1;0;0;7;0;8
"521770 Pontalina";0;1;0;2;0;3
"521805 Porteirão";0;0;0;1;0;1
"521810 Portelândia";0;0;0;2;0;2
"521830 Posse";0;0;0;1;0;1
"521850 Quirinópolis";0;0;0;1;0;1
"521860 Rialma";0;0;0;1;0;1
"521870 Rianápolis";1;0;0;0;0;1
"521880 Rio Verde";18;2;0;46;0;66
"521890 Rubiataba";0;0;0;1;0;1
"521900 Sanclerlândia";0;0;0;1;0;1
"521925 Santa Fé de Goiás";0;0;0;3;0;3
"521973 Santo Antônio de Goiás";1;0;0;0;0;1
"521975 Santo Antônio do Descoberto";1;1;0;2;0;4
"522010 São Luís de Montes Belos";1;1;0;3;0;5
"522020 São Miguel do Araguaia";0;0;0;2;0;2
"522040 São Simão";1;0;0;1;0;2
"522045 Senador Canedo";6;1;1;24;1;33
"522050 Serranópolis";0;0;0;1;0;1
"522060 Silvânia";0;0;0;2;0;2
"522140 Trindade";4;1;0;11;0;16
"522150 Turvânia";0;0;0;1;0;1
"522160 Uruaçu";2;0;0;2;0;4
"522185 Valparaíso de Goiás";9;3;0;18;1;31
"522205 Vicentinópolis";0;0;0;1;0;1
"520000 Município ignorado - GO";1;0;0;0;1;2
"Total";347;52;10;806;3;1218
