 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Mato Grosso do Sul
Período:2016
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"500020 Água Clara";0;1;0;0;0;1
"500025 Alcinópolis";0;0;0;1;0;1
"500060 Amambaí";0;0;0;0;1;1
"500100 Aparecida do Taboado";1;0;0;0;0;1
"500110 Aquidauana";3;0;0;4;2;9
"500190 Bataguassu";2;0;0;1;0;3
"500200 Batayporã";0;0;0;1;0;1
"500210 Bela Vista";1;0;0;2;0;3
"500220 Bonito";1;0;0;0;0;1
"500230 Brasilândia";0;0;0;1;0;1
"500240 Caarapó";1;0;0;1;1;3
"500270 Campo Grande";108;6;12;98;5;229
"500290 Cassilândia";1;0;0;2;0;3
"500295 Chapadão do Sul";0;1;0;2;0;3
"500320 Corumbá";4;0;0;15;0;19
"500325 Costa Rica";2;0;0;0;0;2
"500330 Coxim";1;1;0;12;0;14
"500350 Douradina";0;0;0;1;0;1
"500370 Dourados";42;4;0;31;3;80
"500375 Eldorado";2;0;0;0;0;2
"500430 Iguatemi";0;0;0;1;1;2
"500450 Itaporã";2;0;0;0;0;2
"500470 Ivinhema";0;0;0;1;0;1
"500480 Japorã";0;0;0;0;3;3
"500500 Jardim";0;0;0;1;0;1
"500515 Juti";1;0;0;0;0;1
"500520 Ladário";1;0;0;0;0;1
"500540 Maracaju";6;0;0;1;0;7
"500560 Miranda";0;0;0;1;0;1
"500568 Mundo Novo";1;0;0;0;0;1
"500570 Naviraí";9;0;0;10;3;22
"500580 Nioaque";1;0;0;0;0;1
"500600 Nova Alvorada do Sul";2;0;0;1;0;3
"500620 Nova Andradina";2;2;0;3;0;7
"500630 Paranaíba";10;1;0;2;0;13
"500660 Ponta Porã";9;1;0;15;6;31
"500710 Ribas do Rio Pardo";0;0;0;3;0;3
"500720 Rio Brilhante";2;0;0;1;0;3
"500730 Rio Negro";0;0;0;1;0;1
"500740 Rio Verde de Mato Grosso";2;1;0;5;0;8
"500769 São Gabriel do Oeste";3;1;0;1;0;5
"500780 Selvíria";1;0;0;0;0;1
"500770 Sete Quedas";1;0;0;0;0;1
"500790 Sidrolândia";2;0;1;0;0;3
"500795 Tacuru";0;0;0;0;1;1
"500800 Terenos";1;0;0;0;0;1
"500830 Três Lagoas";9;2;0;14;0;25
"500840 Vicentina";0;0;0;1;0;1
"Total";234;21;13;234;26;528
