 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2018
Ano Notificação: 2018
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2018
"Município (Res)";"Masculino";"Feminino";"Total"
"410040 Almirante Tamandaré";13;11;24
"410080 Alvorada do Sul";1;0;1
"410090 Amaporã";0;1;1
"410140 Apucarana";12;6;18
"410150 Arapongas";15;2;17
"410160 Arapoti";0;1;1
"410180 Araucária";15;6;21
"410190 Assaí";1;1;2
"410200 Assis Chateaubriand";1;0;1
"410280 Bela Vista do Paraíso";3;0;3
"410305 Boa Vista da Aparecida";3;1;4
"410315 Bom Jesus do Sul";1;0;1
"410322 Bom Sucesso do Sul";1;0;1
"410335 Braganey";1;0;1
"410360 Cambará";1;0;1
"410370 Cambé";15;2;17
"410400 Campina Grande do Sul";1;0;1
"410410 Campo do Tenente";0;1;1
"410420 Campo Largo";12;5;17
"410425 Campo Magro";1;1;2
"410430 Campo Mourão";10;6;16
"410442 Candói";2;1;3
"410460 Capitão Leônidas Marques";2;0;2
"410470 Carlópolis";1;0;1
"410480 Cascavel";64;34;98
"410490 Castro";3;3;6
"410500 Catanduvas";1;0;1
"410510 Centenário do Sul";1;0;1
"410540 Chopinzinho";1;0;1
"410550 Cianorte";8;3;11
"410570 Clevelândia";2;1;3
"410580 Colombo";36;11;47
"410590 Colorado";1;1;2
"410600 Congonhinhas";0;1;1
"410620 Contenda";1;1;2
"410630 Corbélia";1;0;1
"410640 Cornélio Procópio";13;5;18
"410650 Coronel Vivida";1;1;2
"410660 Cruzeiro do Oeste";3;3;6
"410690 Curitiba";415;130;545
"410700 Curiúva";1;0;1
"410760 Faxinal";1;0;1
"410765 Fazenda Rio Grande";2;2;4
"410773 Fernandes Pinheiro";2;0;2
"410775 Figueira";1;0;1
"410800 Florestópolis";1;0;1
"410810 Flórida";1;0;1
"410820 Formosa do Oeste";2;0;2
"410830 Foz do Iguaçu";67;30;97
"410840 Francisco Beltrão";15;18;33
"410850 General Carneiro";1;0;1
"410880 Guaíra";2;0;2
"410890 Guairaçá";2;0;2
"410910 Guaporema";1;0;1
"410930 Guaraniaçu";1;0;1
"410940 Guarapuava";38;12;50
"410970 Ibaiti";7;1;8
"410980 Ibiporã";3;1;4
"411000 Iguaraçu";1;1;2
"411005 Iguatu";1;0;1
"411040 Indianópolis";1;0;1
"411070 Irati";6;0;6
"411095 Itaipulândia";0;2;2
"411125 Itaperuçu";1;0;1
"411130 Itaúna do Sul";1;0;1
"411180 Jacarezinho";14;5;19
"411190 Jaguapitã";2;0;2
"411200 Jaguariaíva";1;1;2
"411230 Japira";1;0;1
"411270 Jataizinho";1;1;2
"411280 Joaquim Távora";1;0;1
"411295 Juranda";2;0;2
"411325 Laranjal";0;1;1
"411330 Laranjeiras do Sul";1;1;2
"411350 Loanda";1;0;1
"411370 Londrina";85;22;107
"411373 Luiziana";1;0;1
"411390 Mallet";0;1;1
"411420 Mandaguari";1;1;2
"411430 Mandirituba";0;1;1
"411450 Manoel Ribas";1;0;1
"411460 Marechal Cândido Rondon";1;1;2
"411480 Marialva";1;1;2
"411520 Maringá";96;22;118
"411530 Mariópolis";1;0;1
"411560 Matelândia";1;2;3
"411570 Matinhos";0;6;6
"411580 Medianeira";2;3;5
"411610 Moreira Sales";1;0;1
"411620 Morretes";1;0;1
"411670 Nova Aurora";2;0;2
"411700 Nova Fátima";1;1;2
"411705 Nova Laranjeiras";1;0;1
"411710 Nova Londrina";0;1;1
"411725 Nova Prata do Iguaçu";0;1;1
"411727 Nova Tebas";1;0;1
"411730 Ortigueira";1;1;2
"411750 Paiçandu";3;1;4
"411760 Palmas";3;2;5
"411770 Palmeira";0;1;1
"411780 Palmital";1;1;2
"411790 Palotina";1;1;2
"411800 Paraíso do Norte";1;0;1
"411820 Paranaguá";63;29;92
"411840 Paranavaí";11;4;15
"411850 Pato Branco";14;10;24
"411880 Peabiru";2;1;3
"411910 Piên";1;0;1
"411915 Pinhais";38;11;49
"411930 Pinhão";0;1;1
"411950 Piraquara";16;17;33
"411960 Pitanga";2;3;5
"411965 Pitangueiras";1;0;1
"411980 Planalto";1;0;1
"411990 Ponta Grossa";39;19;58
"412000 Porecatu";2;0;2
"412035 Pranchita";2;1;3
"412060 Prudentópolis";3;1;4
"412090 Quedas do Iguaçu";2;1;3
"412100 Querência do Norte";1;0;1
"412140 Realeza";1;0;1
"412150 Rebouças";2;1;3
"412190 Ribeirão do Pinhal";0;1;1
"412215 Rio Bonito do Iguaçu";0;1;1
"412230 Rio Negro";1;0;1
"412240 Rolândia";3;2;5
"412260 Rondon";0;1;1
"412330 Santa Cruz de Monte Castelo";1;0;1
"412350 Santa Helena";0;1;1
"412390 Santa Mariana";1;0;1
"412500 São João do Ivaí";0;2;2
"412550 São José dos Pinhais";49;18;67
"412560 São Mateus do Sul";0;1;1
"412570 São Miguel do Iguaçu";1;1;2
"412610 São Tomé";1;0;1
"412625 Sarandi";20;9;29
"412635 Serranópolis do Iguaçu";1;0;1
"412650 Sertanópolis";1;0;1
"412660 Siqueira Campos";2;0;2
"412670 Tamboara";1;0;1
"412680 Tapejara";2;0;2
"412700 Teixeira Soares";1;0;1
"412710 Telêmaco Borba";4;3;7
"412720 Terra Boa";1;0;1
"412730 Terra Rica";1;0;1
"412750 Tibagi";1;0;1
"412770 Toledo";39;12;51
"412785 Três Barras do Paraná";0;1;1
"412796 Turvo";1;0;1
"412800 Ubiratã";2;0;2
"412810 Umuarama";15;7;22
"412820 União da Vitória";4;4;8
"412855 Vera Cruz do Oeste";1;0;1
"412870 Vitorino";1;1;2
"Total";1409;549;1958
